product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),비규격(최소/최대)_가로,비규격(최소/최대)_세로,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,소재(필수),price,"price
(vat포함)",화이트별색(옵션),코팅(옵션),price(V),가공(옵션)_가공,가공(옵션)_가격,추가(옵션)_추가,추가(옵션)_추가옵션가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,COMMENT,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO
14562,아트프린트포스터,,0,3,,14562,004-0001,아트프린트포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,실사출력,JPG,실사출력,Y,,인화지,7000,7700,,코팅없음,0,,,,,1,1000,1,,,,,,,,,,,,
14562,아트프린트포스터,,1,4,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,7000,7700,,무광코팅,0,,,,,,,,,,,,,,,,,,,
14562,아트프린트포스터,,2,5,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,12000,13200,,유광코팅,0,,,,,,,,,,,,,,,,,,,
14562,아트프린트포스터,,3,6,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,20000,22000,,,,,,,,,,,,,,,,,,,,,,
14563,아트페이퍼포스터,,0,8,,14563,004-0002,아트페이퍼포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,실사출력,JPG,실사출력,Y,,매트지,7000,7700,,,,,,,,1,1000,1,,,,,,,,,,,,
14563,아트페이퍼포스터,,1,9,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,7000,7700,,,,,,,,,,,,,,,,,,,,,,
14563,아트페이퍼포스터,,2,10,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,12000,13200,,,,,,,,,,,,,,,,,,,,,,
14563,아트페이퍼포스터,,3,11,,,,,사용자입력,200~900,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,20000,22000,,,,,,,,,,,,,,,,,,,,,,
14564,방수포스터,,0,13,,14564,004-0003,방수포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,실사출력,JPG,실사출력,Y,,PET,7000,7700,,무광코팅,0,,,,0,1,1000,1,,,,,,,,,,,,
14564,방수포스터,,1,14,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,7000,7700,,유광코팅,0,,,,0,,,,,,,,,,,,,,,
14564,방수포스터,,2,15,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,12000,13200,,,,,,,,,,,,,,,,,,,,,,
14564,방수포스터,,3,16,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,20000,22000,,,,,,,,,,,,,,,,,,,,,,
14564,방수포스터,,4,18,,,,투명포스터★,A3 (297 x 420 mm),,,,,,,,,,,,투명PET,,16500,,,,,,,,,,,화이트인쇄,,,,,,,,,,,
14564,방수포스터,,5,19,,,,,A2 (420 x 594 mm),,,,,,,,,,,,,,16500,,,,,,,,,,,,,,,,,,,,,,
14564,방수포스터,,6,20,,,,,A1 (594 x 841 mm),,,,,,,,,,,,,,27500,,,,,,,,,,,,,,,,,,,,,,
14564,방수포스터,,7,21,,,,,사용자입력,20~120,20~3000,,,,,,,,,,,,55000,,,,,,,,,,,,,,,,,,,,,,
14565,접착방수포스터,,0,23,,14565,004-0004,접착방수포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,실사출력,JPG,실사출력,Y,,PVC,7000,7700,,무광코팅,0,,,,0,1,1000,1,,,,,,,,,,,,
14565,접착방수포스터,,1,24,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,JPG,,,,,7000,7700,,유광코팅,0,,,,0,,,,,,,,,,,,,,,
14565,접착방수포스터,,2,25,,,,,A1 (594 x 841 mm),,,0,594 x 841,594 x 841,,,JPG,,,,,12000,13200,,,,,,,,,,,,,,,,,,,,,,
14565,접착방수포스터,,3,26,,,,,사용자입력,200~1200,200~3000,0,가로 x 세로,가로 x 세로,,,JPG,,,,,20000,22000,,,,,,,,,,,,,,,,,,,,,,
14567,접착투명포스터,,0,28,,14567,004-0005,접착투명포스터,A3 (297 x 420 mm),,,0,297 x 420,297 x 420,,실사출력,PDF,특수인쇄,Y,,투명PVC,,17600,단면,,,,,,,1,1000,1,,,,,,,,,,,,
14567,접착투명포스터,,1,29,,,,,A2 (420 x 594 mm),,,0,420 x 594,420 x 594,,,PDF,,,,,,17600,,,,,,,,,,,화이트인쇄,,,,,,,,,,,
