comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,_provenance
COMP_POSTER_ACRYLSTK_GLOSS,2026-06-01,SIZ_000324,,,,,,9000.00,,price-poster-sign-l1.csv:B27:B295|prd=PRD_000142|siz_label=290 x 90 mm
COMP_POSTER_ACRYLSTK_GLOSS,2026-06-01,SIZ_000325,,,,,,14000.00,,price-poster-sign-l1.csv:B27:C295|prd=PRD_000142|siz_label=290 x 190 mm
COMP_POSTER_ACRYLSTK_GLOSS,2026-06-01,SIZ_000326,,,,,,32000.00,,price-poster-sign-l1.csv:B27:D295|prd=PRD_000142|siz_label=390 x 290 mm
COMP_POSTER_ACRYLSTK_GLOSS,2026-06-01,SIZ_000327,,,,,,37000.00,,price-poster-sign-l1.csv:B27:E295|prd=PRD_000142|siz_label=590 x 390 mm
COMP_POSTER_ACRYLSTK_MIRROR,2026-06-01,SIZ_000324,,,,,,11000.00,,price-poster-sign-l1.csv:B27:B296|prd=PRD_000143|siz_label=290 x 90 mm
COMP_POSTER_ACRYLSTK_MIRROR,2026-06-01,SIZ_000325,,,,,,18000.00,,price-poster-sign-l1.csv:B27:C296|prd=PRD_000143|siz_label=290 x 190 mm
COMP_POSTER_ACRYLSTK_MIRROR,2026-06-01,SIZ_000326,,,,,,29000.00,,price-poster-sign-l1.csv:B27:D296|prd=PRD_000143|siz_label=390 x 290 mm
COMP_POSTER_ACRYLSTK_MIRROR,2026-06-01,SIZ_000327,,,,,,50000.00,,price-poster-sign-l1.csv:B27:E296|prd=PRD_000143|siz_label=590 x 390 mm
COMP_POSTER_CANVAS_HANGING,2026-06-01,SIZ_000258,,,,,1,6000.00,,price-poster-sign-l1.csv:B19:B218|prd=PRD_000133|siz_label=A4
COMP_POSTER_CANVAS_HANGING,2026-06-01,SIZ_000315,,,,,1,10500.00,,price-poster-sign-l1.csv:B19:C218|prd=PRD_000133|siz_label=A3
COMP_POSTER_CANVAS_HANGING,2026-06-01,SIZ_000317,,,,,1,20000.00,,price-poster-sign-l1.csv:B19:D218|prd=PRD_000133|siz_label=A2
COMP_POSTER_FOAMBOARD_BLACK,2026-06-01,SIZ_000293,,,,,,24000.00,,price-poster-sign-l1.csv:B11:D191|prd=PRD_000129|siz_label=A1
COMP_POSTER_FOAMBOARD_BLACK,2026-06-01,SIZ_000315,,,,,,8500.00,,price-poster-sign-l1.csv:B11:B191|prd=PRD_000129|siz_label=A3
COMP_POSTER_FOAMBOARD_BLACK,2026-06-01,SIZ_000317,,,,,,14000.00,,price-poster-sign-l1.csv:B11:C191|prd=PRD_000129|siz_label=A2
COMP_POSTER_FOAMBOARD_WHITE,2026-06-01,SIZ_000293,,,,,,20000.00,,price-poster-sign-l1.csv:B11:D190|prd=PRD_000129|siz_label=A1
COMP_POSTER_FOAMBOARD_WHITE,2026-06-01,SIZ_000315,,,,,,7000.00,,price-poster-sign-l1.csv:B11:B190|prd=PRD_000129|siz_label=A3
COMP_POSTER_FOAMBOARD_WHITE,2026-06-01,SIZ_000317,,,,,,12000.00,,price-poster-sign-l1.csv:B11:C190|prd=PRD_000129|siz_label=A2
COMP_POSTER_FOMEXBOARD_WHITE3MM,2026-06-01,SIZ_000293,,,,,,23000.00,,price-poster-sign-l1.csv:B11:D196|prd=PRD_000130|siz_label=A1
COMP_POSTER_FOMEXBOARD_WHITE3MM,2026-06-01,SIZ_000315,,,,,,8500.00,,price-poster-sign-l1.csv:B11:B196|prd=PRD_000130|siz_label=A3
COMP_POSTER_FOMEXBOARD_WHITE3MM,2026-06-01,SIZ_000317,,,,,,13000.00,,price-poster-sign-l1.csv:B11:C196|prd=PRD_000130|siz_label=A2
COMP_POSTER_FOMEXBOARD_WHITE5MM,2026-06-01,SIZ_000293,,,,,,30000.00,,price-poster-sign-l1.csv:B11:D197|prd=PRD_000130|siz_label=A1
COMP_POSTER_FOMEXBOARD_WHITE5MM,2026-06-01,SIZ_000315,,,,,,10000.00,,price-poster-sign-l1.csv:B11:B197|prd=PRD_000130|siz_label=A3
COMP_POSTER_FOMEXBOARD_WHITE5MM,2026-06-01,SIZ_000317,,,,,,16000.00,,price-poster-sign-l1.csv:B11:C197|prd=PRD_000130|siz_label=A2
COMP_POSTER_FRAMELESS_WOOD,2026-06-01,SIZ_000293,,,,,1,35000.00,,price-poster-sign-l1.csv:B13:D202|prd=PRD_000131|siz_label=A1
COMP_POSTER_FRAMELESS_WOOD,2026-06-01,SIZ_000315,,,,,1,16000.00,,price-poster-sign-l1.csv:B13:B202|prd=PRD_000131|siz_label=A3
COMP_POSTER_FRAMELESS_WOOD,2026-06-01,SIZ_000317,,,,,1,23000.00,,price-poster-sign-l1.csv:B13:C202|prd=PRD_000131|siz_label=A2
COMP_POSTER_JOKJA,2026-06-01,SIZ_000293,,,,,1,22000.00,,price-poster-sign-l1.csv:B17:D212|prd=PRD_000135|siz_label=A1
COMP_POSTER_JOKJA,2026-06-01,SIZ_000315,,,,,1,13000.00,,price-poster-sign-l1.csv:B17:B212|prd=PRD_000135|siz_label=A3
COMP_POSTER_JOKJA,2026-06-01,SIZ_000317,,,,,1,15000.00,,price-poster-sign-l1.csv:B17:C212|prd=PRD_000135|siz_label=A2
