mat_cd,mat_nm,mat_typ_cd,upr_mat_cd,del_yn,price_ref_cnt,prd_wire_cnt
MAT_000122,띤또,MAT_TYPE.01,,Y,0,0
MAT_000157,모조,MAT_TYPE.01,,Y,0,0
MAT_000075,아트,MAT_TYPE.01,,Y,0,0
MAT_000143,투명,MAT_TYPE.01,,Y,0,1
MAT_000251,그레이,MAT_TYPE.01,,Y,0,1
MAT_000100,랑데뷰,MAT_TYPE.01,,Y,0,0
MAT_000103,몽블랑,MAT_TYPE.01,,Y,0,0
MAT_000146,반투명,MAT_TYPE.01,,Y,0,2
MAT_000071,백모조,MAT_TYPE.01,,Y,0,0
MAT_000085,스노우,MAT_TYPE.01,,Y,0,0
MAT_000094,앙상블,MAT_TYPE.01,,Y,0,0
MAT_000246,전용지,MAT_TYPE.01,,Y,0,2
MAT_000261,무지내지,MAT_TYPE.01,,Y,0,4
MAT_000005,하드커버,MAT_TYPE.01,,Y,0,1
MAT_000007,소프트커버,MAT_TYPE.01,,Y,0,1
MAT_000159,모조 120g,MAT_TYPE.01,MAT_000157,Y,20,1
MAT_000260,아트250 + 무광코팅,MAT_TYPE.01,,Y,0,7
MAT_000119,리브스디자인 250g,MAT_TYPE.01,,Y,1,4
MAT_000009,투명커버,MAT_TYPE.02,,Y,0,0
MAT_000245,투명커버 무광투명커버,MAT_TYPE.02,MAT_000009,Y,0,1
MAT_000244,투명커버 유광투명커버,MAT_TYPE.02,MAT_000009,Y,0,1
MAT_000036,아크릴,MAT_TYPE.03,,Y,0,0
MAT_000192,투명아크릴,MAT_TYPE.03,,Y,0,2
MAT_000040,아크릴 골드,MAT_TYPE.03,MAT_000036,Y,0,0
MAT_000039,아크릴 블랙,MAT_TYPE.03,MAT_000036,Y,0,0
MAT_000041,아크릴 실버,MAT_TYPE.03,MAT_000036,Y,0,0
MAT_000037,아크릴 투명,MAT_TYPE.03,MAT_000036,Y,0,0
MAT_000038,아크릴 화이트,MAT_TYPE.03,MAT_000036,Y,0,0
MAT_000024,볼체인,MAT_TYPE.04,,Y,0,0
MAT_000030,볼체인 검정,MAT_TYPE.04,MAT_000024,Y,0,0
MAT_000027,볼체인 노랑,MAT_TYPE.04,MAT_000024,Y,0,0
MAT_000025,볼체인 빨강,MAT_TYPE.04,MAT_000024,Y,0,0
MAT_000026,볼체인 주황,MAT_TYPE.04,MAT_000024,Y,0,0
MAT_000028,볼체인 초록,MAT_TYPE.04,MAT_000024,Y,0,0
MAT_000029,볼체인 파랑,MAT_TYPE.04,MAT_000024,Y,0,0
MAT_000017,D링,MAT_TYPE.04,,Y,0,0
MAT_000061,파우치,MAT_TYPE.05,,Y,0,0
MAT_000062,파우치 블랙,MAT_TYPE.05,MAT_000061,Y,0,0
MAT_000065,파우치 투명,MAT_TYPE.05,MAT_000061,Y,0,0
MAT_000066,파우치 멜란지,MAT_TYPE.05,MAT_000061,Y,0,0
MAT_000064,파우치 반투명,MAT_TYPE.05,MAT_000061,Y,0,0
MAT_000067,파우치 청보라,MAT_TYPE.05,MAT_000061,Y,0,0
MAT_000063,파우치 화이트,MAT_TYPE.05,MAT_000061,Y,0,0
MAT_000008,레더,MAT_TYPE.06,,Y,0,23
MAT_000006,레더하드커버,MAT_TYPE.06,,Y,0,1
MAT_000173,레더하드커버 A,MAT_TYPE.06,,Y,0,0
MAT_000175,레더하드커버 A4,MAT_TYPE.06,MAT_000173,Y,0,0
MAT_000174,레더하드커버 A5,MAT_TYPE.06,MAT_000173,Y,0,0
MAT_000070,끈,MAT_TYPE.07,,Y,0,2
MAT_000338,각목,MAT_TYPE.07,,Y,0,1
MAT_000337,큐방,MAT_TYPE.07,,Y,0,1
MAT_000340,봉제사,MAT_TYPE.07,,Y,0,1
MAT_000058,굿즈부속,MAT_TYPE.07,,Y,0,0
MAT_000069,양면테입,MAT_TYPE.07,,Y,0,1
MAT_000045,아크릴부자재,MAT_TYPE.07,,Y,0,0
MAT_000034,캘린더부자재 우드거치대,MAT_TYPE.07,MAT_000031,Y,0,0
MAT_000059,굿즈부속 라벨,MAT_TYPE.07,MAT_000058,Y,0,0
MAT_000339,각목(900초과),MAT_TYPE.07,,Y,0,0
MAT_000258,골드,MAT_TYPE.08,,Y,0,1
MAT_000256,블랙,MAT_TYPE.08,,Y,0,6
MAT_000259,실버,MAT_TYPE.08,,Y,0,1
MAT_000255,화이트,MAT_TYPE.08,,Y,0,5
MAT_000068,실사소재,MAT_TYPE.08,,Y,0,0
MAT_000257,홀로그램,MAT_TYPE.08,,Y,0,1
MAT_000306,꽃,MAT_TYPE.09,,Y,0,0
MAT_000307,별,MAT_TYPE.09,,Y,0,0
MAT_000299,검정,MAT_TYPE.09,,Y,0,1
MAT_000303,노랑,MAT_TYPE.09,,Y,0,1
MAT_000271,단면,MAT_TYPE.09,,Y,0,2
MAT_000298,빨강,MAT_TYPE.09,,Y,0,1
MAT_000305,사각,MAT_TYPE.09,,Y,0,0
MAT_000272,양면,MAT_TYPE.09,,Y,0,3
MAT_000304,원형,MAT_TYPE.09,,Y,0,0
MAT_000301,초록,MAT_TYPE.09,,Y,0,1
MAT_000300,파랑,MAT_TYPE.09,,Y,0,1
MAT_000302,핑크,MAT_TYPE.09,,Y,0,1
MAT_000308,하트,MAT_TYPE.09,,Y,0,0
MAT_000333,가로형,MAT_TYPE.09,,Y,0,3
MAT_000331,마카롱,MAT_TYPE.09,,Y,0,1
MAT_000332,세로형,MAT_TYPE.09,,Y,0,5
MAT_000330,정사각,MAT_TYPE.09,,Y,0,2
MAT_000329,직사각,MAT_TYPE.09,,Y,0,2
