root_mat_cd,root_nm,mat_typ_cd,active,child_count,weight,width,height,price_ref,wire,hier_role,upr_mat_cd,parent_nm,parent_active
MAT_000004,인쇄면지,MAT_TYPE.01,N,0,,,,0,2,FLAT(standalone_stock),,,
MAT_000172,하드커버전용지+무광코팅,MAT_TYPE.01,N,0,,,,0,0,FLAT(standalone_stock),,,
MAT_000241,스타드림(로츠쿼츠) 240g,MAT_TYPE.01,N,0,,,,0,2,FLAT(standalone_stock),,,
MAT_000240,스타드림(다이아) 240g,MAT_TYPE.01,N,0,,,,0,2,FLAT(standalone_stock),,,
MAT_000250,아트250+무광코팅,MAT_TYPE.01,N,0,,,,0,1,FLAT(standalone_stock),,,
MAT_000151,팬시크라프트 120g,MAT_TYPE.01,N,0,120.00,316.00,467.00,1,0,FLAT(standalone_stock),,,
MAT_000125,한지 170g,MAT_TYPE.01,N,0,170.00,316.00,467.00,1,8,FLAT(standalone_stock),,,
MAT_000116,린넨커버 216g,MAT_TYPE.01,N,0,216.00,316.00,467.00,1,11,FLAT(standalone_stock),,,
MAT_000126,스코트랜드 220g,MAT_TYPE.01,N,0,220.00,316.00,467.00,1,4,FLAT(standalone_stock),,,
MAT_000115,매쉬멜로우 233g,MAT_TYPE.01,N,0,233.00,316.00,467.00,1,11,FLAT(standalone_stock),,,
MAT_000117,스타화이트(하이테크) 238g,MAT_TYPE.01,N,0,238.00,316.00,467.00,1,4,FLAT(standalone_stock),,,
MAT_000114,리사이클러스 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,1,11,FLAT(standalone_stock),,,
MAT_000127,스타드림(다이아몬드) 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,3,7,FLAT(standalone_stock),,,
MAT_000130,스타드림(로즈쿼츠) 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,3,3,FLAT(standalone_stock),,,
MAT_000129,스타드림(골드) 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,1,5,FLAT(standalone_stock),,,
MAT_000128,스타드림(실버) 240g,MAT_TYPE.01,N,0,240.00,316.00,467.00,1,5,FLAT(standalone_stock),,,
MAT_000150,뉴크라프트 250g,MAT_TYPE.01,N,0,250.00,316.00,467.00,1,0,FLAT(standalone_stock),,,
MAT_000120,매직터치(백색) 250g,MAT_TYPE.01,N,0,250.00,316.00,467.00,1,3,FLAT(standalone_stock),,,
MAT_000113,아코팩(웜화이트) 250g,MAT_TYPE.01,N,0,250.00,316.00,467.00,1,14,FLAT(standalone_stock),,,
MAT_000121,켄도 250g,MAT_TYPE.01,N,0,250.00,316.00,467.00,1,4,FLAT(standalone_stock),,,
MAT_000142,유니크라프트 260g,MAT_TYPE.01,N,0,260.00,316.00,467.00,1,0,FLAT(standalone_stock),,,
MAT_000139,큐리어스스킨 다크블루 270g,MAT_TYPE.01,N,0,270.00,316.00,467.00,1,3,FLAT(standalone_stock),,,
MAT_000140,큐리어스스킨 바이올렛 270g,MAT_TYPE.01,N,0,270.00,316.00,467.00,1,3,FLAT(standalone_stock),,,
MAT_000137,큐리어스스킨 화이트 270g,MAT_TYPE.01,N,0,270.00,316.00,467.00,5,1,FLAT(standalone_stock),,,
