mat_cd,mat_nm,mat_typ_cd,mat_typ_nm,upr_mat_cd,upr_mat_nm,width,height,depth,weight,bdl_qty,sel_typ_cd,use_yn,del_yn,note,active_child_cnt,price_ref_cnt,prd_wire_cnt
MAT_000081,아트지 250g,MAT_TYPE.01,디지털인쇄용지,MAT_000075,아트,316.00,467.00,,250.00,,,Y,N,,0,3,12
MAT_000082,아트지 300g,MAT_TYPE.01,디지털인쇄용지,MAT_000075,아트,316.00,467.00,,300.00,,,Y,N,,0,5,15
MAT_000086,스노우지 100g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,100.00,,,Y,N,,0,1,4
MAT_000087,스노우지 120g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,120.00,,,Y,N,,0,1,7
MAT_000088,스노우지 150g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,150.00,,,Y,N,,0,1,7
MAT_000089,스노우지 180g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,180.00,,,Y,N,,0,1,7
MAT_000090,스노우지 200g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,200.00,,,Y,N,,0,1,10
MAT_000091,스노우지 250g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,250.00,,,Y,N,,0,1,14
MAT_000093,스노우지 250g (3절),MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,250.00,,,Y,N,,0,0,1
MAT_000092,스노우지 300g,MAT_TYPE.01,디지털인쇄용지,MAT_000085,스노우,316.00,467.00,,300.00,,,Y,N,,0,1,12
MAT_000095,앙상블 100g,MAT_TYPE.01,디지털인쇄용지,MAT_000094,앙상블,316.00,467.00,,100.00,,,Y,N,,0,1,5
MAT_000096,앙상블 130g,MAT_TYPE.01,디지털인쇄용지,MAT_000094,앙상블,316.00,467.00,,130.00,,,Y,N,,0,1,5
MAT_000097,앙상블 160g,MAT_TYPE.01,디지털인쇄용지,MAT_000094,앙상블,316.00,467.00,,160.00,,,Y,N,,0,1,5
MAT_000098,앙상블 190g,MAT_TYPE.01,디지털인쇄용지,MAT_000094,앙상블,316.00,467.00,,190.00,,,Y,N,,0,1,5
MAT_000099,앙상블 210g,MAT_TYPE.01,디지털인쇄용지,MAT_000094,앙상블,316.00,467.00,,210.00,,,Y,N,,0,1,5
MAT_000101,랑데뷰 WH 240g,MAT_TYPE.01,디지털인쇄용지,MAT_000100,랑데뷰,316.00,467.00,,240.00,,,Y,N,,0,1,7
MAT_000102,랑데뷰 WH 310g,MAT_TYPE.01,디지털인쇄용지,MAT_000100,랑데뷰,316.00,467.00,,310.00,,,Y,N,,0,1,3
MAT_000104,몽블랑 100g,MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,100.00,,,Y,N,,0,1,7
MAT_000105,몽블랑 130g,MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,130.00,,,Y,N,,0,1,11
MAT_000110,몽블랑 130g (3절),MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,130.00,,,Y,N,,0,0,0
MAT_000106,몽블랑 160g,MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,160.00,,,Y,N,,0,1,6
MAT_000107,몽블랑 190g,MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,190.00,,,Y,N,,0,1,14
MAT_000111,몽블랑 190g (3절),MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,190.00,,,Y,N,,0,0,1
MAT_000108,몽블랑 210g,MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,210.00,,,Y,N,,0,1,8
MAT_000109,몽블랑 240g,MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,240.00,,,Y,N,,0,1,17
MAT_000112,몽블랑 240g (3절),MAT_TYPE.01,디지털인쇄용지,MAT_000103,몽블랑,316.00,467.00,,240.00,,,Y,N,,0,0,1
MAT_000123,띤또레또 200g,MAT_TYPE.01,디지털인쇄용지,MAT_000122,띤또,464.00,320.00,,200.00,,,Y,N,,0,1,10
MAT_000124,띤또레또 250g,MAT_TYPE.01,디지털인쇄용지,MAT_000122,띤또,464.00,320.00,,250.00,,,Y,N,,0,1,4
MAT_000144,투명 PET 260g,MAT_TYPE.01,디지털인쇄용지,MAT_000143,투명,315.00,467.00,,260.00,,,Y,N,,0,0,0
MAT_000145,투명 PET 350g,MAT_TYPE.01,디지털인쇄용지,MAT_000143,투명,315.00,467.00,,350.00,,,Y,N,,0,0,0
MAT_000147,반투명 PET 260g,MAT_TYPE.01,디지털인쇄용지,MAT_000146,반투명,315.00,467.00,,260.00,,,Y,N,,0,0,0
MAT_000148,반투명 PET 350g,MAT_TYPE.01,디지털인쇄용지,MAT_000146,반투명,315.00,467.00,,350.00,,,Y,N,,0,0,0
MAT_000002,블랙면지,MAT_TYPE.02,링제본부자재,,,,,,,,SEL_TYPE.01,Y,N,D-29,0,0,4
MAT_000003,그레이면지,MAT_TYPE.02,링제본부자재,,,,,,,,SEL_TYPE.01,Y,N,D-29,0,0,4
MAT_000001,화이트면지,MAT_TYPE.02,링제본부자재,,,,,,,,SEL_TYPE.01,Y,N,D-29 위치 unaware,0,0,4
MAT_000249,D링(56mm),MAT_TYPE.02,링제본부자재,,,,,,,,,Y,N,,0,0,1
MAT_000011,투명커버 무광,MAT_TYPE.02,링제본부자재,MAT_000009,투명커버,,,,,,,Y,N,,0,0,0
MAT_000010,투명커버 유광,MAT_TYPE.02,링제본부자재,MAT_000009,투명커버,,,,,,,Y,N,,0,0,0
MAT_000032,삼각대(그레이),MAT_TYPE.02,링제본부자재,MAT_000031,캘린더부자재,,,,,,,Y,N,,0,0,0
MAT_000193,아크릴 화이트 3mm,MAT_TYPE.03,아크릴부자재,,,,,,,,,Y,N,,0,0,0
MAT_000195,아크릴 골드 3mm,MAT_TYPE.03,아크릴부자재,,,,,,,,,Y,N,,0,0,1
MAT_000194,아크릴 블랙 3mm,MAT_TYPE.03,아크릴부자재,,,,,,,,,Y,N,,0,0,0
MAT_000196,아크릴 실버 3mm,MAT_TYPE.03,아크릴부자재,,,,,,,,,Y,N,,0,0,1
MAT_000042,아크릴 투명 1.5mm,MAT_TYPE.03,아크릴부자재,MAT_000036,아크릴,,,,,,,Y,N,,0,52,1
MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,아크릴부자재,MAT_000036,아크릴,,,,,,,Y,N,,0,113,17
MAT_000044,아크릴 투명 8mm,MAT_TYPE.03,아크릴부자재,MAT_000036,아크릴,,,,,,,Y,N,,0,0,2
MAT_000012,링,MAT_TYPE.04,하드커버부자재,,,,,,,,SEL_TYPE.01,Y,N,캘린더링/책자링,5,0,0
MAT_000021,캘린더링,MAT_TYPE.04,하드커버부자재,,,,,,,,SEL_TYPE.01,Y,N,,2,0,0
MAT_000015,링 메탈링,MAT_TYPE.04,하드커버부자재,MAT_000012,링,,,,,,,Y,N,,0,0,2
MAT_000014,링 블랙링,MAT_TYPE.04,하드커버부자재,MAT_000012,링,,,,,,,Y,N,,0,0,2
MAT_000016,링 실버링,MAT_TYPE.04,하드커버부자재,MAT_000012,링,,,,,,,Y,N,,0,0,0
MAT_000013,링 화이트링,MAT_TYPE.04,하드커버부자재,MAT_000012,링,,,,,,,Y,N,,0,0,2
MAT_000018,D링 31mm,MAT_TYPE.04,하드커버부자재,MAT_000017,D링,,,,,,,Y,N,,0,0,0
MAT_000019,D링 42mm,MAT_TYPE.04,하드커버부자재,MAT_000017,D링,,,,,,,Y,N,,0,0,0
MAT_000020,D링 56mm,MAT_TYPE.04,하드커버부자재,MAT_000017,D링,,,,,,,Y,N,,0,0,0
MAT_000023,캘린더링 블랙,MAT_TYPE.04,하드커버부자재,MAT_000021,캘린더링,,,,,,,Y,N,,0,0,0
MAT_000022,캘린더링 화이트,MAT_TYPE.04,하드커버부자재,MAT_000021,캘린더링,,,,,,,Y,N,,0,0,0
MAT_000184,린넨,MAT_TYPE.05,특수소재,,,,,,,,,Y,N, | 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,7
MAT_000185,캔버스(옥스포드),MAT_TYPE.05,특수소재,,,,,,,,,Y,N,| 정정 2026-06-14: 실사소재(.08)→원단(.05) product-bom §146,0,0,11
