prd_cd	prd_nm	mat_cd	mat_nm	mat_typ_cd	usage_cd	dflt_yn
PRD_000194	워터북보틀	MAT_000269	워터북보틀	MAT_TYPE.12	USAGE.07	Y
PRD_000194	워터북보틀	MAT_000343	워터북보틀 500ml	MAT_TYPE.12	USAGE.07	Y
PRD_000195	벨벳쿠션	MAT_000271	단면	MAT_TYPE.09	USAGE.07	Y
PRD_000195	벨벳쿠션	MAT_000272	양면	MAT_TYPE.09	USAGE.07	Y
PRD_000198	피크닉매트	MAT_000255	화이트	MAT_TYPE.08	USAGE.07	Y
PRD_000198	피크닉매트	MAT_000256	블랙	MAT_TYPE.08	USAGE.07	Y
PRD_000201	레더스트랩키링	MAT_000379	레더(화이트)	MAT_TYPE.05	USAGE.07	N
PRD_000202	키캡키링	MAT_000277	2구	MAT_TYPE.09	USAGE.07	Y
PRD_000202	키캡키링	MAT_000278	3구	MAT_TYPE.09	USAGE.07	Y
PRD_000202	키캡키링	MAT_000279	4구	MAT_TYPE.09	USAGE.07	Y
PRD_000203	LED투명키캡키링	MAT_000277	2구	MAT_TYPE.09	USAGE.07	Y
PRD_000203	LED투명키캡키링	MAT_000278	3구	MAT_TYPE.09	USAGE.07	Y
PRD_000203	LED투명키캡키링	MAT_000279	4구	MAT_TYPE.09	USAGE.07	Y
PRD_000203	LED투명키캡키링	MAT_000280	1구	MAT_TYPE.09	USAGE.07	Y
PRD_000216	투명클립보드	MAT_000295	A5용	MAT_TYPE.09	USAGE.07	Y
PRD_000216	투명클립보드	MAT_000296	A4용	MAT_TYPE.09	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000574	만년스탬프 원형 13x13mm	MAT_TYPE.06	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000575	만년스탬프 원형 19x19mm	MAT_TYPE.06	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000576	만년스탬프 원형 24x24mm	MAT_TYPE.06	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000577	만년스탬프 원형 35x35mm	MAT_TYPE.06	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000578	만년스탬프 사각 30x30mm	MAT_TYPE.06	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000579	만년스탬프 사각 67x32mm	MAT_TYPE.06	USAGE.07	Y
PRD_000217	만년스탬프	MAT_000580	만년스탬프 사각 78x28mm	MAT_TYPE.06	USAGE.07	Y
PRD_000220	폰스트랩	MAT_000571	폰스트랩배경지	MAT_TYPE.07	USAGE.07	Y
PRD_000229	이미지피켓	MAT_000317	양면유광 M	MAT_TYPE.09	USAGE.07	Y
PRD_000229	이미지피켓	MAT_000318	양면유광 L	MAT_TYPE.09	USAGE.07	Y
PRD_000230	레더 플랫 파우치	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000231	레더 슬림 파우치	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000232	레더 삼각 파우치	MAT_000379	레더(화이트)	MAT_TYPE.05	USAGE.07	Y
PRD_000233	레더 볼륨 파우치	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000233	레더 볼륨 파우치	MAT_000321	정사각M	MAT_TYPE.09	USAGE.07	Y
PRD_000233	레더 볼륨 파우치	MAT_000322	직사각M	MAT_TYPE.09	USAGE.07	Y
PRD_000238	레더 아이패드/노트북 파우치	MAT_000008	레더	MAT_TYPE.06	USAGE.07	Y
PRD_000238	레더 아이패드/노트북 파우치	MAT_000323	11인치	MAT_TYPE.09	USAGE.07	Y
PRD_000238	레더 아이패드/노트북 파우치	MAT_000324	13인치	MAT_TYPE.09	USAGE.07	Y
PRD_000238	레더 아이패드/노트북 파우치	MAT_000325	15인치	MAT_TYPE.09	USAGE.07	Y
PRD_000239	캔버스 플랫 파우치	MAT_000185	캔버스(옥스포드)	MAT_TYPE.05	USAGE.07	Y
PRD_000239	캔버스 플랫 파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000239	캔버스 플랫 파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000243	린넨 스트링 파우치	MAT_000184	린넨	MAT_TYPE.05	USAGE.07	Y
PRD_000243	린넨 스트링 파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000243	린넨 스트링 파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000243	린넨 스트링 파우치	MAT_000326	S	MAT_TYPE.09	USAGE.07	Y
PRD_000244	타이벡 플랫 파우치	MAT_000319	M	MAT_TYPE.09	USAGE.07	Y
PRD_000244	타이벡 플랫 파우치	MAT_000320	L	MAT_TYPE.09	USAGE.07	Y
PRD_000244	타이벡 플랫 파우치	MAT_000327	XL	MAT_TYPE.09	USAGE.07	Y
