mallProductNo,productName,productManagementCd,saleStatusType,nonmemberPurchaseYn,minorPurchaseYn,memberGradeDisplayInfo,memberGroupDisplayInfo,판정,조회오류
136009172,틴케이스,PRD_000213,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009171,장패드,PRD_000211,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009168,초슬림마우스패드,PRD_000210,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009167,중철노트,PRD_000181,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009166,메모패드,PRD_000179,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009165,스프링수첩,PRD_000178,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009164,스프링노트,PRD_000177,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009162,먼슬리플래너,PRD_000176-DUP-136009162,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009160,만년다이어리(레더소프트커버),PRD_000175-DUP-136009160,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009159,만년다이어리(레더하드커버),PRD_000174-DUP-136009159,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009158,만년다이어리(하드커버),PRD_000173-DUP-136009158,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009157,만년다이어리(소프트커버),PRD_000172-DUP-136009157,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009154,떡메모지,PRD_000097,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009153,레더링바인더,PRD_000088,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009030,엽서캘린더,PRD_000110,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009029,레더하드커버책자,PRD_000077,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009028,하드커버책자,PRD_000072,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009025,화이트인쇄엽서,PRD_000020,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009023,투명엽서,PRD_000019,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009020,프리미엄 쿠폰/상품권,PRD_000042,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009019,스탠다드 쿠폰/상품권,PRD_000041,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009013,린넨우드봉족자,PRD_000134,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009012,레더아트액자,PRD_000132,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009010,프레임리스우드액자,PRD_000131,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009008,메쉬프린트,PRD_000128,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009007,타이벡프린트,PRD_000127,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009006,레더아트프린트,PRD_000126,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009000,와이드벽걸이캘린더,PRD_000112,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
