mallProductNo,productName,productManagementCd,saleStatusType,nonmemberPurchaseYn,minorPurchaseYn,memberGradeDisplayInfo,memberGroupDisplayInfo,판정,조회오류
136008909,우드거치대,PRD_000012,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008908,자석고정용고무판,PRD_000011,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008906,행택끈,PRD_000010,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008905,투명케이스,PRD_000009,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008904,와이어링,PRD_000007,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008902,볼체인,PRD_000006,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008901,캘린더봉투,PRD_000005,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008899,카드봉투,PRD_000004,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008897,OPP비접착봉투,PRD_000002,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008896,OPP접착봉투,PRD_000001,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008895,포토북 [디자인명],PRD_000100,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008893,트윈링책자,PRD_000071,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008891,PUR책자,PRD_000070,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008889,미니배너,PRD_000145,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008886,홀로그램 시트커팅,PRD_000141,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008885,무광시트커팅,PRD_000140,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008884,메쉬현수막,PRD_000139,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008883,일반현수막,PRD_000138,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008880,메쉬배너,PRD_000137,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008879,PET배너,PRD_000136,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008878,타이벡북커버,PRD_000218,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008872,먼슬리플래너,PRD_000176,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008871,만년다이어리(레더소프트커버),PRD_000175,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008870,만년다이어리(레더하드커버),PRD_000174,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008868,만년다이어리(하드커버),PRD_000173,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136008703,만년다이어리(소프트커버),PRD_000172,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
132773416,3단접지카드,PRD_000029,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
132773415,2단접지카드,PRD_000027,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
132773414,스탠다드엽서,PRD_000018,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
132773413,코팅엽서,PRD_000017,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
132773412,프리미엄엽서,PRD_000016,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
132481433,투명포토카드,PRD_000025,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
