1,MAT_000072,백색모조지 100g,Y
2,MAT_000073,백색모조지 120g,N
3,MAT_000074,백색모조지 220g,N
4,MAT_000076,아트지 100g,N
5,MAT_000077,아트지 120g,N
6,MAT_000078,아트지 150g,N
7,MAT_000079,아트지 180g,N
8,MAT_000080,아트지 200g,N
9,MAT_000081,아트지 250g,N
10,MAT_000082,아트지 300g,N
11,MAT_000086,스노우지 100g,N
12,MAT_000087,스노우지 120g,N
13,MAT_000088,스노우지 150g,N
14,MAT_000089,스노우지 180g,N
15,MAT_000090,스노우지 200g,N
16,MAT_000091,스노우지 250g,N
17,MAT_000092,스노우지 300g,N
18,MAT_000095,앙상블 100g,N
19,MAT_000096,앙상블 130g,N
20,MAT_000097,앙상블 160g,N
21,MAT_000098,앙상블 190g,N
22,MAT_000099,앙상블 210g,N
23,MAT_000101,랑데뷰 WH 240g,N
24,MAT_000102,랑데뷰 WH 310g,N
25,MAT_000104,몽블랑 100g,N
26,MAT_000105,몽블랑 130g,N
27,MAT_000106,몽블랑 160g,N
28,MAT_000107,몽블랑 190g,N
29,MAT_000108,몽블랑 210g,N
30,MAT_000109,몽블랑 240g,N
31,MAT_000113,아코팩,N
32,MAT_000114,리사이클러스,N
33,MAT_000115,매쉬멜로우,N
34,MAT_000116,린넨커버,N
35,MAT_000117,스타화이트,N
36,MAT_000118,클래식 크래스트,N
37,MAT_000119,리브스디자인 250g,N
38,MAT_000120,매직터치,N
39,MAT_000121,켄도,N
40,MAT_000123,띤또레또 200g,N
41,MAT_000124,띤또레또 250g,N
42,MAT_000125,한지,N
43,MAT_000126,스코트랜드,N
44,MAT_000127,스타드림,N
