prd_cd,prd_nm,map_category,status,cat_cd,cat_nm,main_cat_yn,match_level,live_opt_n,live_priced,multi_class,note
PRD_000024,포토카드,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,7,Y,,
PRD_000025,투명포토카드,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,4,Y,,
PRD_000026,종이슬로건,01 엽서,GREEN,CAT_000001,엽서/카드,Y,L1직속,5,Y,,
PRD_000052,반칼 자유형 스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,7,Y,,
PRD_000053,반칼 자유형 투명스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,4,Y,,
PRD_000055,낱장 자유형 스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,3,Y,,
PRD_000066,합판도무송스티커,02 스티커,GREEN,CAT_000002,스티커,Y,L1직속,7,Y,,
PRD_000031,프리미엄명함,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,30,Y,,
PRD_000032,코팅명함,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,8,Y,,
PRD_000033,스탠다드명함,03 인쇄홍보물,GREEN,CAT_000003,인쇄홍보물,Y,L1직속,11,Y,,
PRD_000120,방수포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000121,접착방수포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000122,접착투명포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000133,캔버스행잉포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000134,린넨 우드봉족자,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,1,Y,,
PRD_000135,족자포스터,04 포스터,GREEN,CAT_000004,포스터,Y,L1직속,2,Y,,
PRD_000136,PET배너,05 사인,GREEN,CAT_000005,사인,Y,L1직속,4,Y,,
PRD_000137,메쉬배너,05 사인,GREEN,CAT_000005,사인,Y,L1직속,1,Y,,
PRD_000138,일반현수막,05 사인,GREEN,CAT_000005,사인,Y,L1직속,18,Y,,
PRD_000139,메쉬현수막,05 사인,GREEN,CAT_000005,사인,Y,L1직속,3,Y,,
PRD_000145,미니배너,05 사인,GREEN,CAT_000005,사인,Y,L1직속,2,Y,,
PRD_000068,중철책자,06 책자,GREEN,CAT_000006,책자,Y,L1직속,35,Y,,
PRD_000069,무선책자,06 책자,GREEN,CAT_000006,책자,Y,L1직속,32,Y,,
PRD_000071,트윈링책자,06 책자,GREEN,CAT_000006,책자,Y,L1직속,60,Y,,
PRD_000027,2단접지카드,01 엽서,GREEN,CAT_000021,접지카드,Y,L2노드일치(가변깊이),25,Y,,가변깊이: L2 접지카드 활성노드 귀속(L1직속→deeper)
PRD_000029,3단접지카드,01 엽서,GREEN,CAT_000021,접지카드,Y,L2노드일치(가변깊이),25,Y,,가변깊이: L2 접지카드 활성노드 귀속(L1직속→deeper)
PRD_000047,소량전단지,03 인쇄홍보물,GREEN,CAT_000058,전단지/리플랫,Y,L2노드일치(가변깊이),53,Y,,가변깊이: L2 전단지/리플랫 활성노드 귀속(L1직속→deeper)
PRD_000041,스탠다드 쿠폰/상품권,03 인쇄홍보물,GREEN,CAT_000062,쿠폰/상품권,Y,L2노드일치(가변깊이),10,Y,,가변깊이: L2 쿠폰/상품권 활성노드 귀속(L1직속→deeper)
PRD_000042,프리미엄 상품권/쿠폰,03 인쇄홍보물,GREEN,CAT_000062,쿠폰/상품권,Y,L2노드일치(가변깊이),22,Y,,가변깊이: L2 쿠폰/상품권 활성노드 귀속(L1직속→deeper)
PRD_000124,린넨패브릭포스터,04 포스터,GREEN,CAT_000072,패브릭포스터,Y,L2노드일치(가변깊이),5,Y,,가변깊이: L2 패브릭포스터 활성노드 귀속(L1직속→deeper)
PRD_000125,캔버스패브릭포스터,04 포스터,GREEN,CAT_000072,패브릭포스터,Y,L2노드일치(가변깊이),1,Y,,가변깊이: L2 패브릭포스터 활성노드 귀속(L1직속→deeper)
PRD_000118,아트프린트포스터,04 포스터,GREEN,CAT_000076,아트프린트,Y,L2노드일치(가변깊이),2,Y,,가변깊이: L2 아트프린트 활성노드 귀속(L1직속→deeper)
PRD_000016,프리미엄엽서,01 엽서,GREEN,CAT_000307,엽서,Y,L2노드일치(가변깊이),41,Y,,가변깊이: L2 엽서 활성노드 귀속(L1직속→deeper)
PRD_000017,코팅엽서,01 엽서,GREEN,CAT_000307,엽서,Y,L2노드일치(가변깊이),8,Y,,가변깊이: L2 엽서 활성노드 귀속(L1직속→deeper)
PRD_000018,스탠다드엽서,01 엽서,GREEN,CAT_000307,엽서,Y,L2노드일치(가변깊이),15,Y,,가변깊이: L2 엽서 활성노드 귀속(L1직속→deeper)
PRD_000094,엽서북,01 엽서,GREEN,CAT_000308,엽서북,Y,L2노드일치,13,Y,,
