PROC_000001,인쇄,,,1,Y,Decision 14 v3 — 1상품=1인쇄방식,2026-06-03 12:46:02.974607,,N,
PROC_000002,UV,,"{""inputs"": [{""key"": ""변형"", ""type"": ""enum"", ""values"": [""일반"", ""배면양면"", ""풀빼다"", ""투명테두리"", ""단면""]}]}",23,Y,R4-3 D-25,2026-06-03 12:46:02.974607,2026-06-17 01:41:05.86143,N,
PROC_000003,옵셋,PROC_000001,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000004,디지털,PROC_000001,,3,Y,토너 (후니 현재 운영),2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000005,실크,PROC_000001,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000006,실사,PROC_000001,,5,Y,D-14 v3 b.9 실사 default,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000007,별색인쇄,,,2,Y,Decision 12 잉크 색상 (선택유형=다중),2026-06-03 12:46:02.974607,,N,
PROC_000008,화이트,PROC_000007,,1,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000009,클리어,PROC_000007,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000010,핑크,PROC_000007,,3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000011,금색,PROC_000007,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000012,은색,PROC_000007,,5,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607,N,
PROC_000013,코팅,,"{""inputs"": [{""key"": ""면"", ""type"": ""enum"", ""values"": [""단면"", ""양면""]}]}",3,Y,다중 가능,2026-06-03 12:46:02.974607,2026-06-17 01:35:21.102991,N,
PROC_000014,유광,PROC_000013,,1,Y,,2026-06-03 12:46:02.974607,2026-06-17 01:35:21.102991,N,
PROC_000015,무광,PROC_000013,,2,Y,,2026-06-03 12:46:02.974607,2026-06-17 01:35:21.102991,N,
PROC_000016,UV,PROC_000013,,3,Y,,2026-06-03 12:46:02.974607,2026-06-17 01:35:21.102991,N,
