PROC_000002,14,14
PROC_000008,5,5
PROC_000014,21,21
PROC_000015,30,30
PROC_000018,2,2
PROC_000019,1,1
PROC_000020,2,2
PROC_000021,5,5
PROC_000022,3,3
PROC_000023,4,4
PROC_000024,1,1
PROC_000027,13,13
PROC_000028,13,13
PROC_000029,4,4
PROC_000030,4,4
PROC_000031,11,11
PROC_000032,11,11
PROC_000037,8,8
PROC_000038,8,8
PROC_000039,8,8
PROC_000040,8,8
PROC_000041,8,8
PROC_000042,8,8
PROC_000043,8,8
PROC_000044,8,8
PROC_000051,2,2
PROC_000052,2,2
PROC_000053,3,3
PROC_000054,4,4
PROC_000055,7,7
PROC_000060,1,1
PROC_000065,1,1
PROC_000066,1,1
PROC_000067,1,1
PROC_000068,1,1
PROC_000071,1,1
PROC_000073,1,1
PROC_000074,1,1
PROC_000076,11,11
PROC_000079,6,6
PROC_000080,5,5
PROC_000081,10,10
PROC_000082,1,1
PROC_000083,1,1
PROC_000084,2,2
