prd_cd,mat_cd,usage_cd,del_yn
PRD_000194,MAT_000269,USAGE.07,N
PRD_000194,MAT_000343,USAGE.07,N
PRD_000198,MAT_000255,USAGE.07,N
PRD_000198,MAT_000256,USAGE.07,N
PRD_000217,MAT_000297,USAGE.07,Y
PRD_000217,MAT_000298,USAGE.07,Y
PRD_000217,MAT_000299,USAGE.07,Y
PRD_000217,MAT_000300,USAGE.07,Y
PRD_000217,MAT_000301,USAGE.07,Y
PRD_000217,MAT_000302,USAGE.07,Y
PRD_000217,MAT_000303,USAGE.07,Y
PRD_000217,MAT_000539,USAGE.07,Y
PRD_000217,MAT_000540,USAGE.07,Y
PRD_000217,MAT_000541,USAGE.07,Y
PRD_000217,MAT_000542,USAGE.07,Y
PRD_000217,MAT_000543,USAGE.07,Y
PRD_000217,MAT_000544,USAGE.07,Y
PRD_000217,MAT_000545,USAGE.07,Y
PRD_000217,MAT_000574,USAGE.07,N
PRD_000217,MAT_000575,USAGE.07,N
PRD_000217,MAT_000576,USAGE.07,N
PRD_000217,MAT_000577,USAGE.07,N
PRD_000217,MAT_000578,USAGE.07,N
PRD_000217,MAT_000579,USAGE.07,N
PRD_000217,MAT_000580,USAGE.07,N
PRD_000226,MAT_000309,USAGE.07,N
PRD_000226,MAT_000310,USAGE.07,N
PRD_000226,MAT_000311,USAGE.07,N
PRD_000226,MAT_000312,USAGE.07,N
PRD_000226,MAT_000313,USAGE.07,N
PRD_000226,MAT_000314,USAGE.07,N
PRD_000226,MAT_000315,USAGE.07,N
