awkjob_name,product_count
전체라운딩,38
타공2개(6mm),34
미싱1줄(가로),33
미싱1줄(세로),33
미싱2줄(가로),33
미싱2줄(세로),33
미싱3줄(가로),33
미싱3줄(세로),33
타공1개(5mm),33
타공1개(6mm),33
타공2개(5mm),33
타공3개(5mm),33
타공3개(6mm),33
미싱1줄(가로중앙),32
미싱1줄(세로중앙),32
부분라운딩,30
타공1개(3mm),27
타공1개(4mm),27
타공1개(7mm),27
타공1개(8mm),27
타공2개(3mm),27
타공2개(4mm),27
타공2개(7mm),27
타공2개(8mm),27
타공3개(3mm),27
타공3개(4mm),27
타공3개(7mm),27
타공3개(8mm),27
단면 무광코팅,26
단면 유광코팅,26
오시1줄(가로),25
오시1줄(가로중앙),25
오시1줄(세로),25
오시1줄(세로중앙),25
오시2줄(가로),25
오시2줄(세로),25
오시3줄(가로),25
오시3줄(세로),25
형압 15mm이하,21
형압 30mm이하,21
형압 70mm이하,21
형압 90mm미만,21
양면 무광코팅,20
금박무광(앞면) 15mm이하,19
금박무광(앞면) 30mm이하,19
금박무광(앞면) 70mm이하,19
금박무광(앞면) 90mm미만,19
금박유광(앞면) 15mm이하,19
금박유광(앞면) 30mm이하,19
금박유광(앞면) 70mm이하,19
금박유광(앞면) 90mm미만,19
녹박(앞면) 15mm이하,19
녹박(앞면) 30mm이하,19
녹박(앞면) 70mm이하,19
녹박(앞면) 90mm미만,19
먹박(앞면) 15mm이하,19
먹박(앞면) 30mm이하,19
먹박(앞면) 70mm이하,19
먹박(앞면) 90mm미만,19
은박무광(앞면) 15mm이하,19
은박무광(앞면) 30mm이하,19
은박무광(앞면) 70mm이하,19
은박무광(앞면) 90mm미만,19
은박유광(앞면) 15mm이하,19
은박유광(앞면) 30mm이하,19
은박유광(앞면) 70mm이하,19
은박유광(앞면) 90mm미만,19
적박(앞면) 15mm이하,19
적박(앞면) 30mm이하,19
적박(앞면) 70mm이하,19
적박(앞면) 90mm미만,19
청박(앞면) 15mm이하,19
청박(앞면) 30mm이하,19
청박(앞면) 70mm이하,19
청박(앞면) 90mm미만,19
홀로그램박(앞면) 15mm이하,19
홀로그램박(앞면) 30mm이하,19
홀로그램박(앞면) 70mm이하,19
홀로그램박(앞면) 90mm미만,19
금박무광(뒷면) 15mm이하,19
금박무광(뒷면) 30mm이하,19
금박무광(뒷면) 70mm이하,19
금박무광(뒷면) 90mm미만,19
금박유광(뒷면) 15mm이하,19
금박유광(뒷면) 30mm이하,19
금박유광(뒷면) 70mm이하,19
금박유광(뒷면) 90mm미만,19
녹박(뒷면) 15mm이하,19
녹박(뒷면) 30mm이하,19
녹박(뒷면) 70mm이하,19
녹박(뒷면) 90mm미만,19
먹박(뒷면) 15mm이하,19
먹박(뒷면) 30mm이하,19
먹박(뒷면) 70mm이하,19
먹박(뒷면) 90mm미만,19
은박무광(뒷면) 15mm이하,19
은박무광(뒷면) 30mm이하,19
은박무광(뒷면) 70mm이하,19
은박무광(뒷면) 90mm미만,19
은박유광(뒷면) 15mm이하,19
은박유광(뒷면) 30mm이하,19
은박유광(뒷면) 70mm이하,19
은박유광(뒷면) 90mm미만,19
적박(뒷면) 15mm이하,19
적박(뒷면) 30mm이하,19
적박(뒷면) 70mm이하,19
적박(뒷면) 90mm미만,19
청박(뒷면) 15mm이하,19
청박(뒷면) 30mm이하,19
청박(뒷면) 70mm이하,19
청박(뒷면) 90mm미만,19
홀로그램박(뒷면) 15mm이하,19
홀로그램박(뒷면) 30mm이하,19
홀로그램박(뒷면) 70mm이하,19
홀로그램박(뒷면) 90mm미만,19
양면 유광코팅,18
2등분재단,17
3등분재단,17
4등분재단,17
5등분재단,17
6등분재단,17
규격재단,17
2단접지,12
3단접지,12
4단접지,12
별도재단,12
재단없음,12
비규격재단,11
금박무광(앞면) 100x150mm이하,10
금박무광(앞면) 10x10~50x100mm이하,10
금박무광(앞면) 210x297mm이하,10
금박무광(앞면) 80x120mm이하,10
금박유광(앞면) 100x150mm이하,10
금박유광(앞면) 10x10~50x100mm이하,10
금박유광(앞면) 210x297mm이하,10
금박유광(앞면) 80x120mm이하,10
녹박(앞면) 100x150mm이하,10
녹박(앞면) 10x10~50x100mm이하,10
녹박(앞면) 210x297mm이하,10
녹박(앞면) 80x120mm이하,10
먹박(앞면) 100x150mm이하,10
먹박(앞면) 10x10~50x100mm이하,10
먹박(앞면) 210x297mm이하,10
먹박(앞면) 80x120mm이하,10
은박무광(앞면) 100x150mm이하,10
은박무광(앞면) 10x10~50x100mm이하,10
은박무광(앞면) 210x297mm이하,10
은박무광(앞면) 80x120mm이하,10
은박유광(앞면) 100x150mm이하,10
은박유광(앞면) 10x10~50x100mm이하,10
은박유광(앞면) 210x297mm이하,10
은박유광(앞면) 80x120mm이하,10
적박(앞면) 100x150mm이하,10
적박(앞면) 10x10~50x100mm이하,10
적박(앞면) 210x297mm이하,10
적박(앞면) 80x120mm이하,10
청박(앞면) 100x150mm이하,10
청박(앞면) 10x10~50x100mm이하,10
청박(앞면) 210x297mm이하,10
청박(앞면) 80x120mm이하,10
홀로그램박(앞면) 100x150mm이하,10
홀로그램박(앞면) 10x10~50x100mm이하,10
홀로그램박(앞면) 210x297mm이하,10
홀로그램박(앞면) 80x120mm이하,10
형압 100x150mm이하,10
형압 10x10~50x100mm이하,10
형압 210x297mm이하,10
형압 80x120mm이하,10
상단 풀발이,10
좌측 풀발이,10
아일렛 4개,10
엠보싱 단면 금박,9
엠보싱 단면 은박,9
엠보싱 단면 홀로그램박,9
단면 투명엠보싱,9
4단대문접지,8
4단병풍접지,8
칼선 가로방향,8
칼선 세로방향,8
칼선 단순 1개,8
금박무광(뒷면) 100x150mm이하,7
금박무광(뒷면) 10x10~50x100mm이하,7
금박무광(뒷면) 210x297mm이하,7
금박무광(뒷면) 80x120mm이하,7
금박유광(뒷면) 100x150mm이하,7
금박유광(뒷면) 10x10~50x100mm이하,7
금박유광(뒷면) 210x297mm이하,7
금박유광(뒷면) 80x120mm이하,7
녹박(뒷면) 100x150mm이하,7
녹박(뒷면) 10x10~50x100mm이하,7
녹박(뒷면) 210x297mm이하,7
녹박(뒷면) 80x120mm이하,7
먹박(뒷면) 100x150mm이하,7
먹박(뒷면) 10x10~50x100mm이하,7
먹박(뒷면) 210x297mm이하,7
먹박(뒷면) 80x120mm이하,7
은박무광(뒷면) 100x150mm이하,7
은박무광(뒷면) 10x10~50x100mm이하,7
은박무광(뒷면) 210x297mm이하,7
은박무광(뒷면) 80x120mm이하,7
은박유광(뒷면) 100x150mm이하,7
은박유광(뒷면) 10x10~50x100mm이하,7
은박유광(뒷면) 210x297mm이하,7
은박유광(뒷면) 80x120mm이하,7
적박(뒷면) 100x150mm이하,7
적박(뒷면) 10x10~50x100mm이하,7
적박(뒷면) 210x297mm이하,7
적박(뒷면) 80x120mm이하,7
청박(뒷면) 100x150mm이하,7
청박(뒷면) 10x10~50x100mm이하,7
청박(뒷면) 210x297mm이하,7
청박(뒷면) 80x120mm이하,7
홀로그램박(뒷면) 100x150mm이하,7
홀로그램박(뒷면) 10x10~50x100mm이하,7
홀로그램박(뒷면) 210x297mm이하,7
홀로그램박(뒷면) 80x120mm이하,7
칼선 단순 10개,7
칼선 단순 11개,7
칼선 단순 12개,7
칼선 단순 13개,7
칼선 단순 14개,7
칼선 단순 15개,7
칼선 단순 16개,7
칼선 단순 17개,7
칼선 단순 18개,7
칼선 단순 19개,7
칼선 단순 20개,7
칼선 단순 21개,7
칼선 단순 22개,7
칼선 단순 23개,7
칼선 단순 24개,7
칼선 단순 25개,7
칼선 단순 26개,7
칼선 단순 27개,7
칼선 단순 28개,7
칼선 단순 29개,7
칼선 단순 2개,7
칼선 단순 30개,7
칼선 단순 3개,7
칼선 단순 4개,7
칼선 단순 5개,7
칼선 단순 6개,7
칼선 단순 7개,7
칼선 단순 8개,7
칼선 단순 9개,7
엠보싱 양면 금박,6
엠보싱 양면 은박,6
엠보싱 양면 홀로그램박,6
양면 투명엠보싱,6
떡제본(상철),6
떡제본(좌철),6
아일렛 6개,6
아일렛 8개,6
N접지,5
단면 에폭시,5
양면 에폭시,5
오시1줄,5
아일렛 10개,5
아일렛 12개,5
아일렛 14개,5
아일렛 16개,5
아일렛 18개,5
아일렛 20개,5
십자접지,4
단면 UV무광코팅,4
단면 UV유광코팅,4
양면 UV무광코팅,4
양면 UV유광코팅,4
사방타공 없음,4
사방타공 있음,4
아일렛 없음,4
나무+로프(상하 900),4
모양타공 1개,4
모양타공 2개,4
모양타공 3개,4
모양타공 4개,4
모양타공 5개,4
나무+로프(상하 700),3
나무+로프(좌우 700),3
나무+로프(좌우 900),3
현수막 미싱(사방),3
현수막 미싱(상하),3
현수막 미싱(좌우),3
현수막 열재단(사방),3
현수막 열재단(상하),3
현수막 열재단(좌우),3
무선제본 세로좌철,3
스프링색상 화이트,3
금박유광(앞면)10x10~30x100mm이하,2
은박유광(앞면) 10x10~30x100mm이하,2
금박유광(뒷면) 10x10~30x100mm이하,2
은박유광(뒷면) 10x10~30x100mm이하,2
오시4줄(가로),2
오시4줄(세로),2
일반넘버링 1개,2
일반넘버링 2개,2
자석추가 1개,2
자석추가 1개(무료),2
자석추가 2개,2
자석추가 3개,2
자석추가 4개,2
자석추가 5개,2
자석추가 없음,2
코팅없음,2
고리(가로방향),2
고리(세로방향),2
단순 150x210mm이하,2
단순 80x120mm이하,2
단순 전면사이즈,2
복잡 150x210mm,2
복잡 80x120mm,2
복잡 전면사이즈,2
중간 150x210mm이하,2
중간 80x120mm이하,2
중간 전면사이즈,2
레이저컷팅 단순,2
레이저컷팅 복잡,2
레이저컷팅 중간,2
패턴있음,2
오시2줄,2
책자라운딩,2
무선제본 가로상철,2
PP커버 반투명,2
PP커버 사선투명,2
스프링제본 가로상철,2
스프링제본 세로좌철,2
스프링색상 블랙,2
모양컷팅단순,2
모양컷팅복잡,2
모양컷팅중간,2
유광코팅,1
양면테잎 폭10mm,1
창문가공 30 x 135,1
창문가공 35 x 100,1
창문가공 35 x 105,1
창문가공 35 x 110,1
창문가공 35 x 125,1
창문가공 35 x 130,1
창문가공 40 x 120,1
창문가공 40 x 125,1
창문가공 40 x 140,1
창문가공 42 x 85,1
창문가공 45 x 105,1
창문가공 45 x 120,1
창문가공 45 x 125,1
창문가공 45 x 130,1
창문가공 45 x 90,1
창문가공 50 x 120,1
창문가공 50 x 140,1
상단타공 없음,1
상단타공 있음,1
메탈 케이스(세로형),1
칼라케이스(검은색),1
칼라케이스(빨간색),1
칼라케이스(파란색),1
칼라케이스(하얀색),1
칼라케이스(회색),1
프리미엄 케이스(검은색),1
프리미엄 케이스(하얀색),1
플라스틱 케이스(가로형),1
플라스틱 케이스(세로형),1
릴홀더목걸이(검은색),1
릴홀더목걸이(빨간색),1
릴홀더목걸이(파란색),1
릴홀더목걸이(하얀색),1
릴홀더목걸이(회색),1
선택안함,1
일반목걸이(검은색),1
일반목걸이(남색),1
일반목걸이(노란색),1
일반목걸이(빨간색),1
일반목걸이(초록색),1
일반목걸이(파란색),1
일반목걸이+집게(검은색),1
일반목걸이+집게(남색),1
일반목걸이+집게(노란색),1
일반목걸이+집게(빨간색),1
일반목걸이+집게(초록색),1
일반목걸이+집게(파란색),1
집게,1
도무송재단 10개,1
도무송재단 1개,1
도무송재단 2개,1
도무송재단 3개,1
도무송재단 4개,1
도무송재단 5개,1
도무송재단 6개,1
도무송재단 7개,1
도무송재단 8개,1
도무송재단 9개,1
사각재단 10개,1
사각재단 1개,1
사각재단 2개,1
사각재단 3개,1
사각재단 4개,1
사각재단 5개,1
사각재단 6개,1
사각재단 7개,1
사각재단 8개,1
사각재단 9개,1
명찰(옷핀집게),1
명찰(자석),1
줄미싱(사방),1
단면무광 쿨코팅,1
단면유광 쿨코팅,1
반달걸이 1개,1
10개,1
11개,1
12개,1
13개,1
14개,1
15개,1
16개,1
17개,1
18개,1
19개,1
1개,1
20개,1
2개,1
3개,1
4개,1
5개,1
6개,1
7개,1
8개,1
9개,1
책등오시,1
무선제본 가로좌철,1
무선제본 세로상철,1
중철제본 가로상철,1
중철제본 가로좌철,1
중철제본 세로상철,1
중철제본 세로좌철,1
삼각대 색상(블랙),1
스프링제본 가로좌철,1
스프링제본 세로상철,1
칼선 10개,1
칼선 11개,1
칼선 12개,1
칼선 13개,1
칼선 14개,1
칼선 15개,1
칼선 16개,1
칼선 17개,1
칼선 18개,1
칼선 19개,1
칼선 1개,1
칼선 20개,1
칼선 21개,1
칼선 22개,1
칼선 23개,1
칼선 24개,1
칼선 25개,1
칼선 26개,1
칼선 27개,1
칼선 28개,1
칼선 29개,1
칼선 2개,1
칼선 30개,1
칼선 3개,1
칼선 4개,1
칼선 5개,1
칼선 6개,1
칼선 7개,1
칼선 8개,1
칼선 9개,1
PVC제본 세로좌철,1
칼선 11~20개,1
칼선 1~10개,1
칼선 21~30개,1
칼선 31~40개,1
