id,path,displayName,productCount,templated,quoted,keywords
cat-06a62187,행택/쿠폰/안내장/청첩장/초대장,행택/쿠폰/안내장 > 청첩장/초대장,4,0,0,행택|쿠폰|안내장|청첩장|초대장
cat-0ee3b8e6,홍보물/포스터,홍보물 > 포스터,2,0,0,홍보물|포스터|대량포스터|ai|eps|방수포스터
cat-0f46c89c,행택/쿠폰/안내장,행택/쿠폰/안내장,5,0,0,행택|쿠폰|안내장|상품권|티켓|ai|eps|소량
cat-1010b093,명함/후가공명함,명함 > 후가공명함,13,0,0,명함|후가공명함|레이저마킹명함|ai|eps|패턴명함|투명엠보싱명함|레이저컷팅명함
cat-1a9081df,사인제품/사각보드,사인제품 > 사각보드,3,0,0,사인제품|사각보드|아크릴보드|ai|eps|폼보드|포맥스보드
cat-1c43cc2e,사인제품/배너,사인제품 > 배너,12,0,0,사인제품|배너|LED라이트배너|ai|eps|플라잉배너|스프링배너|물통스프링배너
cat-1fcee827,스티커/판스티커,스티커 > 판스티커,4,0,0,스티커|판스티커|원형|ai|eps|사각형|자유형|이지템플릿
cat-220c703c,팬시제품,팬시제품,14,0,0,팬시제품|마스킹테이프|ai|eps|jpg|베이직펜|오피스연필|기성
cat-27f29571,스티커/팬시스티커,스티커 > 팬시스티커,7,0,0,스티커|팬시스티커|네임스티커|ai|eps|포토스티커|칭찬스티커SET|챌린지스티커SET
cat-2b5cf381,스티커,스티커,5,0,0,스티커|롤스티커|ai|eps|zip|배달스티커|jpg|주차스티커
cat-31caae02,사인제품/현수막,사인제품 > 현수막,5,0,0,사인제품|현수막|대형현수막|ai|eps|족자형현수막|일반현수막|미니현수막
cat-34d36318,명함/핫딜명함,명함 > 핫딜명함,2,0,0,명함|핫딜명함|일반명함|핫딜|ai|UV코팅명함
cat-373c6259,디지털인쇄,디지털인쇄,8,0,0,디지털인쇄|소량포스터|ai|eps|jpg|패키지|스탠드POP|소량전단_KM-1
cat-454e3188,부자재,부자재,39,0,0,부자재|LED라이트배너|거치대|철제입간판|ai|eps|jpg|큐방
cat-482923fb,포토/액자,포토/액자,7,0,0,포토|액자|페이퍼포토SET|ai|eps|캔버스액자|노프레임액자|엽서SET
cat-4ec3b7bf,명함/비즈하우스 일본명함,명함 > 비즈하우스 일본명함,5,0,0,명함|비즈하우스|일본명함|일반명함|ai|특수지명함|디지털AP명함|디지털인디고명함
cat-500e3108,시스템상품,시스템상품,3,0,0,시스템상품|기존-NCR지|ai|eps|jpg|기존-양식지|기존-영수증
cat-6605b322,전단,전단,3,0,0,전단|합판전단|ai|eps|jpg|문고리전단|독판전단
cat-673eee56,카페용품,카페용품,10,0,0,카페용품|종이컵|ai|eps|에어홀더|컵뚜껑|투명컵|투명컵뚜껑
cat-696c1efc,홀더,홀더,5,0,0,홀더|PP홀더|칼라|ai|eps|종이홀더|jpg|소량PP홀더
cat-69bfe41a,서식류,서식류,10,0,0,서식류|칼라옵셋-NCR지|2매1조|ai|eps|3매1조|4매1조|칼라옵셋-양식지
cat-6a7f24d5,사인제품/시트지,사인제품 > 시트지,8,0,0,사인제품|시트지|반사시트지|ai|eps|유포시트지|PVC시트지|수성잉크
cat-7063e74a,사인제품/입간판,사인제품 > 입간판,6,0,0,사인제품|입간판|철제입간판|ai|eps|스텐입간판|아크릴입간판|개폐형
cat-79c4b0f6,와우기획상품,와우기획상품,4,0,0,와우기획상품|명함샘플팩|ai|eps|jpg|핫템샘플팩|배쑝와쑝박스|인쇄레시피
cat-836dccef,스티커/띠지스티커,스티커 > 띠지스티커,2,0,0,스티커|띠지스티커|도무송|ai|eps|사각
cat-87b2d33f,어패럴,어패럴,7,0,0,어패럴|반팔T-프린트스타|17수|ai|eps|긴팔T-프린트스타|에코백|기존
cat-8b09c5dd,굿즈/다꾸/굿즈,굿즈/다꾸 > 굿즈,19,0,0,굿즈|다꾸|투명포토카드|ai|eps|메시지카드|종이슬로건|미니배너
cat-8de50b75,사인제품,사인제품,2,0,0,사인제품|롤블라인드|ai|eps|jpg|모양보드
cat-916c01a6,스티커/사각스티커,스티커 > 사각스티커,12,0,0,스티커|사각스티커|가성비스티커|사각|ai|소량스티커|탈부착스티커|강접스티커
cat-951042ce,홍보물/리플렛,홍보물 > 리플렛,1,0,0,홍보물|리플렛|대량리플렛|ai|eps
cat-98bbcbe6,전단/소량독판전단,전단 > 소량독판전단,2,0,0,전단|소량독판전단|소량독판전단_옵셋|ai|eps|소량독판전단_UV옵셋
cat-9a6c9a46,명함/프리미엄명함,명함 > 프리미엄명함,7,0,0,명함|프리미엄명함|고평량명함|ai|eps|카드명함|반투명명함|색지명함
cat-a2360a1b,책자,책자,6,6,0,책자|무선책자|ai|eps|jpg|중철책자|특가책자|무선
cat-a72350f0,홍보물,홍보물,2,0,0,홍보물|테이블세팅지|ai|eps|jpg|수저세팅지
cat-c20b9f95,행택/쿠폰/안내장/프리미엄엽서,행택/쿠폰/안내장 > 프리미엄엽서,9,0,0,행택|쿠폰|안내장|프리미엄엽서|고평량엽서|색지엽서|합지엽서|투명엠보싱엽서
cat-c4b0a992,판촉물/버튼,판촉물 > 버튼,3,0,0,판촉물|버튼|핀버튼|ai|eps|거울버튼|자석버튼
cat-c4b51c78,명함/디지털명함,명함 > 디지털명함,2,0,0,명함|디지털명함|디지털인디고명함|ai|eps|디지털AP명함|구.넥스
cat-c85cb095,스티커/도무송스티커,스티커 > 도무송스티커,15,0,0,스티커|도무송스티커|가성비스티커|도무송|ai|소량스티커|탈부착스티커|강접스티커
cat-caee7261,봉투,봉투,3,0,0,봉투|칼라봉투|ai|eps|jpg|마스타봉투|소량봉투
cat-d1479a13,선거홍보물,선거홍보물,5,0,0,선거홍보물|현수막|ai|eps|jpg|어깨띠|종이썬캡|캠페인버튼
cat-d290a70e,판촉물,판촉물,14,0,0,판촉물|사원증|ai|eps|jpg|떡메모지|종이슬로건|김서림방지
cat-e05ae543,명함,명함,4,0,0,명함|특수지명함|ai|eps|jpg|일반명함|복권|당일출고명함
cat-e202c418,폰 액세서리,폰 액세서리,8,0,0,폰|액세서리|스마트톡|ai|eps|jpg|아크릴톡|기성
cat-e6fc0340,사인제품/등신대,사인제품 > 등신대,2,0,0,사인제품|등신대|미니등신대|ai|eps|일반등신대
cat-fa431f9c,굿즈/다꾸/다꾸,굿즈/다꾸 > 다꾸,4,0,0,굿즈|다꾸|인스|ai|eps|도무송|소량인스|소량도무송
cat-fc8c5b69,캘린더,캘린더,7,0,0,캘린더|한장|포스터|ai|eps|우드|스탠드|소량
cat-fcd59d38,자석제품,자석제품,6,0,0,자석제품|종이자석광고지|UV코팅|ai|eps|자석스티커|cdr|소량자석스티커
