cat_path,productCount,rep_productId,rep_name,selType,n_sizes,n_papers,n_colors,n_prsjob,n_awkjob,n_prodadd,n_optioninfo,ordqty_min,ordqty_max,pjoin,pricing_source
부자재,39,40339,OPP봉투,M,9,0,0,1,0,0,0,50,1000,9,/std/prod/jobcost
굿즈/다꾸/굿즈,19,40189,떡메모지,M,11,1,1,1,1,1,0,20,1000,0,/std/prod/jobcost
스티커/도무송스티커,15,40008,가성비스티커(도무송),M,45,3,1,1,1,0,0,500,50000,0,/std/prod/jobcost
팬시제품,14,40274,마스킹테이프,M,15,1,1,1,0,0,1,25,1000,9,/std/prod/jobcost
판촉물,14,40083,떡메모지,M,11,1,1,1,1,1,0,20,1000,0,/std/prod/jobcost
명함/후가공명함,13,40060,모양명함,M,8,6,2,1,3,3,0,96,960,0,/std/prod/jobcost
사인제품/배너,12,40563,윈도우플래그,M,9,2,1,1,0,1,0,1,300,9,/std/prod/jobcost
스티커/사각스티커,12,40007,가성비스티커(사각),M,9,3,1,1,1,0,0,500,100000,0,/std/prod/jobcost
카페용품,10,40559,스트로우,M,7,0,0,1,0,0,0,500,10000,9,/std/prod/jobcost
서식류,10,40513,칼라옵셋-영수증,M,6,3,2,1,3,0,0,10,200,0,/std/prod/jobcost
행택/쿠폰/안내장/프리미엄엽서,9,40346,고평량엽서,M,4,10,2,1,6,1,0,100,1000,0,/std/prod/jobcost
디지털인쇄,8,40032,패키지,M,8,12,1,1,1,0,0,2,500,0,/std/prod/jobcost
사인제품/시트지,8,40443,레터링스티커,M,4,18,1,1,0,0,1,1,1000,9,/std/prod/jobcost
폰 액세서리,8,40463,폰케이스(투명젤하드),M,51,1,2,1,0,0,0,1,500,9,/std/prod/jobcost
스티커/팬시스티커,7,40425,캘린더스티커,M,7,3,1,1,0,0,0,1,200,9,/std/prod/jobcost
포토/액자,7,40096,노프레임액자,M,8,1,1,1,0,0,0,1,100,9,/std/prod/jobcost
어패럴,7,40468,반팔T-프린트스타(17수),M,12,30,8,1,0,1,0,1,200,9,/std/prod/jobcost
명함/프리미엄명함,7,40066,고평량명함,M,4,15,2,1,6,3,0,100,1000,0,/std/prod/jobcost
캘린더,7,40619,기성 벽걸이캘린더(2026년),M,9,2,4,1,0,0,0,100,10000,9,/std/prod/jobcost
사인제품/입간판,6,40046,철제입간판,M,3,1,1,1,0,1,0,1,10,9,/std/prod/jobcost
책자,6,40196,무선책자,M,4,152,30,15,9,0,0,1,10000,1,/std/prod/jobcost
자석제품,6,40093,자석스티커,M,13,2,1,1,0,0,0,1000,20000,9,/std/prod/jobcost
행택/쿠폰/안내장,5,40109,행택,M,18,11,6,1,0,1,0,100,50000,0,/std/prod/jobcost
스티커,5,40020,배달스티커,M,16,3,1,1,1,0,0,1000,100000,0,/std/prod/jobcost
사인제품/현수막,5,40437,미니현수막,M,6,1,1,1,2,2,0,1,1000,9,/std/prod/jobcost
명함/비즈하우스 일본명함,5,40527,일반명함,M,1,3,2,1,1,0,0,500,100000,0,/std/prod/jobcost
홀더,5,40041,종이홀더,M,7,10,3,1,3,0,0,500,10000,0,/std/prod/jobcost
선거홍보물,5,40451,캠페인버튼,M,5,1,1,1,0,0,0,1,5000,0,/std/prod/jobcost
행택/쿠폰/안내장/청첩장/초대장,4,40108,엽서형,M,6,4,2,1,6,0,0,200,3000,0,/std/prod/jobcost
스티커/판스티커,4,40440,판스티커(사각형),M,23,10,1,1,0,0,0,1,200,0,/std/prod/jobcost
와우기획상품,4,40024,명함샘플팩,M,0,0,0,1,0,0,0,1,100,9,/std/prod/jobcost
명함,4,40070,특수지명함,M,3,17,2,1,7,3,0,200,33000,0,/std/prod/jobcost
굿즈/다꾸/다꾸,4,40148,인스,M,1,6,2,1,1,0,0,500,100000,0,/std/prod/jobcost
사인제품/사각보드,3,40023,아크릴보드,M,10,4,1,1,0,0,1,1,100,9,/std/prod/jobcost
시스템상품,3,40072,기존-NCR지,M,8,5,18,1,3,0,1,10,240,0,/std/prod/jobcost
전단,3,40054,독판전단,M,18,74,14,2,11,0,0,50,50000,1,/std/prod/jobcost
판촉물/버튼,3,40136,핀버튼,M,6,4,1,1,0,0,0,1,5000,0,/std/prod/jobcost
봉투,3,40035,마스타봉투,M,14,14,4,1,0,0,0,200,10000,0,/std/prod/jobcost
홍보물/포스터,2,40293,방수포스터,M,7,5,2,1,1,1,0,1,500,9,/std/prod/jobcost
명함/핫딜명함,2,40062,일반명함(핫딜),M,2,3,2,1,4,3,0,500,500,0,/std/prod/jobcost
스티커/띠지스티커,2,40611,띠지스티커(도무송),M,20,6,2,1,1,0,0,500,100000,0,/std/prod/jobcost
사인제품,2,40573,모양보드,M,5,8,1,1,1,0,0,1,250,9,/std/prod/jobcost
전단/소량독판전단,2,40027,소량독판전단_UV옵셋,M,12,128,2,1,10,0,0,200,8000,0,/std/prod/jobcost
홍보물,2,40031,테이블세팅지,M,4,2,3,1,1,0,0,4000,120000,0,/std/prod/jobcost
명함/디지털명함,2,40061,디지털인디고명함,M,4,6,2,1,7,3,0,100,1000,0,/std/prod/jobcost
사인제품/등신대,2,40574,미니등신대,M,5,8,1,1,1,2,0,1,250,9,/std/prod/jobcost
홍보물/리플렛,1,40037,대량리플렛,M,10,74,14,2,10,0,0,50,50000,1,/std/prod/jobcost
