comp_price_id,comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,reg_dt,upd_dt,proc_cd,opt_cd
4906,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000072,,,,30.73,용지비 백색모조지 100g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4907,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000073,,,,36.88,용지비 백색모조지 120g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4908,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000074,,,,70.64,용지비 백색모조지 220g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4909,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000076,,,,30.57,용지비 아트지 100g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4910,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000077,,,,36.68,용지비 아트지 120g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4911,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000078,,,,46.65,용지비 아트지 150g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4912,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000079,,,,55.98,용지비 아트지 180g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4913,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000080,,,,62.20,용지비 아트지 200g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4914,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000081,,,,77.75,용지비 아트지 250g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4915,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000082,,,,93.30,용지비 아트지 300g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4916,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000086,,,,30.57,용지비 스노우지 100g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4917,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000087,,,,36.68,용지비 스노우지 120g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4918,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000088,,,,46.65,용지비 스노우지 150g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4919,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000089,,,,55.98,용지비 스노우지 180g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4920,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000090,,,,62.20,용지비 스노우지 200g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4921,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000091,,,,77.75,용지비 스노우지 250g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
