cat_cd,cat_nm,upr_cat_cd,cat_lvl,disp_seq,use_yn,del_yn,active,reg_dt,upd_dt,del_dt
CAT_000170,머그컵,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.14667,2026-06-16 19:25:09.144479
CAT_000171,아이스머그컵,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.142634,2026-06-16 19:25:09.140796
CAT_000172,레더코스터,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.139065,2026-06-16 19:25:09.137305
CAT_000173,코르크코스터,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.135566,2026-06-16 19:25:09.133721
CAT_000174,우드코스터,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.131395,2026-06-16 19:25:09.129755
CAT_000175,규조토코스터,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.128029,2026-06-16 19:25:09.126102
CAT_000176,린넨코스터,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.124128,2026-06-16 19:25:09.122303
CAT_000177,워터북보틀,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.120652,2026-06-16 19:25:09.118923
CAT_000178,극세사클리너,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.11737,2026-06-16 19:25:09.1157
CAT_000179,극세사타월,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.114112,2026-06-16 19:25:09.112471
CAT_000180,벨벳쿠션,CAT_000010,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.110808,2026-06-16 19:25:09.109144
CAT_000182,래더여권케이스,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.107551,2026-06-16 19:25:09.10559
CAT_000183,말랑여권케이스,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.103613,2026-06-16 19:25:09.101578
CAT_000184,말랑 네임택,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.154693,2026-06-16 19:24:44.152119
CAT_000185,미니매트,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.146768,2026-06-16 19:24:44.145022
CAT_000186,피크닉매트,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.143336,2026-06-16 19:24:44.141588
CAT_000187,썬캡,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.139368,2026-06-16 19:24:44.136654
CAT_000188,투명부채,CAT_000181,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.134774,2026-06-16 19:24:44.13198
CAT_000190,핀버튼,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.129559,2026-06-16 19:24:44.127662
CAT_000191,레더스트랩키링,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.125707,2026-06-16 19:24:44.123962
CAT_000192,말랑키링,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.122353,2026-06-16 19:24:44.120226
CAT_000193,말랑증사홀더,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.118148,2026-06-16 19:24:44.11625
CAT_000194,말랑포카홀더,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.112569,2026-06-16 19:24:44.11084
CAT_000195,키캡키링,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.108802,2026-06-16 19:24:44.106061
CAT_000196,LED키캡키링,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.104411,2026-06-16 19:24:44.102654
CAT_000197,미니CD앨범,CAT_000189,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.099374,2026-06-16 19:24:44.097583
CAT_000199,슬로건,CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.341592,2026-06-16 19:23:57.339739
CAT_000200,이미지피켓(우치와),CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.337823,2026-06-16 19:23:57.335268
CAT_000201,하트 이미지피켓,CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.333093,2026-06-16 19:23:57.33111
CAT_000202,미니우치와키링,CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.32967,2026-06-16 19:23:57.327783
CAT_000203,유니폼키링,CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.325877,2026-06-16 19:23:57.323867
CAT_000204,우치와키링,CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.322138,2026-06-16 19:23:57.319995
CAT_000205,오마모리키링,CAT_000198,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:57.316492,2026-06-16 19:23:57.314273
CAT_000207,양말,CAT_000206,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.095198,2026-06-16 19:24:44.092956
CAT_000208,반팔티셔츠,CAT_000206,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.090581,2026-06-16 19:24:44.088787
CAT_000209,후드티셔츠,CAT_000206,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:39.014356,2026-06-16 19:23:39.012359
CAT_000211,밴드톡,CAT_000210,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:39.007293,2026-06-16 19:23:39.004536
CAT_000212,폰스트랩,CAT_000210,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:39.002311,2026-06-16 19:23:39.000241
CAT_000223,캔버스 플랫 파우치,CAT_000222,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.086827,2026-06-16 19:24:44.084973
CAT_000224,캔버스 삼각 파우치,CAT_000222,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:44.081786,2026-06-16 19:24:44.079933
CAT_000225,캔버스 스트랩 라벨파우치,CAT_000222,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.835746,2026-06-16 19:23:08.833617
CAT_000226,광목 스트링 라벨파우치,CAT_000222,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.829919,2026-06-16 19:23:08.827981
CAT_000227,린넨 스트링 파우치,CAT_000222,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.825951,2026-06-16 19:23:08.82402
CAT_000229,타이벡 플랫 파우치,CAT_000228,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.822609,2026-06-16 19:23:08.820701
CAT_000230,타이벡 슬림 파우치,CAT_000228,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.819005,2026-06-16 19:23:08.817095
CAT_000231,타이벡 삼각 파우치,CAT_000228,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.815319,2026-06-16 19:23:08.813288
CAT_000232,타이벡 스트링 파우치,CAT_000228,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.811678,2026-06-16 19:23:08.809675
CAT_000233,타이벡 플랫 클러치,CAT_000228,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.808046,2026-06-16 19:23:08.806013
CAT_000235,메쉬슬림파우치,CAT_000234,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.802165,2026-06-16 19:23:08.800096
CAT_000236,메쉬볼륨파우치,CAT_000234,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.798455,2026-06-16 19:23:08.796384
CAT_000238,레더 플랫 미니파우치,CAT_000237,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.793978,2026-06-16 19:23:08.792057
CAT_000239,레더 슬림 미니파우치,CAT_000237,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.790428,2026-06-16 19:23:08.788546
CAT_000240,레더 삼각 미니파우치,CAT_000237,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.786697,2026-06-16 19:23:08.784738
CAT_000241,레더 볼륨 미니파우치,CAT_000237,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.777003,2026-06-16 19:23:08.775081
CAT_000242,레더 원형 미니파우치,CAT_000237,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:08.773171,2026-06-16 19:23:08.768799
CAT_000244,레더 플랫 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.047172,2026-06-16 19:24:11.04535
CAT_000245,레더 슬림 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.043778,2026-06-16 19:24:11.04196
CAT_000246,레더 삼각 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.040098,2026-06-16 19:24:11.038346
CAT_000247,레더 볼륨 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.036435,2026-06-16 19:24:11.034642
CAT_000248,레더 원형 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.033125,2026-06-16 19:24:11.031314
CAT_000249,캔버스 플랫 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.02817,2026-06-16 19:24:11.026129
CAT_000250,캔버스 삼각 필통,CAT_000243,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:24:11.024184,2026-06-16 19:24:11.022192
CAT_000252,레더토트백,CAT_000251,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.736498,2026-06-16 19:21:59.734611
CAT_000253,레더숄더백,CAT_000251,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.733273,2026-06-16 19:21:59.731328
CAT_000255,린넨 미니에코백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.730153,2026-06-16 19:21:59.728293
CAT_000256,린넨 토트백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.726848,2026-06-16 19:21:59.72492
CAT_000257,린넨 에코백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.723601,2026-06-16 19:21:59.721786
CAT_000258,캔버스 심플백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.720468,2026-06-16 19:21:59.718507
CAT_000259,캔버스 포켓심플백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.716984,2026-06-16 19:21:59.715133
CAT_000260,캔버스 포켓숄더백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.712349,2026-06-16 19:21:59.710215
CAT_000261,캔버스 에코백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.708607,2026-06-16 19:21:59.706698
CAT_000262,캔버스 숄더백,CAT_000254,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.70373,2026-06-16 19:21:59.701818
CAT_000264,타이벡 에코백,CAT_000263,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.917495,2026-06-16 19:22:40.915562
CAT_000265,타이벡 보냉에코백,CAT_000263,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.913926,2026-06-16 19:22:40.911872
CAT_000266,타이벡 보냉미니백,CAT_000263,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.90924,2026-06-16 19:22:40.907312
CAT_000268,타이벡 양면 백팩,CAT_000263,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.905231,2026-06-16 19:22:40.903223
CAT_000270,메쉬 토트백,CAT_000269,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.901354,2026-06-16 19:22:40.898128
CAT_000271,메쉬 에코백,CAT_000269,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.896367,2026-06-16 19:22:40.894485
CAT_000272,레더라벨제작,CAT_000117,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.892984,2026-06-16 19:22:40.8911
CAT_000277,OPP접착봉투,CAT_000276,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.889613,2026-06-16 19:22:40.886953
CAT_000278,OPP비접착봉투,CAT_000276,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.885119,2026-06-16 19:22:40.88277
CAT_000279,투명케이스,CAT_000276,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.880671,2026-06-16 19:22:40.878699
CAT_000280,카드봉투,CAT_000276,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.877194,2026-06-16 19:22:40.875265
CAT_000281,트레싱지봉투,CAT_000276,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.873663,2026-06-16 19:22:40.871791
CAT_000282,캘린더봉투,CAT_000276,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.870243,2026-06-16 19:22:40.86825
CAT_000286,자석고정용고무판,CAT_000285,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.858042,2026-06-16 19:22:40.855973
CAT_000288,우드거치대,CAT_000287,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:38.039044,2026-06-16 19:21:38.037092
CAT_000289,우드행거,CAT_000287,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:38.03542,2026-06-16 19:21:38.031961
CAT_000290,와블러,CAT_000287,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:38.030174,2026-06-16 19:21:38.028251
CAT_000291,볼체인,CAT_000287,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:38.026599,2026-06-16 19:21:38.024618
CAT_000292,와이어링,CAT_000287,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:38.022962,2026-06-16 19:21:38.021076
CAT_000293,상품악세사리,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000294,명함,,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000295,상품권,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000296,배경지,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000297,레드프린팅 책자 가이드,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:38.017697,2026-06-16 19:21:38.015532
CAT_000298,실사,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000299,단품형,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000300,플래너,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000301,소품,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000303,디지털악세서리,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000305,레더파우치,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
CAT_000306,에코백부자재,,3,,N,Y,N,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,2026-06-18 02:10:28.132098
