cat_cd,cat_nm,upr_cat_cd,cat_lvl,disp_seq,use_yn,del_yn,active,reg_dt,upd_dt,del_dt
CAT_000045,특수스티커,CAT_000002,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.584763,2026-06-16 19:27:54.583209
CAT_000047,스티커팩,CAT_000002,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.576766,2026-06-16 19:27:54.574917
CAT_000048,프리미엄명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.572235,2026-06-16 19:27:54.570218
CAT_000049,코팅명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.568519,2026-06-16 19:27:54.565294
CAT_000050,스탠다드명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.563483,2026-06-16 19:27:54.56201
CAT_000051,펄명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.559548,2026-06-16 19:27:54.557635
CAT_000052,투명명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.554958,2026-06-16 19:27:54.553268
CAT_000053,화이트인쇄명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.549845,2026-06-16 19:27:54.548063
CAT_000054,모양명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.546085,2026-06-16 19:27:54.543844
CAT_000055,미니모양명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.542174,2026-06-16 19:27:54.540575
CAT_000056,오리지널박명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.538684,2026-06-16 19:27:54.536989
CAT_000057,형압명함,CAT_000003,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.534038,2026-06-16 19:27:54.530958
CAT_000067,아트프린트포스터,CAT_000004,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.923578,2026-06-16 19:29:27.920872
CAT_000068,아트페이퍼포스터,CAT_000004,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.918254,2026-06-16 19:29:27.916999
CAT_000069,방수포스터,CAT_000004,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.91445,2026-06-16 19:29:27.912295
CAT_000070,접착방수포스터,CAT_000004,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.90973,2026-06-16 19:29:27.905003
CAT_000071,접착투명포스터,CAT_000004,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.901544,2026-06-16 19:29:27.90003
CAT_000088,PET배너,CAT_000005,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.419247,2026-06-16 19:27:31.417767
CAT_000089,메쉬배너,CAT_000005,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.416174,2026-06-16 19:27:31.414696
CAT_000090,일반현수막,CAT_000005,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.411061,2026-06-16 19:27:31.409427
CAT_000091,메쉬현수막,CAT_000005,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.407748,2026-06-16 19:27:31.406288
CAT_000100,중철책자,CAT_000006,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.381798,2026-06-16 19:27:31.3803
CAT_000101,무선책자,CAT_000006,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.378517,2026-06-16 19:27:31.376972
CAT_000102,PUR책자,CAT_000006,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.37439,2026-06-16 19:27:31.37291
CAT_000103,트윈링책자,CAT_000006,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.369642,2026-06-16 19:27:31.367917
CAT_000113,미니탁상형캘린더,CAT_000007,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-19 01:10:41.9188,2026-06-19 01:10:41.917333
CAT_000114,엽서캘린더,CAT_000007,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-19 01:10:34.953263,2026-06-19 01:10:34.9506
CAT_000117,부자재,CAT_000007,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:48.349836,2026-06-16 19:26:48.348317
CAT_000119,만년다이어리(레더소프트커버),CAT_000008,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:48.346544,2026-06-16 19:26:48.345025
CAT_000120,만년다이어리(레더하드커버),CAT_000008,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:48.343189,2026-06-16 19:26:48.341593
CAT_000121,만년다이어리(소프트커버),CAT_000008,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:48.339277,2026-06-16 19:26:48.337754
CAT_000122,만년다이어리(하드커버),CAT_000008,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.446107,2026-06-16 19:26:27.442903
CAT_000123,먼슬리플래너,CAT_000008,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.440287,2026-06-16 19:26:27.438281
CAT_000140,아크릴키링,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.511139,2026-06-16 19:26:04.509595
CAT_000141,아크릴마그넷,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.50776,2026-06-16 19:26:04.506209
CAT_000142,아크릴뱃지,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.504696,2026-06-16 19:26:04.503173
CAT_000143,아크릴집게,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.501309,2026-06-16 19:26:04.499418
CAT_000144,아크릴스마트톡,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.497869,2026-06-16 19:26:04.496272
CAT_000145,맥세이프 스마트톡,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.494538,2026-06-16 19:26:04.491627
CAT_000146,아크릴명찰,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.489963,2026-06-16 19:26:04.488214
CAT_000147,골드실버아크릴명찰,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.486566,2026-06-16 19:26:04.485016
CAT_000148,아크릴볼펜,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.483517,2026-06-16 19:26:04.481897
CAT_000149,아크릴지비츠,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.915057,2026-06-16 19:25:32.912571
CAT_000150,아크릴네임택,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.910687,2026-06-16 19:25:32.908742
CAT_000151,아크릴포카키링,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.906656,2026-06-16 19:25:32.90496
CAT_000152,아크릴코스터,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.902537,2026-06-16 19:25:32.900893
CAT_000153,아크릴머리끈,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.899097,2026-06-16 19:25:32.89734
CAT_000154,아크릴카라비너,CAT_000009,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.895244,2026-06-16 19:25:32.893461
CAT_000165,틴거울,CAT_000010,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:43.43054,2026-06-16 19:25:43.428871
CAT_000166,컴팩트거울,CAT_000010,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.161322,2026-06-16 19:25:09.159603
CAT_000167,카드거울,CAT_000010,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.157875,2026-06-16 19:25:09.155338
CAT_000168,사각손거울,CAT_000010,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.153629,2026-06-16 19:25:09.151891
CAT_000169,블랙사각손거울,CAT_000010,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:09.150296,2026-06-16 19:25:09.148576
CAT_000213,레더 플랫 파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.998523,2026-06-16 19:23:38.996561
CAT_000214,레더 슬림 파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.994945,2026-06-16 19:23:38.992735
CAT_000215,레더 삼각 파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.991227,2026-06-16 19:23:38.988756
CAT_000216,레더 볼륨 파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.986361,2026-06-16 19:23:38.984283
CAT_000217,레더 스트링 파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.981393,2026-06-16 19:23:38.979584
CAT_000218,레더 스트링 원형파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.977567,2026-06-16 19:23:38.975546
CAT_000219,레더 플랫 클러치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.973451,2026-06-16 19:23:38.971351
CAT_000220,레더 삼각 클러치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.969858,2026-06-16 19:23:38.967252
CAT_000221,레더아이패드/노트북파우치,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:23:38.963816,2026-06-16 19:23:38.961594
CAT_000251,레더에코백,CAT_000011,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:21:59.740105,2026-06-16 19:21:59.738184
CAT_000273,인쇄배경지(OPP봉투타입),CAT_000012,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-19 01:22:53.158532,2026-06-19 01:22:53.157174
CAT_000274,인쇄배경지(투명케이스타입),CAT_000012,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-19 01:22:50.256126,2026-06-19 01:22:50.254755
CAT_000275,인쇄헤더택,CAT_000012,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-19 01:22:46.235105,2026-06-19 01:22:46.233344
CAT_000283,라벨/포장스티커,CAT_000012,2,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:22:40.864783,2026-06-16 19:22:40.862866
CAT_000022,2단접지카드,CAT_000021,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.941315,2026-06-16 19:29:27.93966
CAT_000023,3단접지카드,CAT_000021,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.937438,2026-06-16 19:29:27.936112
CAT_000024,미니접지카드,CAT_000021,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:14.56501,2026-06-16 19:28:14.563516
CAT_000025,지그재그엽서,CAT_000021,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:14.56179,2026-06-16 19:28:14.560359
CAT_000028,투명포토카드,CAT_000027,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:14.549056,2026-06-16 19:28:14.547555
CAT_000029,종이슬로건,CAT_000027,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:14.545978,2026-06-16 19:28:14.544347
CAT_000038,반칼 원형 스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.934488,2026-06-16 19:29:27.93324
CAT_000039,반칼 정사각 스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.931679,2026-06-16 19:29:27.930357
CAT_000040,반칼직사각스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.928337,2026-06-16 19:29:27.926493
CAT_000041,반칼띠지스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.599918,2026-06-16 19:27:54.598379
CAT_000042,반칼팬시스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.596555,2026-06-16 19:27:54.595115
CAT_000043,반칼팬시투명스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.593194,2026-06-16 19:27:54.59089
CAT_000044,합판도무송스티커,CAT_000037,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.587851,2026-06-16 19:27:54.586421
CAT_000046,타투스티커,CAT_000045,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:54.580799,2026-06-16 19:27:54.578857
CAT_000059,소량전단지,CAT_000058,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:30.460499,2026-06-16 19:28:30.459058
CAT_000060,접지리플렛,CAT_000058,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:30.457186,2026-06-16 19:28:30.455616
CAT_000061,와이드접지리플랫,CAT_000058,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:30.453804,2026-06-16 19:28:30.45135
CAT_000063,스탠다드 쿠폰/상품권,CAT_000062,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:30.44931,2026-06-16 19:28:30.447665
CAT_000064,프리미엄 상품권/쿠폰,CAT_000062,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:30.445513,2026-06-16 19:28:30.443196
CAT_000066,봉투제작,CAT_000065,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-18 12:04:02.616984,2026-06-18 12:04:02.617959
CAT_000073,아트패브릭포스터,CAT_000072,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.897528,2026-06-16 19:29:27.896033
CAT_000074,린넨패브릭포스터,CAT_000072,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.888849,2026-06-16 19:29:27.886462
CAT_000075,캔버스패브릭포스터,CAT_000072,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.881427,2026-06-16 19:29:27.880038
CAT_000077,레더아트프린트,CAT_000076,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.874336,2026-06-16 19:29:27.872413
CAT_000078,타이벡프린트,CAT_000076,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.869982,2026-06-16 19:29:27.865027
CAT_000079,메쉬프린트,CAT_000076,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:29:27.861134,2026-06-16 19:29:27.859816
CAT_000081,폼보드,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:45.813061,2026-06-16 19:28:45.81172
CAT_000082,포맥스보드,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:45.809092,2026-06-16 19:28:45.807497
CAT_000083,프레임리스액자,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:45.805023,2026-06-16 19:28:45.803168
CAT_000084,레더아트액자,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:45.801113,2026-06-16 19:28:45.799604
CAT_000085,족자포스터,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:28:45.79714,2026-06-16 19:28:45.795794
CAT_000086,캔버스행잉포스터,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.425989,2026-06-16 19:27:31.424505
CAT_000087,린넨 우드봉족자,CAT_000080,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.422656,2026-06-16 19:27:31.42112
CAT_000093,무광시트커팅,CAT_000092,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.404664,2026-06-16 19:27:31.403115
CAT_000094,홀로그램시트커팅,CAT_000092,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.401139,2026-06-16 19:27:31.399596
CAT_000095,유광아크릴스티커,CAT_000092,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.396923,2026-06-16 19:27:31.395403
CAT_000096,미러아크릴스티커,CAT_000092,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.393768,2026-06-16 19:27:31.391507
CAT_000098,미니스탠딩보드,CAT_000097,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.389629,2026-06-16 19:27:31.388166
CAT_000099,미니배너,CAT_000097,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:27:31.386399,2026-06-16 19:27:31.384952
CAT_000116,와이드벽걸이캘린더,CAT_000115,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-19 01:10:57.034448,2026-06-19 01:10:57.032821
CAT_000125,스프링노트,CAT_000124,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.436484,2026-06-16 19:26:27.434677
CAT_000126,스프링수첩,CAT_000124,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.432831,2026-06-16 19:26:27.43064
CAT_000127,메모패드,CAT_000124,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.427691,2026-06-16 19:26:27.426129
CAT_000128,중철노트,CAT_000124,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.42325,2026-06-16 19:26:27.421395
CAT_000129,떡메모지,CAT_000124,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.419654,2026-06-16 19:26:27.417926
CAT_000131,레더링바인더,CAT_000130,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.415409,2026-06-16 19:26:27.413746
CAT_000132,클립보드,CAT_000130,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.412083,2026-06-16 19:26:27.410358
CAT_000133,투명클립보드,CAT_000130,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.408634,2026-06-16 19:26:27.405959
CAT_000135,만년스탬프,CAT_000134,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:27.403548,2026-06-16 19:26:27.401615
CAT_000136,자석북마크,CAT_000134,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.524871,2026-06-16 19:26:04.523109
CAT_000137,초슬림 마우스패드,CAT_000134,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.521145,2026-06-16 19:26:04.51956
CAT_000138,장패드,CAT_000134,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.518057,2026-06-16 19:26:04.515912
CAT_000139,틴케이스,CAT_000134,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:26:04.514298,2026-06-16 19:26:04.512749
CAT_000156,아크릴자유형스탠드,CAT_000155,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.891203,2026-06-16 19:25:32.888956
CAT_000157,판아크릴,CAT_000155,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.886451,2026-06-16 19:25:32.884864
CAT_000158,아크릴포카스탠드,CAT_000155,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.882705,2026-06-16 19:25:32.881001
CAT_000160,아크릴코롯토,CAT_000159,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.879168,2026-06-16 19:25:32.877342
CAT_000161,아크릴포카코롯토,CAT_000159,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.87492,2026-06-16 19:25:32.873251
CAT_000162,아크릴쉐이커코롯토,CAT_000159,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:32.870877,2026-06-16 19:25:32.869091
CAT_000164,아크릴미니파츠,CAT_000163,3,,Y,Y,N,2026-06-03 12:46:02.974607,2026-06-16 19:25:43.434697,2026-06-16 19:25:43.433008
