code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
CAT_000314,아트포스터,"{""upr_cat_cd"": ""CAT_000004"", ""parent_nm"": ""포스터"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,포스터 > 아트포스터,0,N,live,empty_node(자식0·상품0)
CAT_000315,배너/현수막,"{""upr_cat_cd"": ""CAT_000005"", ""parent_nm"": ""사인"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,사인 > 배너/현수막,0,N,live,empty_node(자식0·상품0)
CAT_000316,일반책자,"{""upr_cat_cd"": ""CAT_000006"", ""parent_nm"": ""책자"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,책자 > 일반책자,0,N,live,empty_node(자식0·상품0)
CAT_000317,캘린더액세서리,"{""upr_cat_cd"": ""CAT_000007"", ""parent_nm"": ""캘린더"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,캘린더 > 캘린더액세서리,0,N,live,empty_node(자식0·상품0)
CAT_000321,플래너,"{""upr_cat_cd"": ""CAT_000008"", ""parent_nm"": ""문구"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,문구 > 플래너,0,N,live,empty_node(자식0·상품0)
CAT_000322,단품형,"{""upr_cat_cd"": ""CAT_000009"", ""parent_nm"": ""아크릴"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,아크릴 > 단품형,0,N,live,empty_node(자식0·상품0)
CAT_000323,소품,"{""upr_cat_cd"": ""CAT_000010"", ""parent_nm"": ""라이프"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,라이프 > 소품,0,N,live,empty_node(자식0·상품0)
CAT_000327,인쇄포장재,"{""upr_cat_cd"": ""CAT_000012"", ""parent_nm"": ""포장"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,포장 > 인쇄포장재,0,N,live,empty_node(자식0·상품0)
CAT_000308,엽서북,"{""upr_cat_cd"": ""CAT_000001"", ""parent_nm"": ""엽서/카드"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""2"", ""use_yn"": ""Y""}",,엽서/카드 > 엽서북,1,N,live,leaf(상품1)
CAT_000311,특수스티커,"{""upr_cat_cd"": ""CAT_000002"", ""parent_nm"": ""스티커"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""2"", ""use_yn"": ""Y""}",,스티커 > 특수스티커,0,N,live,empty_node(자식0·상품0)
CAT_000228,타이벡파우치,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""3"", ""use_yn"": ""Y""}",,에코백 > 타이벡파우치,5,N,live,leaf(상품5)
CAT_000310,포토카드,"{""upr_cat_cd"": ""CAT_000001"", ""parent_nm"": ""엽서/카드"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""3"", ""use_yn"": ""Y""}",,엽서/카드 > 포토카드,2,N,live,leaf(상품2)
CAT_000312,스티커팩,"{""upr_cat_cd"": ""CAT_000002"", ""parent_nm"": ""스티커"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""3"", ""use_yn"": ""Y""}",,스티커 > 스티커팩,0,N,live,empty_node(자식0·상품0)
CAT_000234,메쉬파우치,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""4"", ""use_yn"": ""Y""}",,에코백 > 메쉬파우치,2,N,live,leaf(상품2)
CAT_000243,필통,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""5"", ""use_yn"": ""Y""}",,에코백 > 필통,7,N,live,leaf(상품7)
CAT_000237,미니파우치,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""6"", ""use_yn"": ""Y""}",,에코백 > 미니파우치,5,N,live,leaf(상품5)
CAT_000254,패브릭에코백,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""7"", ""use_yn"": ""Y""}",,에코백 > 패브릭에코백,8,N,live,leaf(상품8)
CAT_000263,타이벡에코백,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""8"", ""use_yn"": ""Y""}",,에코백 > 타이벡에코백,5,N,live,leaf(상품5)
CAT_000325,레더에코백,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""9"", ""use_yn"": ""Y""}",,에코백 > 레더에코백,0,N,live,empty_node(자식0·상품0)
CAT_000269,메쉬에코백,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""10"", ""use_yn"": ""Y""}",,에코백 > 메쉬에코백,2,N,live,leaf(상품2)
CAT_000326,부자재,"{""upr_cat_cd"": ""CAT_000011"", ""parent_nm"": ""에코백"", ""cat_lvl"": ""2"", ""child_cnt_del_n"": 0, ""disp_seq"": ""11"", ""use_yn"": ""Y""}",,에코백 > 부자재,0,N,live,empty_node(자식0·상품0)
CAT_000105,하드커버책자,"{""upr_cat_cd"": ""CAT_000104"", ""parent_nm"": ""하드커버책자"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,하드커버책자 > 하드커버책자,22,N,live,leaf(상품22)
CAT_000106,레더하드커버책자,"{""upr_cat_cd"": ""CAT_000104"", ""parent_nm"": ""하드커버책자"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,하드커버책자 > 레더하드커버책자,1,N,live,leaf(상품1)
CAT_000107,하드커버링책자,"{""upr_cat_cd"": ""CAT_000104"", ""parent_nm"": ""하드커버책자"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,하드커버책자 > 하드커버링책자,1,N,live,leaf(상품1)
CAT_000109,심플모던포토북,"{""upr_cat_cd"": ""CAT_000108"", ""parent_nm"": ""포토북"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,포토북 > 심플모던포토북,0,N,live,empty_node(자식0·상품0)
CAT_000110,여행포토북,"{""upr_cat_cd"": ""CAT_000108"", ""parent_nm"": ""포토북"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,포토북 > 여행포토북,0,N,live,empty_node(자식0·상품0)
CAT_000111,큐티키즈포토북,"{""upr_cat_cd"": ""CAT_000108"", ""parent_nm"": ""포토북"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,포토북 > 큐티키즈포토북,0,N,live,empty_node(자식0·상품0)
CAT_000284,라벨/택,"{""upr_cat_cd"": ""CAT_000283"", ""parent_nm"": ""라벨/포장스티커"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,라벨/포장스티커 > 라벨/택,1,N,live,leaf(상품1)
CAT_000302,데스크/사무용품,"{""upr_cat_cd"": ""CAT_000134"", ""parent_nm"": ""데스크소품"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,데스크소품 > 데스크/사무용품,1,N,live,leaf(상품1)
CAT_000304,말랑(PVC고주파),"{""upr_cat_cd"": ""CAT_000198"", ""parent_nm"": ""응원/시즌"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": """", ""use_yn"": ""Y""}",,응원/시즌 > 말랑(PVC고주파),1,N,live,leaf(상품1)
CAT_000318,탁상형캘린더,"{""upr_cat_cd"": ""CAT_000118"", ""parent_nm"": ""디자인캘린더"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,디자인캘린더 > 탁상형캘린더,0,N,live,empty_node(자식0·상품0)
CAT_000319,벽걸이캘린더,"{""upr_cat_cd"": ""CAT_000118"", ""parent_nm"": ""디자인캘린더"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": ""2"", ""use_yn"": ""Y""}",,디자인캘린더 > 벽걸이캘린더,0,N,live,empty_node(자식0·상품0)
CAT_000320,엽서캘린더,"{""upr_cat_cd"": ""CAT_000118"", ""parent_nm"": ""디자인캘린더"", ""cat_lvl"": ""3"", ""child_cnt_del_n"": 0, ""disp_seq"": ""3"", ""use_yn"": ""Y""}",,디자인캘린더 > 엽서캘린더,0,N,live,empty_node(자식0·상품0)
