prd_cd,prd_nm,prd_typ,extract_group,ambiguous,all_groups,pricein_sheet,frm,frm_nm,n_cases,calc_status,priced,pansu_match,pansu_signal,R1_contamination,R3_dflt_ok,n_dflt,OC_score,OC_missing
PRD_000001,OPP접착봉투,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000002,OPP비접착봉투,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000003,트래싱지 카드봉투,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000004,카드봉투,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000005,캘린더봉투,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000006,볼체인,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,8,100,
PRD_000007,와이어링,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,3,100,
PRD_000008,천정고리,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,True,1,100,
PRD_000009,투명케이스,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000010,행택끈,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,3,100,
PRD_000011,자석고정용고무판,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,0,100,
PRD_000012,우드거치대,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,True,1,100,
PRD_000013,우드봉,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,3,100,
PRD_000014,우드행거,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,3,100,
PRD_000015,만년스탬프 리필잉크,PRD_TYPE.03,product-accessory,False,product-accessory,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,7,100,
PRD_000016,프리미엄엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,7,OK,7,4/6,73x98:e18/a15;100x150:e9/a8,,True,1,100,
PRD_000017,코팅엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,7,OK,7,4/6,73x98:e18/a15;100x150:e9/a8,,False,2,83,coating
PRD_000018,스탠다드엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,5,OK,5,2/4,73x98:e18/a15;100x150:e9/a8,,True,1,100,
PRD_000019,투명엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,4,OK,4,0/3,98x98:e12/a8;100x150:e9/a6;135x135:e6/a4,,True,1,83,spot_color
PRD_000020,화이트인쇄엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,4,OK,4,0/0,,MAT_000138(젤리볼펜(가칭));MAT_000139(지비츠부속),False,4,75,spot_color
