prd_cd,prd_nm,pcode,verdict,size,qty,paper,engine,eng_print,eng_paper,eng_pansu,golden,diff,pct,note
PRD_000031,프리미엄명함,26,공통크기없음,,,,,,,,,,,엔진[] vs 예전['90x50']
PRD_000032,코팅명함,26,공통크기없음,,,,,,,,,,,엔진[] vs 예전['90x50']
PRD_000033,스탠다드명함,26,공통크기없음,,,,,,,,,,,엔진[] vs 예전['90x50']
PRD_000034,펄명함,26,공통크기없음,,,,,,,,,,,엔진[] vs 예전['90x50']
PRD_000035,모양명함,57,차이있음,90x50,100,스노우 300g(무광코팅),18000,,0,,20000,-2000,-10.0,
PRD_000036,미니모양명함,57,차이있음,50x50,100,스노우 300g(무광코팅),16000,,0,,17000,-1000,-5.9,
PRD_000037,오리지널박명함,47,공통크기없음,,,,,,,,,,,엔진[] vs 예전['90x50']
PRD_000024,포토카드,102,공통크기없음,,,,,,,,,,,엔진['55x86'] vs 예전[]
PRD_000025,투명포토카드,102,공통크기없음,,,,,,,,,,,엔진['55x86'] vs 예전[]
PRD_000027,2단접지카드,34,조건불일치(비교불가),100x150,100,백색모조지 220g,20048,19200.00,847.68,9,7000,,,예전 실제선택 크기=100mm x 150mm (가로2단) 수량=8 개 (요청 100x150/100)
PRD_000028,미니접지카드,34,공통크기없음,,,,,,,,,,,"엔진['90x50', '50x90', '86x52', '52x86'] vs 예전['100x150', '110x170', '135x135', '150x100', '170x110', '210x95', '95x210']"
PRD_000029,3단접지카드,34,조건불일치(비교불가),100x150,100,백색모조지 220g,20048,19200.00,847.68,9,7000,,,예전 실제선택 크기=100mm x 150mm (가로2단) 수량=8 개 (요청 100x150/100)
