live_comp,frm_cd,frm_nm,frm_use,prd_cd,prd_nm,prd_use,nonspec,new_codes
COMP_POSTER_ARTPRINT_PHOTO,PRF_POSTER_ARTFABRIC,아트패브릭포스터 완제품가(면적/규격 단가),Y,PRD_000123,아트패브릭포스터,Y,Y,POSTER_PHOTOPAPER_PRINT / POSTER_PET_PRINT / POSTER_PVC_PRINT / POSTER_GRAPHIC_PRINT
COMP_POSTER_ARTPRINT_PHOTO,PRF_POSTER_ARTPRINT,아트프린트포스터 완제품가(면적/규격 단가),Y,PRD_000118,아트프린트포스터,Y,Y,POSTER_PHOTOPAPER_PRINT / POSTER_PET_PRINT / POSTER_PVC_PRINT / POSTER_GRAPHIC_PRINT
COMP_POSTER_ARTPRINT_PHOTO,PRF_POSTER_FIXED,포스터사인 소재/사이즈/수량별 완제품가(포함항목 통가격),Y,,,,,POSTER_PHOTOPAPER_PRINT / POSTER_PET_PRINT / POSTER_PVC_PRINT / POSTER_GRAPHIC_PRINT
COMP_POSTER_ARTPRINT_PHOTO,PRF_POSTER_WATERPROOF,방수포스터 완제품가(면적/규격 단가),Y,PRD_000120,방수포스터,Y,Y,POSTER_PHOTOPAPER_PRINT / POSTER_PET_PRINT / POSTER_PVC_PRINT / POSTER_GRAPHIC_PRINT
COMP_POSTER_BANNER_MESH,PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),Y,PRD_000139,메쉬현수막,Y,Y,POSTER_MESHPLACARD_PRINT
COMP_POSTER_BANNER_NORMAL,PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),Y,PRD_000138,일반현수막,Y,Y,POSTER_PLACARD_PRINT
COMP_POSTER_CANVAS_FABRIC,PRF_POSTER_CANVAS,캔버스패브릭포스터 완제품가(면적/규격 단가),Y,PRD_000125,캔버스패브릭포스터,Y,Y,POSTER_OXFORD_PRINT / POSTER_LEATHER_PRINT / POSTER_TYVEK_PRINT / POSTER_MESH_PRINT
COMP_POSTER_CANVAS_FABRIC,PRF_POSTER_LEATHER_AP,레더아트프린트 완제품가(면적/규격 단가),Y,PRD_000126,레더아트프린트,Y,Y,POSTER_OXFORD_PRINT / POSTER_LEATHER_PRINT / POSTER_TYVEK_PRINT / POSTER_MESH_PRINT
COMP_POSTER_CANVAS_FABRIC,PRF_POSTER_MESH,메쉬프린트 완제품가(면적/규격 단가),Y,PRD_000128,메쉬프린트,Y,Y,POSTER_OXFORD_PRINT / POSTER_LEATHER_PRINT / POSTER_TYVEK_PRINT / POSTER_MESH_PRINT
COMP_POSTER_CANVAS_FABRIC,PRF_POSTER_TYVEK,타이벡프린트 완제품가(면적/규격 단가),Y,PRD_000127,타이벡프린트,Y,Y,POSTER_OXFORD_PRINT / POSTER_LEATHER_PRINT / POSTER_TYVEK_PRINT / POSTER_MESH_PRINT
COMP_POSTER_CANVAS_HANGING,PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),Y,PRD_000133,캔버스 행잉포스터,Y,N,POSTER_HANGINGCANVAS_PRINT
COMP_POSTER_FOAMBOARD_BOARD,PRF_POSTER_FOAMBOARD,폼보드 완제품가(면적/규격 단가),Y,PRD_000129,폼보드,Y,N,POSTER_FORMBOARD_PRINT
COMP_POSTER_FOMEXBOARD_BOARD,PRF_POSTER_FOMEXBOARD,포맥스보드 완제품가(면적/규격 단가),Y,PRD_000130,포맥스보드,Y,N,POSTER_FOAMEX_PRINT
COMP_POSTER_FRAMELESS_WOOD,PRF_POSTER_FRAMELESS,프레임리스우드액자 완제품가(면적/규격 단가),Y,PRD_000131,프레임리스우드액자,Y,N,POSTER_WOODPANEL_PRINT
COMP_POSTER_JOKJA,PRF_POSTER_JOKJA,족자포스터 완제품가(면적/규격 단가),Y,PRD_000135,족자포스터,Y,N,POSTER_HANGINGSCROLL_PRINT
COMP_POSTER_LEATHER_FRAME,PRF_POSTER_LEATHER_FRAME,레더아트액자 완제품가(면적/규격 단가),Y,PRD_000132,레더아트액자,Y,N,POSTER_LEATHERPANEL_PRINT
COMP_POSTER_LINEN_FABRIC,PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),Y,PRD_000124,린넨패브릭포스터,Y,Y,POSTER_LINEN_PRINT
COMP_POSTER_LINEN_WOODBONG,PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),Y,PRD_000134,린넨우드봉족자,Y,N,POSTER_HANGINGLINEN_PRINT
COMP_POSTER_MESH_BANNER,PRF_POSTER_MESH_BANNER,메쉬배너 완제품가(면적/규격 단가),Y,PRD_000137,메쉬배너,Y,N,POSTER_MESHBANNER_PRINT
COMP_POSTER_MINI_BANNER,PRF_POSTER_MINI_BANNER,미니배너 완제품가(면적/규격 단가),Y,PRD_000145,미니배너,Y,N,POSTER_MINIBANNER_FINAL
COMP_POSTER_MINI_STANDBOARD,PRF_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가(면적/규격 단가),Y,PRD_000144,미니보드스탠딩,Y,N,POSTER_MINIBOARD_FINAL
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),Y,PRD_000133,캔버스 행잉포스터,Y,N,POSTER_HANGINGCANVAS_ADDON
COMP_POSTEROPT_LINEN_FINISH,PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),Y,PRD_000124,린넨패브릭포스터,Y,Y,POSTER_LINEN_FINISHING
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),Y,PRD_000134,린넨우드봉족자,Y,N,POSTER_HANGINGLINEN_ADDON
COMP_POSTER_PET_BANNER,PRF_POSTER_PET_BANNER,PET배너 완제품가(면적/규격 단가),Y,PRD_000136,PET배너,Y,N,POSTER_PETBANNER_PRINT
COMP_POSTER_SHEETCUT_HOLO,PRF_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가(면적/규격 단가),Y,PRD_000141,홀로그램 시트커팅,Y,N,POSTER_SHEETCUT_FINAL
COMP_POSTER_SHEETCUT_MATTE,PRF_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가(면적/규격 단가),Y,PRD_000140,무광시트커팅,Y,N,POSTER_SHEETCUT_FINAL
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000052,반칼 자유형 스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000053,반칼 자유형 투명스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
