sheet,code_row,code_col,code_as_written,code_upper,name,row_from,row_to,col_from,col_to,numeric_first_row,numeric_last_row,numeric_cells
아크릴,2,1,ACRYLIC_CLEAR3T_print,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,2,23,1,22,5,18,196
아크릴,24,1,ACRYLIC_CLEAR15T_print,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,24,39,1,22,27,35,90
아크릴,40,1,ACRYLIC_MIRROR3T_print,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,40,66,1,22,43,62,87
아크릴,67,1,ACRYLIC_TOTAL_finishing,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,67,98,1,22,69,94,26
아크릴,99,1,ACRYLIC_CLEAR8T_print,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,99,112,1,22,102,107,36
아크릴,113,1,ACRYLIC_carabiner_final,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,113,318,1,22,116,119,7
스티커,2,1,STK_KISSCUT_PRINT,STK_KISSCUT_PRINT,스티커_반칼_제작가,2,47,1,21,7,42,684
스티커,48,1,STK_CUT_PRINT,STK_CUT_PRINT,스티커_완칼_제작가,48,60,1,21,51,56,36
스티커,61,1,STK_CUT_CLEAR_PRINT,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,61,73,1,21,64,69,36
스티커,74,1,STK_CUT_LARGE_PRINT,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,74,86,1,21,77,82,12
스티커,87,1,STK_TATTOO_setup,STK_TATTOO_SETUP,스티커_타투_기본가,87,101,1,4,90,99,5
스티커,87,5,STK_TATTOO_print,STK_TATTOO_PRINT,스티커_타투_제작가,87,101,5,21,90,91,4
스티커,102,1,STK_STICKERPACK_final,STK_STICKERPACK_FINAL,스티커_스티커팩_제작가,102,108,1,21,106,107,6
포스터사인,2,1,POSTER_PHOTOPAPER_print,POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,2,20,1,26,5,17,52
포스터사인,21,1,POSTER_PAPER_print,POSTER_PAPER_PRINT,포스터_매트지_출력가,21,39,1,26,24,36,39
포스터사인,40,1,POSTER_PET_print,POSTER_PET_PRINT,포스터_PET_출력가,40,58,1,26,43,55,52
포스터사인,59,1,POSTER_PVC_print,POSTER_PVC_PRINT,포스터_PVC_출력가,59,77,1,26,62,74,52
포스터사인,78,1,POSTER_CLEARPVC_print,POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,78,96,1,26,81,93,52
포스터사인,97,1,POSTER_GRAPHIC_print,POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,97,115,1,26,100,112,52
포스터사인,116,1,POSTER_LINEN_print,POSTER_LINEN_PRINT,포스터_린넨_출력가,116,134,1,9,119,131,52
포스터사인,116,10,POSTER_LINEN_finishing,POSTER_LINEN_FINISHING,포스터_린넨_가공가,116,134,10,26,119,123,5
포스터사인,135,1,POSTER_OXFORD_print,POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,135,153,1,26,138,150,52
포스터사인,154,1,POSTER_LEATHER_print,POSTER_LEATHER_PRINT,포스터_레더_출력가,154,172,1,26,157,169,52
포스터사인,173,1,POSTER_TYVEK_print,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,173,191,1,26,176,188,52
포스터사인,192,1,POSTER_MESH_print,POSTER_MESH_PRINT,포스터_메쉬_출력가,192,210,1,26,195,207,52
포스터사인,211,1,POSTER_FORMBOARD_print,POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,211,218,1,26,214,215,6
포스터사인,219,1,POSTER_FOAMEX_print,POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,219,226,1,26,222,223,6
포스터사인,227,1,POSTER_WOODPANEL_print,POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,227,233,1,26,230,230,4
포스터사인,234,1,POSTER_LEATHERPANEL_print,POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,234,240,1,26,237,237,7
포스터사인,241,1,POSTER_HANGINGSCROLL_print,POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,241,248,1,26,244,245,8
포스터사인,249,1,POSTER_HANGINGCANVAS_print,POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,249,257,1,9,252,252,4
포스터사인,249,10,POSTER_HANGINGCANVAS_addon,POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,249,257,10,26,252,253,6
포스터사인,258,1,POSTER_HANGINGLINEN_print,POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,258,265,1,9,261,261,4
포스터사인,258,10,POSTER_HANGINGLINEN_addon,POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,258,265,10,26,261,262,6
포스터사인,266,1,POSTER_PETBANNER_print,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,266,276,1,26,269,272,6
포스터사인,277,1,POSTER_PETBANNER_print,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,277,284,1,26,280,280,2
포스터사인,285,1,POSTER_PLACARD_print,POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,285,307,1,9,288,303,80
포스터사인,285,10,POSTER_PLACARD_finishing,POSTER_PLACARD_FINISHING,포스터_현수막_가공가,285,307,10,12,288,293,6
포스터사인,285,13,POSTER_PLACARD_addon,POSTER_PLACARD_ADDON,포스터_현수막_부자재,285,307,13,26,288,292,5
포스터사인,308,1,POSTER_MESHPLACARD_print,POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,308,330,1,26,311,326,55
포스터사인,331,1,POSTER_SHEETCUT_final,POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,331,339,1,26,334,335,6
포스터사인,340,1,POSTER_ACRYLICSTICKER_final,POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,340,348,1,26,343,344,8
포스터사인,349,1,POSTER_MINIBOARD_final,POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,349,360,1,26,352,356,15
포스터사인,361,1,POSTER_MINIBANNER_final,POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,361,441,1,26,364,368,10
