no,sheet,code,name,live_target,plan_rows,formulas_note
1,아크릴,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,COMP_ACRYL_CLEAR3T,196,공식8·상품14
2,아크릴,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,CLR_ACRYL_1.5T,81,미니파츠·배선보류
3,아크릴,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,COMP_ACRYL_MIRROR3T,81,쓰는상품없음
4,아크릴,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,COMP_ACRYL_FINISH,17,공식9
5,아크릴,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,COMP_ACRYL_COROTTO,36,공식2
6,아크릴,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,COMP_ACRYL_CARABINER,4,공식1
7,스티커,STK_KISSCUT_PRINT,스티커_반칼_제작가,COMP_STK_PRINT(반칼),,상품9
8,스티커,STK_CUT_PRINT,스티커_완칼_제작가,COMP_STK_PRINT(완칼),,상품1
9,스티커,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,COMP_STK_PRINT(완칼투명),,상품1
10,스티커,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,COMP_STK_PRINT(대형),,상품1
11,스티커,STK_TATTOO_SETUP,스티커_타투_기본가,COMP_STK_TATTOO,,고정금액
12,스티커,STK_TATTOO_PRINT,스티커_타투_제작가,COMP_STK_TATTOO,,묶음수3
13,포스터사인,POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,COMP_POSTER_ARTPRINT_PHOTO,52,아트프린트118
14,포스터사인,POSTER_PAPER_PRINT,포스터_매트지_출력가,COMP_POSTER_ARTPAPER_MATTE,39,매트지119
15,포스터사인,POSTER_PET_PRINT,포스터_PET_출력가,COMP_POSTER_ARTPRINT_PHOTO,,방수120
16,포스터사인,POSTER_PVC_PRINT,포스터_PVC_출력가,COMP_POSTER_ARTPRINT_PHOTO,,접착방수121
17,포스터사인,POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,COMP_POSTER_ADH_CLEAR_PVC,52,투명PVC122
18,포스터사인,POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,COMP_POSTER_ARTPRINT_PHOTO,,그래픽천123
19,포스터사인,POSTER_LINEN_PRINT,포스터_린넨_출력가,COMP_POSTER_LINEN_FABRIC,52,린넨124
20,포스터사인,POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,COMP_POSTER_CANVAS_FABRIC,52,옥스포드125
21,포스터사인,POSTER_LEATHER_PRINT,포스터_레더_출력가,COMP_POSTER_CANVAS_FABRIC,,레더126
22,포스터사인,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,COMP_POSTER_CANVAS_FABRIC,,타이벡127
23,포스터사인,POSTER_MESH_PRINT,포스터_메쉬_출력가,COMP_POSTER_CANVAS_FABRIC,,메쉬128
24,포스터사인,POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,COMP_POSTER_BANNER_NORMAL,80,일반현수막138
