prd_cd,prd_nm,attr,분류,expected_key,actual_key,note
PRD_000171,지비츠★,size,MISSING,15x15,,
PRD_000171,지비츠★,size,MISSING,25x25,,
PRD_000171,지비츠★,size,MISSING,30x30,,
PRD_000171,지비츠★,size,MISSING,20x20,,
PRD_000100,포토북 [디자인명],size,MISSING,8x8,,
PRD_000100,포토북 [디자인명],size,MISSING,10x10,,
PRD_000100,포토북 [디자인명],size,EXTRA,,250x250,
PRD_000100,포토북 [디자인명],size,EXTRA,,200x200,
PRD_000028,미니접지카드,size,MISSING,50x90,,
PRD_000028,미니접지카드,size,EXTRA,,SIZ_000132,
PRD_000169,아크릴입체블럭,size,EXTRA,,80x80,
PRD_000169,아크릴입체블럭,size,EXTRA,,100x150,
PRD_000134,린넨 우드봉 족자,size,EXTRA,,210x297,
PRD_000134,린넨 우드봉 족자,size,EXTRA,,420x594,
PRD_000134,린넨 우드봉 족자,size,EXTRA,,297x420,
PRD_000197,미니매트,size,MISSING,45x45,,
PRD_000197,미니매트,size,EXTRA,,450x450,
PRD_000088,레더 링바인더,size,EXTRA,,210x297,
PRD_000131,프레임리스우드액자,size,MISSING,594x841,,
PRD_000130,포맥스보드,size,MISSING,594x841,,
PRD_000116,벽걸이캘린더,size,MISSING,300x420,,
PRD_000116,벽걸이캘린더,size,MISSING,210x420,,
PRD_000218,타이벡북커버,size,EXTRA,,148x210,
PRD_000167,아크릴코롯토,size,MISSING,30x30,,
PRD_000167,아크릴코롯토,size,MISSING,80x80,,
PRD_000167,아크릴코롯토,size,MISSING,60x60,,
PRD_000167,아크릴코롯토,size,MISSING,40x40,,
PRD_000167,아크릴코롯토,size,MISSING,50x50,,
PRD_000167,아크릴코롯토,size,MISSING,70x70,,
PRD_000242,광목 스트링 라벨파우치,size,EXTRA,,100x70,
PRD_000242,광목 스트링 라벨파우치,size,EXTRA,,SIZ_000449,
PRD_000051,썬캡,size,MISSING,313x400,,
PRD_000051,썬캡,size,EXTRA,,SIZ_000195,
PRD_000115,엽서캘린더,size,MISSING,148x210,,
PRD_000115,엽서캘린더,size,MISSING,130x220,,
PRD_000115,엽서캘린더,size,MISSING,145x300,,
PRD_000115,엽서캘린더,size,MISSING,220x130,,
PRD_000115,엽서캘린더,size,MISSING,220x145,,
PRD_000132,레더아트액자,size,MISSING,8x10,,
PRD_000132,레더아트액자,size,MISSING,5x7,,
PRD_000132,레더아트액자,size,MISSING,8x8,,
PRD_000132,레더아트액자,size,MISSING,5x5,,
PRD_000132,레더아트액자,size,EXTRA,,203x203,
PRD_000132,레더아트액자,size,EXTRA,,203x254,
PRD_000132,레더아트액자,size,EXTRA,,127x178,
PRD_000132,레더아트액자,size,EXTRA,,127x127,
PRD_000129,폼보드,size,MISSING,594x841,,
PRD_000241,캔버스 스트랩 라벨파우치,size,EXTRA,,SIZ_000448,
PRD_000198,피크닉매트,size,MISSING,100x70,,
PRD_000198,피크닉매트,size,MISSING,100x150,,
PRD_000198,피크닉매트,size,EXTRA,,1000x700,
PRD_000198,피크닉매트,size,EXTRA,,1000x1500,
