prd_cd,prd_nm,attr,분류,expected_key,actual_key,note
PRD_000171,지비츠★,material,EXTRA,,MAT_000192,placeholder expected 존재(직접대조불가)
PRD_000227,미니우치와키링,material,MISSING,MAT_000213,,
PRD_000227,미니우치와키링,material,EXTRA,,MAT_000272,
PRD_000227,미니우치와키링,material,EXTRA,,MAT_000256,
PRD_000229,이미지피켓,material,EXTRA,,MAT_000318,
PRD_000229,이미지피켓,material,EXTRA,,MAT_000317,
PRD_000221,말랑키링,material,EXTRA,,MAT_000307,
PRD_000221,말랑키링,material,EXTRA,,MAT_000308,
PRD_000221,말랑키링,material,EXTRA,,MAT_000305,
PRD_000221,말랑키링,material,EXTRA,,MAT_000304,
PRD_000221,말랑키링,material,EXTRA,,MAT_000306,
PRD_000194,워터북보틀,material,EXTRA,,MAT_000270,
PRD_000194,워터북보틀,material,EXTRA,,MAT_000269,
PRD_000109,미니탁상형캘린더,material,MISSING,MAT_000107,,
PRD_000109,미니탁상형캘린더,material,EXTRA,,MAT_000254,placeholder expected 존재(직접대조불가)
PRD_000109,미니탁상형캘린더,material,EXTRA,,MAT_000253,placeholder expected 존재(직접대조불가)
PRD_000010,행택끈,material,EXTRA,,MAT_000220,
PRD_000010,행택끈,material,EXTRA,,MAT_000217,
PRD_000010,행택끈,material,EXTRA,,MAT_000219,
PRD_000155,아크릴볼펜,material,EXTRA,,MAT_000192,placeholder expected 존재(직접대조불가)
PRD_000163,아크릴미니파츠,material,EXTRA,,MAT_000192,placeholder expected 존재(직접대조불가)
PRD_000059,반칼정사각스티커,material,EXTRA,,MAT_000155,
PRD_000059,반칼정사각스티커,material,EXTRA,,MAT_000084,
PRD_000059,반칼정사각스티커,material,EXTRA,,MAT_000156,
PRD_000016,프리미엄엽서,material,MISSING,__IMPORT__21종,(actual 0행),placeholder-MISSING
PRD_000006,볼체인,material,EXTRA,,MAT_000206,
PRD_000006,볼체인,material,EXTRA,,MAT_000209,
PRD_000006,볼체인,material,EXTRA,,MAT_000205,
PRD_000006,볼체인,material,EXTRA,,MAT_000207,
PRD_000006,볼체인,material,EXTRA,,MAT_000203,
PRD_000006,볼체인,material,EXTRA,,MAT_000208,
PRD_000006,볼체인,material,EXTRA,,MAT_000202,
PRD_000006,볼체인,material,EXTRA,,MAT_000204,
PRD_000142,유광아크릴스티커,material,MISSING,MAT_000212,,
PRD_000142,유광아크릴스티커,material,MISSING,MAT_000213,,
PRD_000142,유광아크릴스티커,material,EXTRA,,MAT_000255,
PRD_000142,유광아크릴스티커,material,EXTRA,,MAT_000256,
PRD_000065,스티커팩,material,EXTRA,,MAT_000084,
PRD_000154,아크릴 머리끈,material,EXTRA,,MAT_000192,placeholder expected 존재(직접대조불가)
PRD_000239,캔버스 플랫 파우치,material,EXTRA,,MAT_000319,
PRD_000239,캔버스 플랫 파우치,material,EXTRA,,MAT_000320,
PRD_000071,트윈링책자,material,EXTRA,,MAT_000013,placeholder expected 존재(직접대조불가)
PRD_000071,트윈링책자,material,EXTRA,,MAT_000245,placeholder expected 존재(직접대조불가)
PRD_000071,트윈링책자,material,EXTRA,,MAT_000015,placeholder expected 존재(직접대조불가)
PRD_000071,트윈링책자,material,EXTRA,,MAT_000244,placeholder expected 존재(직접대조불가)
PRD_000071,트윈링책자,material,EXTRA,,MAT_000014,placeholder expected 존재(직접대조불가)
PRD_000082,하드커버 링책자,material,EXTRA,,MAT_000004,placeholder expected 존재(직접대조불가)
PRD_000082,하드커버 링책자,material,EXTRA,,MAT_000015,placeholder expected 존재(직접대조불가)
PRD_000082,하드커버 링책자,material,EXTRA,,MAT_000001,placeholder expected 존재(직접대조불가)
PRD_000082,하드커버 링책자,material,EXTRA,,MAT_000014,placeholder expected 존재(직접대조불가)
PRD_000082,하드커버 링책자,material,EXTRA,,MAT_000003,placeholder expected 존재(직접대조불가)
PRD_000082,하드커버 링책자,material,EXTRA,,MAT_000013,placeholder expected 존재(직접대조불가)
