artifact,output_kind,output_key,source_csv,source_detail
01_siz_register.sql,siz_insert,SIZ_000664,areamatrix-siz-registration.csv,ACRYL/90x180 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000665,areamatrix-siz-registration.csv,ACRYL/90x200 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000666,areamatrix-siz-registration.csv,ACRYL/100x20 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000667,areamatrix-siz-registration.csv,ACRYL/100x30 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000668,areamatrix-siz-registration.csv,ACRYL/100x120 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000669,areamatrix-siz-registration.csv,ACRYL/100x160 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000670,areamatrix-siz-registration.csv,ACRYL/100x180 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000671,areamatrix-siz-registration.csv,ACRYL/120x20 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000672,areamatrix-siz-registration.csv,ACRYL/120x30 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000673,areamatrix-siz-registration.csv,ACRYL/120x40 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000674,areamatrix-siz-registration.csv,ACRYL/120x100 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000675,areamatrix-siz-registration.csv,ACRYL/120x140 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000676,areamatrix-siz-registration.csv,ACRYL/120x160 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000677,areamatrix-siz-registration.csv,ACRYL/120x200 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000678,areamatrix-siz-registration.csv,ACRYL/140x20 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000679,areamatrix-siz-registration.csv,ACRYL/140x30 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000680,areamatrix-siz-registration.csv,ACRYL/140x40 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000681,areamatrix-siz-registration.csv,ACRYL/140x50 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000682,areamatrix-siz-registration.csv,ACRYL/140x60 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000683,areamatrix-siz-registration.csv,ACRYL/140x70 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000684,areamatrix-siz-registration.csv,ACRYL/140x90 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000685,areamatrix-siz-registration.csv,ACRYL/140x120 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000686,areamatrix-siz-registration.csv,ACRYL/140x140 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000687,areamatrix-siz-registration.csv,ACRYL/140x160 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000688,areamatrix-siz-registration.csv,ACRYL/160x20 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000689,areamatrix-siz-registration.csv,ACRYL/160x30 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000690,areamatrix-siz-registration.csv,ACRYL/160x40 (NONE→new)
