옵션그룹	상품코드	상품명	옵션코드	옵션명	해소차원
테두리색상	PRD_000197	미니매트	OPV_000452	화이트	MAT_000255
테두리색상	PRD_000197	미니매트	OPV_000453	블랙	MAT_000256
테두리색상	PRD_000198	피크닉매트	OPV_000454	화이트	MAT_000255
테두리색상	PRD_000198	피크닉매트	OPV_000455	블랙	MAT_000256
화이트인쇄	PRD_000063	반칼팬시투명스티커	OPV_000983	화이트인쇄(없음)	-
화이트인쇄	PRD_000063	반칼팬시투명스티커	OPV_000984	화이트인쇄(단면)	PROC_000008
카라비너고리	PRD_000166	아크릴카라비너	OPV_000922	실버	-
카라비너고리	PRD_000166	아크릴카라비너	OPV_000923	골드	-
카라비너고리	PRD_000166	아크릴카라비너	OPV_000924	화이트	-
카라비너고리	PRD_000166	아크릴카라비너	OPV_000925	블랙	-
카라비너고리	PRD_000166	아크릴카라비너	OPV_000926	레드	-
카라비너고리	PRD_000166	아크릴카라비너	OPV_000927	핑크	-
카라비너고리	PRD_000166	아크릴카라비너	OPV_000928	스카이블루	-
# 합계 198
