item,mat_cd,mat_nm,mat_typ_cd,del_yn,use_yn
R5_mat,MAT_000210,와이어링 실버,MAT_TYPE.10,N,Y
R5_mat,MAT_000212,와이어링 화이트,MAT_TYPE.10,N,Y
R5_mat,MAT_000213,와이어링 블랙,MAT_TYPE.10,N,Y
R5_mat,MAT_000215,천정고리,MAT_TYPE.10,N,Y
R5_mat,MAT_000216,투명케이스,MAT_TYPE.10,N,Y
R5_mat,MAT_000217,행택끈 사각검정 (100개),MAT_TYPE.10,N,Y
R5_mat,MAT_000219,행택끈 사각백색 (100개),MAT_TYPE.10,N,Y
R5_mat,MAT_000220,행택끈 사각마사 (100개),MAT_TYPE.10,N,Y
R5_mat,MAT_000221,자석고정용고무판 20 x 20 (20개입),MAT_TYPE.10,N,Y
R5_mat,MAT_000222,우드거치대 120mm (4mm홈) 내추럴,MAT_TYPE.10,N,Y
R5_mat,MAT_000224,우드봉 270mm + 면끈,MAT_TYPE.10,N,Y
R5_mat,MAT_000226,우드봉 360mm + 면끈,MAT_TYPE.10,N,Y
R5_mat,MAT_000227,우드봉 480mm + 면끈,MAT_TYPE.10,N,Y
R5_mat,MAT_000228,우드행거 230mm + 면끈,MAT_TYPE.10,N,Y
R5_mat,MAT_000230,우드행거 320mm + 면끈,MAT_TYPE.10,N,Y
R5_mat,MAT_000231,우드행거 440mm + 면끈,MAT_TYPE.10,N,Y
