mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000038	아크릴 화이트	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-16 19:03:56.106116	Y	2026-06-16 19:03:56.10383
MAT_000039	아크릴 블랙	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-16 19:03:56.101168	Y	2026-06-16 19:03:56.099154
MAT_000040	아크릴 골드	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-16 19:03:56.097481	Y	2026-06-16 19:03:56.095625
MAT_000041	아크릴 실버	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-16 19:03:56.090811	Y	2026-06-16 19:03:56.088931
MAT_000042	아크릴 투명 1.5mm	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000043	아크릴 투명 3mm	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000044	아크릴 투명 8mm	MAT_TYPE.03	MAT_000036								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000045	아크릴부자재	MAT_TYPE.07		SEL_TYPE.02							Y	D9 31종	2026-06-03 12:46:02.974607	2026-06-16 18:51:00.695591	Y	2026-06-16 18:51:00.693678
MAT_000046	일자핀	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:50:35.933578	N	
MAT_000047	원형핀	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:50:29.18258	N	
MAT_000048	1구자석	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:50:22.520646	N	
MAT_000049	2구자석	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:50:16.214521	N	
MAT_000050	네오디움 자석	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:50:01.205193	N	
MAT_000051	아크릴키링 은색고리	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:49:44.990637	N	
MAT_000052	아크릴키링 금색고리	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:49:32.530851	N	
MAT_000053	스마트톡 투명바디	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:49:20.182659	N	
MAT_000054	스마트톡 화이트바디	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:49:10.59777	N	
MAT_000055	투명집게(자석형)	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:48:31.37471	N	
MAT_000056	투명집게	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:48:41.370696	N	
