code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
MAT_000050,네오디움 자석,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,0,N,live,
MAT_000051,아크릴키링 은색고리,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,1,N,both,
MAT_000052,아크릴키링 금색고리,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,1,N,both,
MAT_000053,스마트톡 투명바디,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,1,N,both,
MAT_000054,스마트톡 화이트바디,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,1,N,both,
MAT_000055,투명집게(자석형),"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,0,N,live,
MAT_000056,투명집게,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,1,N,both,
MAT_000057,블랙헤어끈,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,1,N,both,
MAT_000060,맥세이프 스마트톡,"{""mat_typ_cd"": ""MAT_TYPE.07"", ""upr_mat_cd"": ""MAT_000045"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,포장부자재,0,N,live,
MAT_000072,백색모조지 100g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000071"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,15,Y,both,price_dep_rows=1
