prd_cd	cat_cd	main_cat_yn	disp_seq	note	reg_dt	upd_dt
PRD_000001	CAT_000293	Y	1		2026-06-03 12:46:02.974607	2026-06-05 15:51:09.799719
PRD_000002	CAT_000002	Y	2		2026-06-05 15:41:31.451528	
PRD_000002	CAT_000293	Y	1		2026-06-03 12:46:02.974607	2026-06-05 15:41:31.415219
PRD_000003	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000004	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000005	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000006	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000007	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000008	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000009	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000010	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000011	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000012	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000013	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000014	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000015	CAT_000293	Y	1		2026-06-03 12:46:02.974607	
PRD_000016	CAT_000001	Y	1		2026-06-03 12:46:02.974607	2026-06-05 19:16:03.164473
PRD_000017	CAT_000001	Y	1		2026-06-03 12:46:02.974607	
PRD_000018	CAT_000001	Y	1		2026-06-03 12:46:02.974607	
PRD_000019	CAT_000001	Y	1		2026-06-03 12:46:02.974607	
(20 rows)
