table_name	conname	def
t_prd_product_constraints	fk_prd_constraints_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_constraints	fk_prd_constraints_rule_typ_cd	FOREIGN KEY (rule_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_discount_tables	fk_prd_dsc_tbls_dsc_tbl_cd	FOREIGN KEY (dsc_tbl_cd) REFERENCES t_dsc_discount_tables(dsc_tbl_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_discount_tables	fk_prd_dsc_tbls_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_materials	fk_prd_product_mats_dep_proc_cd	FOREIGN KEY (dep_proc_cd) REFERENCES t_proc_processes(proc_cd) ON UPDATE CASCADE ON DELETE SET NULL
t_prd_product_materials	fk_prd_product_mats_mat_cd	FOREIGN KEY (mat_cd) REFERENCES t_mat_materials(mat_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_materials	fk_prd_product_mats_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_materials	fk_prd_product_mats_usage_cd	FOREIGN KEY (usage_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_option_groups	fk_prd_opt_groups_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_option_groups	fk_prd_opt_groups_sel_typ_cd	FOREIGN KEY (sel_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_option_items	fk_prd_opt_items_opt	FOREIGN KEY (prd_cd, opt_cd) REFERENCES t_prd_product_options(prd_cd, opt_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_option_items	fk_prd_opt_items_ref_dim_cd	FOREIGN KEY (ref_dim_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_options	fk_prd_options_opt_grp	FOREIGN KEY (prd_cd, opt_grp_cd) REFERENCES t_prd_product_option_groups(prd_cd, opt_grp_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_options	fk_prd_options_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_page_rules	fk_prd_product_page_rules_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_plate_sizes	fk_prd_plt_siz_output_paper_typ_cd	FOREIGN KEY (output_paper_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_plate_sizes	fk_prd_product_plt_siz_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
