table_name	est_rows
auth_group	-1
auth_group_permissions	-1
auth_permission	-1
auth_user	-1
auth_user_groups	-1
auth_user_user_permissions	-1
django_admin_log	-1
django_content_type	-1
django_migrations	-1
django_session	40
t_cat_categories	306
t_clr_color_counts	-1
t_cod_base_codes	58
t_cus_customers	-1
t_dsc_discount_details	-1
t_dsc_discount_tables	-1
t_dsc_grade_discount_rates	-1
t_mat_materials	336
t_prc_component_prices	-1
t_prc_formula_components	-1
t_prc_price_components	-1
t_prc_price_formulas	-1
t_prd_product_addons	34
t_prd_product_bundle_qtys	-1
t_prd_product_categories	280
t_prd_product_constraints	-1
t_prd_product_discount_tables	99
t_prd_product_materials	406
t_prd_product_option_groups	-1
t_prd_product_option_items	-1
t_prd_product_options	-1
t_prd_product_page_rules	-1
t_prd_product_plate_sizes	509
t_prd_product_price_formulas	-1
t_prd_product_prices	-1
t_prd_product_print_options	172
t_prd_product_processes	196
t_prd_product_sets	28
t_prd_product_sizes	444
t_prd_products	280
t_prd_template_selections	-1
t_prd_templates	-1
t_proc_processes	83
t_siz_sizes	497
(44 rows)
