sheet,구분,상품명,prd_cd,사이즈옵션,재단사이즈,가격,수량min,수량max,수량incr,구간할인테이블,선택옵션,선택가격,가공,가공가격,추가상품,추가가격,ID,MES
굿즈파우치,기념품/액세서리,핀버튼,PRD_000200,원형 58mm,,900.0,4.0,10000.0,4.0,굿즈상품 B타입,,,,,,,14655.0,
굿즈파우치,기념품/액세서리,핀버튼,PRD_000200,사각 57mm,,1000.0,4.0,10000.0,4.0,,,,,,,,,
굿즈파우치,기념품/액세서리,레더스트랩키링,PRD_000201,미니 50mm,,3000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14656.0,
굿즈파우치,기념품/액세서리,,,일반 100mm,,3500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,기념품/액세서리,키캡키링,PRD_000202,2구,,8000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,기념품/액세서리,키캡키링,PRD_000202,3구,,10000.0,,,,,,,,,,,,
굿즈파우치,기념품/액세서리,키캡키링,PRD_000202,4구,,12000.0,,,,,,,,,,,,
굿즈파우치,기념품/액세서리,키캡키링,PRD_000202,2x2구,,12000.0,,,,,,,,,,,,
굿즈파우치,기념품/액세서리,LED투명키캡키링,PRD_000203,1구,,6000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,기념품/액세서리,LED투명키캡키링,PRD_000203,2구,,8000.0,,,,,,,,,,,,
굿즈파우치,기념품/액세서리,LED투명키캡키링,PRD_000203,3구,,10000.0,,,,,,,,,,,,
굿즈파우치,기념품/액세서리,LED투명키캡키링,PRD_000203,4구,,12000.0,,,,,,,,,,,,
굿즈파우치,기념품/액세서리,미니CD앨범,PRD_000204,CD 커버 세트 (미조립),,,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,패션,양말,PRD_000205,,,3000.0,1.0,10000.0,1.0,굿즈상품 B타입,,,,,,,14660.0,
굿즈파우치,패션,반팔티셔츠,PRD_000206,,,12000.0,1.0,10000.0,1.0,굿즈상품 B타입,화이트 M,,,,,,14661.0,
굿즈파우치,패션,슬로건,PRD_000208,양면 가로형,,12000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,패션,슬로건,PRD_000208,양면 세로형,,12000.0,,,,,,,,,,,,
굿즈파우치,패션,후드티셔츠,PRD_000209,,,35000.0,1.0,10000.0,1.0,굿즈상품 B타입,멜란지 XL,,,,,,14662.0,
굿즈파우치,데스크/사무용품,초슬림마우스패드,PRD_000210,,,5000.0,1.0,10000.0,1.0,굿즈상품 B타입,,,,,,,14622.0,
굿즈파우치,데스크/사무용품,장패드,PRD_000211,,,18000.0,,,,,,,,,,,14770.0,
굿즈파우치,데스크/사무용품,극세사클리너,PRD_000212,,,2500.0,1.0,10000.0,1.0,굿즈상품 B타입,,,,,,,14648.0,
굿즈파우치,데스크/사무용품,틴케이스,PRD_000213,미니틴케이스,,3600.0,1.0,10000.0,1.0,굿즈상품 B타입,,,,,,,14623.0,
굿즈파우치,데스크/사무용품,자석북마크,PRD_000214,2개1팩,,2500.0,1.0,10000.0,1.0,,,,,,,,14620.0,
굿즈파우치,데스크/사무용품,클립보드,PRD_000215,A5용 (164 x 230 mm),,8000.0,1.0,10000.0,1.0,,,,,,,,14617.0,
굿즈파우치,데스크/사무용품,클립보드,PRD_000215,A4용 (230 x 330 mm),,10000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,데스크/사무용품,투명클립보드,PRD_000216,A5용,,9000.0,1.0,10000.0,1.0,,,,,,,,14618.0,
굿즈파우치,데스크/사무용품,투명클립보드,PRD_000216,A4용,,15000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,원형 13x13mm,,9000.0,1.0,10000.0,1.0,구간할인없음,청보라,,,,청보라 5cc,2500.0,14619.0,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,원형 19x19mm,,12000.0,1.0,10000.0,1.0,,빨강,,,,빨강 5cc,2500.0,,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,원형 24x24mm,,13500.0,1.0,10000.0,1.0,,검정,,,,검정 5cc,2500.0,,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,원형 35x35mm,,20500.0,1.0,10000.0,1.0,,파랑,,,,파랑 5cc,2500.0,,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,사각 30x30mm,,19500.0,1.0,10000.0,1.0,,초록,,,,초록 5cc,2500.0,,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,사각 67x32mm,,22500.0,1.0,10000.0,1.0,,핑크,,,,핑크 5cc,2500.0,,
굿즈파우치,데스크/사무용품,만년스탬프,PRD_000217,사각 78x28mm,,23000.0,1.0,10000.0,1.0,,노랑,,,,노랑 5cc,2500.0,,
굿즈파우치,데스크/사무용품,타이벡북커버,PRD_000218,A5,,,,,,,,,,,,,,
굿즈파우치,디지털악세서리,밴드톡,PRD_000219,,,4500.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14666.0,
굿즈파우치,디지털악세서리,폰스트랩,PRD_000220,단면,,4500.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14667.0,
굿즈파우치,디지털악세서리,폰스트랩,PRD_000220,양면,,6000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,말랑(PVC고주파),말랑키링,PRD_000221,원형,,10000.0,1.0,10000.0,1.0,구간할인(말랑상품),,,,,볼체인(선택안함),0.0,22522.0,
굿즈파우치,말랑(PVC고주파),말랑키링,PRD_000221,사각,,10000.0,1.0,10000.0,1.0,,,,,,볼체인(오렌지),1000.0,,
굿즈파우치,말랑(PVC고주파),말랑키링,PRD_000221,꽃,,10000.0,1.0,10000.0,1.0,,,,,,볼체인(핑크),1000.0,,
굿즈파우치,말랑(PVC고주파),말랑키링,PRD_000221,별,,10000.0,1.0,10000.0,1.0,,,,,,볼체인(핫핑크),1000.0,,
굿즈파우치,말랑(PVC고주파),말랑키링,PRD_000221,하트,,10000.0,1.0,10000.0,1.0,,,,,,볼체인(민트그린),1000.0,,
굿즈파우치,말랑(PVC고주파),말랑포카홀더,PRD_000223,,,14000.0,1.0,10000.0,1.0,구간할인(말랑상품),,,,,볼체인(선택안함),0.0,22607.0,
굿즈파우치,말랑(PVC고주파),말랑네임택,PRD_000224,,,12000.0,1.0,10000.0,1.0,구간할인(말랑상품),,,,,,,22614.0,
굿즈파우치,말랑(PVC고주파),말랑여권케이스,PRD_000225,,,14500.0,1.0,10000.0,1.0,구간할인(말랑상품),,,,,,,22621.0,
굿즈파우치,말랑(PVC고주파),아크릴쉐이커코롯토,PRD_000226,양면인쇄,,9000.0,1.0,10000.0,1.0,,핑크글리터,,,,아크릴스탠드(선택안함),0.0,,
굿즈파우치,말랑(PVC고주파),아크릴쉐이커코롯토,PRD_000226,전면만 인쇄,,7500.0,,,,,화이트글리터,,,,아크릴스탠드,1400.0,,
굿즈파우치,말랑(PVC고주파),아크릴쉐이커코롯토,PRD_000226,배면만 인쇄,,7500.0,,,,,블루글리터,,,,,,,
굿즈파우치,말랑(PVC고주파),미니우치와키링,PRD_000227,양면,,4500.0,1.0,10000.0,1.0,,반투명,,에폭시,0.0,,,,
굿즈파우치,말랑(PVC고주파),하트 이미지피켓,PRD_000228,양면유광,,8500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,말랑(PVC고주파),이미지피켓,PRD_000229,양면유광 M,,12000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,말랑(PVC고주파),이미지피켓,PRD_000229,양면유광 L,,15000.0,,,,,,,,,,,,
굿즈파우치,레더파우치,레더 플랫 파우치,PRD_000230,M,,8600.0,1.0,10000.0,1.0,구간할인(파우치/에코백),,,,,,,14671.0,
굿즈파우치,레더파우치,레더 플랫 파우치,PRD_000230,L,,9800.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,레더파우치,레더 슬림 파우치,PRD_000231,M,,8600.0,1.0,10000.0,1.0,,,,,,,,14672.0,
굿즈파우치,레더파우치,레더 슬림 파우치,PRD_000231,L,,10200.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,레더파우치,레더 삼각 파우치,PRD_000232,M,,11000.0,1.0,10000.0,1.0,,,,,,,,14673.0,
굿즈파우치,레더파우치,레더 삼각 파우치,PRD_000232,L,,12500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,레더파우치,레더 볼륨 파우치,PRD_000233,정사각M,,10800.0,1.0,10000.0,1.0,,,,,,,,14674.0,
굿즈파우치,레더파우치,레더 볼륨 파우치,PRD_000233,직사각M,,11500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,레더파우치,레더 스트링 파우치,PRD_000234,M,,15000.0,1.0,10000.0,1.0,,,,,,,,14675.0,
굿즈파우치,레더파우치,레더 스트링 원형파우치,PRD_000235,,,16500.0,1.0,10000.0,1.0,,,,,,,,14676.0,
굿즈파우치,레더파우치,레더 플랫 클러치,PRD_000236,,,18000.0,1.0,10000.0,1.0,,,,,,,,14677.0,
굿즈파우치,레더파우치,레더 삼각 클러치,PRD_000237,,,20000.0,1.0,10000.0,1.0,,,,,,,,14678.0,
굿즈파우치,레더파우치,레더 아이패드/노트북 파우치,PRD_000238,11인치,,35000.0,1.0,10000.0,1.0,,,,,,,,14679.0,
굿즈파우치,레더파우치,레더 아이패드/노트북 파우치,PRD_000238,13인치,,48000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,레더파우치,레더 아이패드/노트북 파우치,PRD_000238,15인치,,58000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,패브릭파우치,캔버스 플랫 파우치,PRD_000239,M,,8800.0,1.0,10000.0,1.0,,,,라벨없음,0.0,,,14786.0,
굿즈파우치,패브릭파우치,캔버스 플랫 파우치,PRD_000239,L,,9800.0,1.0,10000.0,1.0,,,,라벨부착,300.0,,,,
굿즈파우치,패브릭파우치,캔버스 삼각 파우치,PRD_000240,M,,9800.0,1.0,10000.0,1.0,,,,라벨없음,0.0,,,14788.0,
굿즈파우치,패브릭파우치,캔버스 삼각 파우치,PRD_000240,L,,11500.0,1.0,10000.0,1.0,,,,라벨부착,300.0,,,,
굿즈파우치,패브릭파우치,캔버스 스트랩 라벨파우치,PRD_000241,70*100,,8500.0,1.0,10000.0,1.0,,블랙,,,,,,14680.0,
굿즈파우치,패브릭파우치,광목 스트링 라벨파우치,PRD_000242,100*70,,7000.0,1.0,10000.0,1.0,,,,,,,,14689.0,
굿즈파우치,패브릭파우치,광목 스트링 라벨파우치,PRD_000242,100*40,,7000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,패브릭파우치,린넨 스트링 파우치,PRD_000243,S,,8500.0,1.0,10000.0,1.0,,,,,,,,14686.0,
굿즈파우치,패브릭파우치,린넨 스트링 파우치,PRD_000243,M,,10000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,패브릭파우치,린넨 스트링 파우치,PRD_000243,L,,11000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 플랫 파우치,PRD_000244,M,,8600.0,1.0,10000.0,1.0,,,,,,,,14681.0,
굿즈파우치,타이벡파우치,타이벡 플랫 파우치,PRD_000244,L,,9800.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 플랫 파우치,PRD_000244,XL,,13500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 슬림 파우치,PRD_000245,M,,6800.0,1.0,10000.0,1.0,,,,,,,,14682.0,
굿즈파우치,타이벡파우치,타이벡 슬림 파우치,PRD_000245,L,,8000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 삼각 파우치,PRD_000246,M,,7000.0,1.0,10000.0,1.0,,,,,,,,14683.0,
굿즈파우치,타이벡파우치,타이벡 삼각 파우치,PRD_000246,L,,8000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 스트링 파우치,PRD_000247,M,,10000.0,1.0,10000.0,1.0,,,,,,,,14684.0,
굿즈파우치,타이벡파우치,타이벡 스트링 파우치,PRD_000247,L,,12000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 스트링 파우치,PRD_000247,XL,,15000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡파우치,타이벡 플랫 클러치,PRD_000248,,,12500.0,1.0,10000.0,1.0,,,,,,,,14685.0,
굿즈파우치,메쉬파우치,메쉬슬림파우치,PRD_000249,M,,8600.0,1.0,10000.0,1.0,,,,,,,,14687.0,
굿즈파우치,메쉬파우치,메쉬슬림파우치,PRD_000249,L,,10000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,메쉬파우치,메쉬볼륨파우치,PRD_000250,직사각L,,15000.0,1.0,10000.0,1.0,,,,,,,,14688.0,
굿즈파우치,미니파우치,레더 플랫 미니파우치,PRD_000251,,,6500.0,1.0,10000.0,1.0,,,,,,,,14690.0,
굿즈파우치,미니파우치,레더 슬림 미니파우치,PRD_000252,직사각,,6000.0,1.0,10000.0,1.0,,,,,,,,14691.0,
굿즈파우치,미니파우치,레더 슬림 미니파우치,PRD_000252,정사각,,6500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,미니파우치,레더 삼각 미니파우치,PRD_000253,,,7200.0,1.0,10000.0,1.0,,,,,,,,14692.0,
굿즈파우치,미니파우치,레더 볼륨 미니파우치,PRD_000254,정사각,,7500.0,1.0,10000.0,1.0,,,,,,,,14693.0,
굿즈파우치,미니파우치,레더 볼륨 미니파우치,PRD_000254,직사각,,8000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,미니파우치,레더 원형 미니파우치,PRD_000255,마카롱,,10000.0,1.0,10000.0,1.0,,,,,,,,14694.0,
굿즈파우치,필통,레더 플랫 필통,PRD_000256,,,7500.0,1.0,10000.0,1.0,,,,,,,,14695.0,
굿즈파우치,필통,레더 슬림 필통,PRD_000257,,,8500.0,1.0,10000.0,1.0,,,,,,,,14696.0,
굿즈파우치,필통,레더 삼각 필통,PRD_000258,,,8500.0,1.0,10000.0,1.0,,,,,,,,14697.0,
굿즈파우치,필통,레더 볼륨 필통,PRD_000259,,,9500.0,1.0,10000.0,1.0,,,,,,,,14698.0,
굿즈파우치,필통,레더 원형 필통,PRD_000260,,,10500.0,1.0,10000.0,1.0,,,,,,,,14699.0,
굿즈파우치,필통,캔버스 플랫 필통,PRD_000261,,,7500.0,1.0,10000.0,1.0,,,,라벨없음,0.0,,,14790.0,
굿즈파우치,필통,캔버스 삼각 필통,PRD_000262,,,9000.0,1.0,10000.0,1.0,,,,라벨없음,0.0,,,14792.0,
굿즈파우치,레더에코백,레더토트백,PRD_000263,,,31000.0,1.0,10000.0,1.0,,,,,,,,14703.0,
굿즈파우치,레더에코백,레더숄더백,PRD_000264,세로형,,58000.0,1.0,10000.0,1.0,,,,,,,,14704.0,
굿즈파우치,패브릭에코백,린넨 미니에코백,PRD_000265,,,16500.0,1.0,10000.0,1.0,,,,,,,,14700.0,
굿즈파우치,패브릭에코백,린넨 토트백,PRD_000266,,,24000.0,1.0,10000.0,1.0,,,,,,,,14702.0,
굿즈파우치,패브릭에코백,린넨 에코백,PRD_000267,세로형,,28000.0,1.0,10000.0,1.0,,,,,,,,14701.0,
굿즈파우치,패브릭에코백,린넨 에코백,PRD_000267,가로형,,28000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,패브릭에코백,캔버스심플백,PRD_000268,세로M,,17600.0,1.0,10000.0,1.0,,,,라벨없음,0.0,,,14843.0,
굿즈파우치,패브릭에코백,캔버스 포켓심플백,PRD_000269,블랙M,,16500.0,1.0,10000.0,1.0,,,,,,,,14844.0,
굿즈파우치,패브릭에코백,캔버스에코백,PRD_000270,가로L,,35200.0,1.0,10000.0,1.0,,,,라벨없음,0.0,,,14706.0,
굿즈파우치,패브릭에코백,캔버스숄더백,PRD_000271,세로형,,59500.0,1.0,10000.0,1.0,,,,,,,,14849.0,
굿즈파우치,패브릭에코백,캔버스 포켓숄더백,PRD_000272,,,58000.0,1.0,10000.0,1.0,,,,,,,,14845.0,
굿즈파우치,타이벡에코백,타이벡 양면 백팩,PRD_000273,M,,17500.0,1.0,10000.0,1.0,,,,,,,,14712.0,
굿즈파우치,타이벡에코백,타이벡 양면 백팩,PRD_000273,L,,22000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡에코백,타이벡보냉보틀백,PRD_000274,M,,19500.0,1.0,10000.0,1.0,,,,,,,,14711.0,
굿즈파우치,타이벡에코백,타이벡보냉보틀백,PRD_000274,L,,21000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,타이벡에코백,타이벡 보냉 미니백,PRD_000275,,,25000.0,1.0,10000.0,1.0,,,,,,,,14710.0,
굿즈파우치,타이벡에코백,타이벡 에코백,PRD_000276,세로형,,22500.0,1.0,10000.0,1.0,,,,,,,,14708.0,
굿즈파우치,타이벡에코백,타이벡 보냉에코백,PRD_000277,세로형,,28000.0,1.0,10000.0,1.0,,,,,,,,14709.0,
굿즈파우치,메쉬에코백,메쉬 토트백,PRD_000278,가로형,,20500.0,1.0,10000.0,1.0,,,,,,,,14714.0,
굿즈파우치,메쉬에코백,메쉬 에코백,PRD_000279,가로형,,25500.0,1.0,10000.0,1.0,,,,,,,,14713.0,
굿즈파우치,에코백부자재,레더라벨제작,PRD_000280,레더 15x30mm,,200.0,10.0,10000.0,10.0,구간할인없음,,,,,,,14715.0,
굿즈파우치,에코백부자재,레더라벨제작,PRD_000280,레더 20x40mm,,240.0,10.0,10000.0,10.0,,,,,,,,,
굿즈파우치,에코백부자재,레더라벨제작,PRD_000280,레더 30x50mm,,290.0,10.0,10000.0,10.0,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S20),,11000.0,,,,원가 6600원,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시(S20플러스),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S20울트라),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S20FE),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S21),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S21플러스),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S21울트라),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S22),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S22플러스),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S22울트라),,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S23)★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S23플러스)★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S23울트라)★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S24)★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S24플러스)★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시S24울트라)★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시Z플립1/2),,13500.0,,,,옵션추가가격(1650원),,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시Z플립3),,13500.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시Z플립4),,13500.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시Z플립5),,13500.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,삼성(갤럭시Z폴드3)★,,20000.0,,,,옵션추가가격(5500원),,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰11,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰11프로,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰11프로맥스,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰12미니,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰12프로,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰12프로맥스,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰13,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰13미니,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰13프로,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰13프로맥스,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰14★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰14미니★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰14프로★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰14프로맥스★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰15★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰15프로★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰15프로맥스★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,슬림하드 폰케이스,,아이폰15플러스★,,11000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S21),,13000.0,,,,7700.0,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S21플러스),,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S21울트라),,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S22),,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S22플러스),,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S22울트라),,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S23)★,,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S23플러스)★,,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S23울트라)★,,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S24)★,,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S24플러스)★,,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,삼성(갤럭시S24울트라)★,,13000.0,,,,,,,,,,,,
굿즈파우치,폰케이스,블랙젤리,,아이폰11,,13000.0,,,,,,,,,,,,
