sheet,구분,상품명,prd_cd,사이즈옵션,재단사이즈,가격,수량min,수량max,수량incr,구간할인테이블,선택옵션,선택가격,가공,가공가격,추가상품,추가가격,ID,MES
굿즈파우치,소품,틴거울,PRD_000183,무광 75mm,,3000.0,1.0,10000.0,1.0,굿즈상품 B타입,,,,,,,14637.0,
굿즈파우치,소품,컴팩트거울,PRD_000184,무광 75mm,,3600.0,1.0,10000.0,1.0,굿즈상품 B타입,,,,,,,14638.0,
굿즈파우치,소품,카드거울,PRD_000185,,,2500.0,3.0,10000.0,3.0,굿즈상품 B타입,,,,,,,14639.0,
굿즈파우치,소품,사각손거울,PRD_000186,S (75x130 mm),,5000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14640.0,
굿즈파우치,소품,사각손거울,PRD_000186,M (95x166 mm),,5500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,소품,사각손거울,PRD_000186,L (120x218 mm),,6000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,소품,블랙사각손거울,PRD_000187,S (75x130 mm),,6000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14641.0,
굿즈파우치,소품,블랙사각손거울,PRD_000187,M (95x166 mm),,7500.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,소품,블랙사각손거울,PRD_000187,L (120x218 mm),,9000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,라이프,레더코스터,PRD_000188,원형 90mm,,3300.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14643.0,
굿즈파우치,라이프,레더코스터,PRD_000188,사각 90mm,,3300.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,라이프,코르크코스터,PRD_000189,원형 90mm,,3000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14644.0,
굿즈파우치,라이프,우드코스터,PRD_000190,원형 90mm,,7000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14645.0,
굿즈파우치,라이프,우드코스터,PRD_000190,사각 90mm,,7000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,라이프,린넨패브릭코스터,PRD_000191,사각 110mm,,4500.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14774.0,
굿즈파우치,라이프,규조토코스터,PRD_000192,원형 102mm,,5000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14646.0,
굿즈파우치,라이프,규조토코스터,PRD_000192,사각 100mm,,5000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,라이프,머그컵,PRD_000193,11온스,,6500.0,1.0,10000.0,1.0,굿즈상품 B타입,화이트,,,,,,14642.0,
굿즈파우치,라이프,머그컵,PRD_000193,,,7500.0,,,,,반투명,,,,,,,
굿즈파우치,라이프,머그컵,PRD_000193,,,7500.0,,,,,투명,,,,,,,
굿즈파우치,라이프,워터북보틀,PRD_000194,350ml,,9000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14647.0,
굿즈파우치,라이프,워터북보틀,PRD_000194,500ml,,9300.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,라이프,벨벳쿠션,PRD_000195,단면,,15000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14649.0,
굿즈파우치,라이프,벨벳쿠션,PRD_000195,양면,,16000.0,1.0,10000.0,1.0,,,,,,,,,
굿즈파우치,여행/아웃도어,레더여권케이스,PRD_000196,,,5000.0,1.0,10000.0,1.0,굿즈상품 A타입,,,,,,,14651.0,
굿즈파우치,여행/아웃도어,미니매트,PRD_000197,45 x 45 cm,,16000.0,1.0,10000.0,1.0,굿즈상품 A타입,화이트,,,,,,14653.0,
굿즈파우치,여행/아웃도어,피크닉매트,PRD_000198,100x70cm(1인용),,40000.0,1.0,10000.0,1.0,굿즈상품 A타입,화이트,,,,,,14654.0,
굿즈파우치,여행/아웃도어,피크닉매트,PRD_000198,100x150cm(2인용),,60000.0,1.0,10000.0,1.0,,,,,,,,,
