bucket,prd_cd,nm,typ,status,frm,final,excl,excl_comps
A_정상,PRD_000016,프리미엄엽서,완제품,OK,PRF_DGP_A,6071,0,
A_정상,PRD_000017,코팅엽서,완제품,OK,PRF_DGP_A,4078,0,
A_정상,PRD_000018,스탠다드엽서,완제품,OK,PRF_DGP_A,4071,0,
A_정상,PRD_000019,투명엽서,완제품,OK,PRF_DGP_A,8100,0,
A_정상,PRD_000020,화이트인쇄엽서,완제품,OK,PRF_DGP_A,1243,9,COMP_PRINT_DIGITAL_S1:?|COMP_PRINT_SPOT_WHITE_S1:?|COMP_PP_CORNER_RIGHT:?|COMP_PP_CREASE_1L:?|COMP_PP_PERF_1L:?|COMP_PP_VARTEXT_1EA:?|COMP_PP_VARIMG_1EA:?|COMP_COAT_MATTE:?|COMP_COAT_GLOSSY:?
A_정상,PRD_000024,포토카드,완제품,OK,PRF_PHOTOCARD_NORMAL,6000,1,COMP_PHOTOCARD_BULK:?
A_정상,PRD_000025,투명포토카드,완제품,OK,PRF_PHOTOCARD_CLEAR,8500,0,
A_정상,PRD_000026,종이슬로건,완제품,OK,PRF_DGP_A,4093,0,
A_정상,PRD_000027,2단접지카드,완제품,OK,PRF_DGP_E_FOIL,9341,0,
A_정상,PRD_000029,3단접지카드,완제품,OK,PRF_DGP_E_FOIL,13112,0,
A_정상,PRD_000030,지그재그엽서,완제품,OK,PRF_DGP_C_6CR,18348,0,
A_정상,PRD_000031,프리미엄명함,완제품,OK,PRF_NAMECARD_PREMIUM_FOIL,4500,6,COMP_FOIL_SETUP_SMALL:?|COMP_FOIL_PROC_SMALL_STD:?|COMP_FOIL_PROC_SMALL_SPECIAL:?|COMP_PP_VARTEXT_1EA:?|COMP_PP_VARIMG_1EA:?|COMP_PP_CORNER_RIGHT:?
A_정상,PRD_000032,코팅명함,완제품,OK,PRF_NAMECARD_COAT,5500,0,
A_정상,PRD_000033,스탠다드명함,완제품,OK,PRF_NAMECARD_FIXED,3500,0,
A_정상,PRD_000034,펄명함,완제품,OK,PRF_NAMECARD_PEARL_FOIL,9000,3,COMP_FOIL_SETUP_SMALL:?|COMP_FOIL_PROC_SMALL_STD:?|COMP_FOIL_PROC_SMALL_SPECIAL:?
A_정상,PRD_000036,미니모양명함,완제품,OK,PRF_NAMECARD_MINISHAPE,16000,0,
A_정상,PRD_000037,오리지널박명함,완제품,OK,PRF_NAMECARD_FOIL,24200,1,COMP_NAMECARD_FOIL_SETUP_S2_STD:?
A_정상,PRD_000039,투명명함,완제품,OK,PRF_NAMECARD_CLEAR,13500,0,
A_정상,PRD_000041,스탠다드 쿠폰/상품권,완제품,OK,PRF_DGP_A,4031,0,
A_정상,PRD_000042,프리미엄 쿠폰/상품권,완제품,OK,PRF_DGP_A_FOIL,4113,0,
A_정상,PRD_000043,인쇄배경지(OPP봉투타입),완제품,OK,PRF_DGP_C,17756,0,
