prd_cd,nm,frm,dim,uncovered_v,value_label,reason
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000347,아코팩 웜화이트 250g (MAT_000347),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000348,리사이클러스 240g (MAT_000348),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000349,매쉬멜로우 233g (MAT_000349),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000350,린넨커버 216g (MAT_000350),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000351,스타화이트(하이테크) 238g (MAT_000351),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000353,클래식 크래스트 스티플 270g (MAT_000353),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000356,한지 170g (MAT_000356),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000031,프리미엄명함,PRF_NAMECARD_PREMIUM_FOIL,mat_cd,MAT_000357,스코트랜드 220g (MAT_000357),COMP_NAMECARD_PREMIUM:no_match|COMP_FOIL_SETUP_SMALL:no_match|COMP_FOIL_PROC_SMALL_STD:no_match|COMP_FOIL_PROC_SMALL_SPECIAL:no_match|COMP_PP_VARTEXT_1EA:no_match|COMP_PP_VARIMG_1EA:no_match|COMP_PP_CORNER_RIGHT:no_match
PRD_000062,반칼팬시스티커,PRF_STK_FIXED,siz_cd,SIZ_000058,100x140mm (SIZ_000058),COMP_STK_PRINT:no_match
PRD_000129,폼보드,PRF_POSTER_FOAMBOARD,siz_cd,SIZ_000315,A3 (297x420mm) (SIZ_000315),COMP_POSTER_FOAMBOARD_BOARD:no_match
PRD_000129,폼보드,PRF_POSTER_FOAMBOARD,mat_cd,MAT_000398,A3 폼보드(화이트) 5mm (MAT_000398),COMP_POSTER_FOAMBOARD_BOARD:no_match
PRD_000129,폼보드,PRF_POSTER_FOAMBOARD,mat_cd,MAT_000399,A3 폼보드(블랙) 5mm (MAT_000399),COMP_POSTER_FOAMBOARD_BOARD:no_match
PRD_000130,포맥스보드,PRF_POSTER_FOMEXBOARD,siz_cd,SIZ_000197,A2(420x594mm) (SIZ_000197),COMP_POSTER_FOMEXBOARD_BOARD:no_match
PRD_000130,포맥스보드,PRF_POSTER_FOMEXBOARD,mat_cd,MAT_000554,포맥스(화이트) 3mm A2 (MAT_000554),COMP_POSTER_FOMEXBOARD_BOARD:no_match
PRD_000130,포맥스보드,PRF_POSTER_FOMEXBOARD,mat_cd,MAT_000555,포맥스(화이트) 5mm A2 (MAT_000555),COMP_POSTER_FOMEXBOARD_BOARD:no_match
PRD_000220,폰스트랩,PRF_GOODS_FIXED_SIZ,siz_cd,SIZ_000428,17x320mm (SIZ_000428),COMP_GOODS_FIXED_SIZ:no_match
