sql_file,sql_table,natural_key,source_csv,source_ref
01_t_prc_price_formulas.sql,t_prc_price_formulas,PRF_BANNER_NORMAL,t_prc_price_formulas.csv,PRF_BANNER_NORMAL
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_FIN_HEATCUT,t_prc_price_components.csv,COMP_BANNER_FIN_HEATCUT
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_FIN_EYELET4,t_prc_price_components.csv,COMP_BANNER_FIN_EYELET4
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_FIN_EYELET6,t_prc_price_components.csv,COMP_BANNER_FIN_EYELET6
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_FIN_EYELET8,t_prc_price_components.csv,COMP_BANNER_FIN_EYELET8
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_FIN_DTAPE,t_prc_price_components.csv,COMP_BANNER_FIN_DTAPE
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_FIN_SEW,t_prc_price_components.csv,COMP_BANNER_FIN_SEW
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_ADD_QBANG4,t_prc_price_components.csv,COMP_BANNER_ADD_QBANG4
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_ADD_STRING4,t_prc_price_components.csv,COMP_BANNER_ADD_STRING4
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_ADD_LUMBER_LE900,t_prc_price_components.csv,COMP_BANNER_ADD_LUMBER_LE900
02_t_prc_price_components.sql,t_prc_price_components,COMP_BANNER_ADD_LUMBER_GT900,t_prc_price_components.csv,COMP_BANNER_ADD_LUMBER_GT900
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_POSTER_BANNER_NORMAL,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_POSTER_BANNER_NORMAL
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_FIN_HEATCUT,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_FIN_HEATCUT
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_FIN_EYELET4,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_FIN_EYELET4
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_FIN_EYELET6,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_FIN_EYELET6
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_FIN_EYELET8,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_FIN_EYELET8
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_FIN_DTAPE,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_FIN_DTAPE
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_FIN_SEW,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_FIN_SEW
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_ADD_QBANG4,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_ADD_QBANG4
03_t_prc_formula_components.sql,t_prc_formula_components,PRF_BANNER_NORMAL|COMP_BANNER_ADD_STRING4,t_prc_formula_components.csv,PRF_BANNER_NORMAL/COMP_BANNER_ADD_STRING4
