prd_cd,frm_cd,comp_cd,comp_nm,price_rows,kind,conf
PRD_000021,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,530,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,18,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,30,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,30,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,69,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,69,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000022,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000024,PRF_PHOTOCARD_NORMAL,COMP_PHOTOCARD_BULK,포토카드 완제품가 대량,50,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,530,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,18,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,30,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,30,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,69,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,69,OPT_NOTSEL,REVIEW
PRD_000026,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,138,PROC_ZERO,HIGH
PRD_000026,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,138,PROC_ZERO,HIGH
PRD_000027,PRF_DGP_E,COMP_COAT_GLOSSY,유광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000027,PRF_DGP_E,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
