COMP_PCB_S1_20P	["siz_cd", "min_qty", "print_opt_cd"]
COMP_PCB_S1_30P	["siz_cd", "min_qty"]
COMP_PCB_S2_20P	["siz_cd", "min_qty", "print_opt_cd"]
COMP_PCB_S2_30P	["siz_cd", "min_qty"]
