# foamboard/fomex 관련 라이브 현재상태 스냅샷 (읽기전용·2026-07-01 22:xx) — undo 참조용
## t_prc_formula_components (frm_cd,comp_cd,disp_seq,addtn_yn)
PRF_POSTER_FOAMBOARD,COMP_POSTER_FOAMBOARD_WHITE,1,Y
PRF_POSTER_FOMEXBOARD,COMP_POSTER_FOMEXBOARD_WHITE3MM,1,Y
## t_prd_product_sizes (prd_cd,siz_cd,dflt_yn,del_yn,upd_dt)
PRD_000129,SIZ_000174,Y,Y,2026-07-01 18:48:02.202942
PRD_000129,SIZ_000197,Y,Y,2026-07-01 18:48:15.691888
PRD_000129,SIZ_000198,Y,N,
PRD_000129,SIZ_000315,Y,N,2026-07-01 18:48:15.691888
PRD_000130,SIZ_000174,Y,N,
PRD_000130,SIZ_000197,Y,N,
## t_prc_component_prices (comp_cd,siz_cd,unit_price,note)
COMP_POSTER_FOAMBOARD_BLACK,SIZ_000315,8500.00,폼보드/블랙보드/A3 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOAMBOARD_BLACK,SIZ_000317,14000.00,폼보드/블랙보드/A2 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOAMBOARD_WHITE,SIZ_000174,6000.00,폼보드/화이트보드/A3 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOAMBOARD_WHITE,SIZ_000197,12000.00,폼보드/화이트보드/A2 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOAMBOARD_WHITE,SIZ_000293,20000.00,폼보드/화이트보드/A1 (594x841) 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOMEXBOARD_WHITE3MM,SIZ_000174,8500.00,포맥스보드/화이트포맥스(3mm)/A3 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOMEXBOARD_WHITE3MM,SIZ_000197,13000.00,포맥스보드/화이트포맥스(3mm)/A2 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOMEXBOARD_WHITE5MM,SIZ_000315,10000.00,포맥스보드/화이트포맥스(5mm)/A3 완제품가[출력+코팅+가공 포함가]
COMP_POSTER_FOMEXBOARD_WHITE5MM,SIZ_000317,16000.00,포맥스보드/화이트포맥스(5mm)/A2 완제품가[출력+코팅+가공 포함가]
## t_prd_product_option_items (prd_cd,opt_cd,item_seq,ref_dim_cd,ref_key1,use_yn) — 진행중 보드칼라 모델
PRD_000129,OPV-000090,1,OPT_REF_DIM.04,PROC_000116,Y
PRD_000129,OPV-000092,1,OPT_REF_DIM.03,MAT_000398,Y
PRD_000129,OPV-000092,2,OPT_REF_DIM.04,PROC_000135,Y
PRD_000129,OPV-000093,1,OPT_REF_DIM.03,MAT_000399,Y
PRD_000129,OPV-000093,2,OPT_REF_DIM.04,PROC_000135,Y
