sql_stmt_seq,target_table,conflict_key,source_csv_row
1,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row2
2,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row3
3,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row4
4,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row5
5,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row6
6,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row7
7,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row8
8,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row9
9,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row10
10,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row11
11,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row12
12,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row13
13,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row14
14,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row15
15,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row16
16,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row17
17,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row18
18,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row19
19,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row20
20,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row21
21,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row22
22,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row23
23,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row24
24,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row25
25,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row26
26,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row27
27,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row28
28,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row29
29,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row30
30,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row31
31,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row32
32,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row33
33,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row34
34,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row35
35,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row36
36,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row37
37,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row38
38,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row39
39,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row40
40,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row41
41,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row42
42,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row43
43,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row44
44,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row45
45,t_prd_product_price_formulas,"(prd_cd, frm_cd)",05_prd_product_price_formulas.csv:row46
