sql_stmt_seq,target_table,conflict_key,source_csv_row
1,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row2
2,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row3
3,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row4
4,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row5
5,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row6
6,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row7
7,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row8
8,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row9
9,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row10
10,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row11
11,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row12
12,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row13
13,t_prc_formula_components,"(frm_cd, comp_cd)",03_prc_formula_components.csv:row14
