sql_stmt_seq,target_table,conflict_key,source_csv_row
1,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row2
2,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row3
3,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row4
4,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row5
5,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row6
6,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row7
7,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row8
8,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row9
9,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row10
10,t_prc_price_formulas,(frm_cd),01_prc_price_formulas.csv:row11
