prd_cd,prd_nm,proc_cd,proc_nm
PRD_000016,프리미엄엽서,PROC_000027,직각
PRD_000016,프리미엄엽서,PROC_000028,둥근
PRD_000017,코팅엽서,PROC_000015,무광
PRD_000017,코팅엽서,PROC_000027,직각
PRD_000017,코팅엽서,PROC_000028,둥근
PRD_000017,코팅엽서,PROC_000014,유광
PRD_000018,스탠다드엽서,PROC_000027,직각
PRD_000018,스탠다드엽서,PROC_000028,둥근
PRD_000019,투명엽서,PROC_000027,직각
PRD_000019,투명엽서,PROC_000028,둥근
PRD_000024,포토카드,PROC_000015,무광
PRD_000024,포토카드,PROC_000027,직각
PRD_000024,포토카드,PROC_000014,유광
PRD_000024,포토카드,PROC_000028,둥근
PRD_000025,투명포토카드,PROC_000027,직각
PRD_000025,투명포토카드,PROC_000028,둥근
PRD_000026,종이슬로건,PROC_000015,무광
PRD_000026,종이슬로건,PROC_000014,유광
PRD_000027,2단접지카드,PROC_000038,금유광
PRD_000027,2단접지카드,PROC_000039,은유광
PRD_000027,2단접지카드,PROC_000041,동박
PRD_000027,2단접지카드,PROC_000040,먹유광
PRD_000027,2단접지카드,PROC_000043,청박
PRD_000027,2단접지카드,PROC_000042,적박
PRD_000027,2단접지카드,PROC_000037,홀로그램
PRD_000027,2단접지카드,PROC_000044,트윙클
PRD_000029,3단접지카드,PROC_000038,금유광
PRD_000029,3단접지카드,PROC_000039,은유광
PRD_000029,3단접지카드,PROC_000041,동박
PRD_000029,3단접지카드,PROC_000040,먹유광
PRD_000029,3단접지카드,PROC_000043,청박
PRD_000029,3단접지카드,PROC_000042,적박
PRD_000029,3단접지카드,PROC_000037,홀로그램
PRD_000029,3단접지카드,PROC_000044,트윙클
PRD_000030,지그재그엽서,PROC_000073,6단오시접지
PRD_000030,지그재그엽서,PROC_000074,6단미싱접지
PRD_000031,프리미엄명함,PROC_000027,직각
PRD_000031,프리미엄명함,PROC_000038,금유광
PRD_000031,프리미엄명함,PROC_000028,둥근
PRD_000031,프리미엄명함,PROC_000039,은유광
PRD_000031,프리미엄명함,PROC_000041,동박
PRD_000031,프리미엄명함,PROC_000040,먹유광
PRD_000031,프리미엄명함,PROC_000043,청박
PRD_000031,프리미엄명함,PROC_000042,적박
PRD_000031,프리미엄명함,PROC_000037,홀로그램
PRD_000031,프리미엄명함,PROC_000044,트윙클
PRD_000032,코팅명함,PROC_000015,무광
PRD_000032,코팅명함,PROC_000027,직각
PRD_000032,코팅명함,PROC_000028,둥근
PRD_000032,코팅명함,PROC_000014,유광
PRD_000033,스탠다드명함,PROC_000027,직각
PRD_000033,스탠다드명함,PROC_000028,둥근
PRD_000034,펄명함,PROC_000027,직각
PRD_000034,펄명함,PROC_000038,금유광
PRD_000034,펄명함,PROC_000028,둥근
PRD_000034,펄명함,PROC_000039,은유광
PRD_000034,펄명함,PROC_000041,동박
PRD_000034,펄명함,PROC_000040,먹유광
PRD_000034,펄명함,PROC_000043,청박
PRD_000034,펄명함,PROC_000042,적박
PRD_000034,펄명함,PROC_000037,홀로그램
PRD_000034,펄명함,PROC_000044,트윙클
PRD_000037,오리지널박명함,PROC_000038,금유광
PRD_000037,오리지널박명함,PROC_000039,은유광
PRD_000037,오리지널박명함,PROC_000040,먹유광
PRD_000037,오리지널박명함,PROC_000043,청박
PRD_000037,오리지널박명함,PROC_000042,적박
PRD_000037,오리지널박명함,PROC_000041,동박
PRD_000037,오리지널박명함,PROC_000037,홀로그램
PRD_000037,오리지널박명함,PROC_000044,트윙클
PRD_000038,형압명함,PROC_000027,직각
PRD_000038,형압명함,PROC_000028,둥근
PRD_000039,투명명함,PROC_000027,직각
PRD_000039,투명명함,PROC_000028,둥근
PRD_000040,화이트인쇄명함,PROC_000027,직각
PRD_000040,화이트인쇄명함,PROC_000028,둥근
PRD_000042,프리미엄 쿠폰/상품권,PROC_000038,금유광
PRD_000042,프리미엄 쿠폰/상품권,PROC_000039,은유광
PRD_000042,프리미엄 쿠폰/상품권,PROC_000040,먹유광
PRD_000042,프리미엄 쿠폰/상품권,PROC_000043,청박
PRD_000042,프리미엄 쿠폰/상품권,PROC_000042,적박
PRD_000042,프리미엄 쿠폰/상품권,PROC_000041,동박
PRD_000042,프리미엄 쿠폰/상품권,PROC_000037,홀로그램
PRD_000042,프리미엄 쿠폰/상품권,PROC_000044,트윙클
PRD_000047,소량전단지,PROC_000015,무광
PRD_000047,소량전단지,PROC_000014,유광
PRD_000048,접지리플렛,PROC_000015,무광
PRD_000048,접지리플렛,PROC_000014,유광
PRD_000049,와이드 접지리플렛,PROC_000060,3단접지
PRD_000049,와이드 접지리플렛,PROC_000015,무광
PRD_000049,와이드 접지리플렛,PROC_000071,병풍접지
PRD_000049,와이드 접지리플렛,PROC_000014,유광
PRD_000052,반칼 자유형 스티커,PROC_000054,반칼
PRD_000053,반칼 자유형 투명스티커,PROC_000054,반칼
PRD_000054,반칼 자유형 홀로그램스티커,PROC_000054,반칼
PRD_000055,낱장 자유형 스티커,PROC_000053,완칼
PRD_000056,낱장 자유형 투명스티커,PROC_000053,완칼
PRD_000057,대형 자유형 스티커,PROC_000053,완칼
PRD_000058,반칼원형스티커,PROC_000055,스티커완칼
PRD_000059,반칼정사각스티커,PROC_000055,스티커완칼
PRD_000060,반칼직사각스티커,PROC_000055,스티커완칼
PRD_000061,반칼띠지스티커,PROC_000055,스티커완칼
PRD_000062,반칼팬시스티커,PROC_000055,스티커완칼
PRD_000063,반칼팬시투명스티커,PROC_000055,스티커완칼
PRD_000064,소량자유형스티커,PROC_000054,반칼
