prd_cd,siz_cd,dflt_plt_yn,output_paper_typ_cd,output_file_typ,note,reg_dt,upd_dt
PRD_000016,SIZ_000112,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000113,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000116,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000117,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000112,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000113,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000116,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000117,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000112,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000113,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,PDF(+W),파일사양,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,PDF(+WC),파일사양,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,PDF(+P),파일사양,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,PDF(+GS),파일사양,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000114,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000115,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000118,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000023,SIZ_000113,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000024,SIZ_000120,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000025,SIZ_000120,Y,OUTPUT_PAPER_TYPE.03,PDF(+W),파일사양,2026-06-03 12:46:02.974607,
PRD_000026,SIZ_000121,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000026,SIZ_000122,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000027,SIZ_000023,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000027,SIZ_000024,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000027,SIZ_000123,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000027,SIZ_000125,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000027,SIZ_000128,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000027,SIZ_000130,Y,,,파일사양,2026-06-03 12:46:02.974607,
