prd_cd,siz_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000028,SIZ_000133,Y,1,2026-06-03 12:46:02.974607,
PRD_000028,SIZ_000135,Y,1,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000124,Y,1,2026-06-03 12:46:02.974607,
PRD_000030,SIZ_000031,Y,1,2026-06-03 12:46:02.974607,
PRD_000030,SIZ_000032,Y,1,2026-06-03 12:46:02.974607,
PRD_000031,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000031,SIZ_000009,Y,1,2026-06-03 12:46:02.974607,
PRD_000031,SIZ_000133,Y,1,2026-06-03 12:46:02.974607,
PRD_000032,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000032,SIZ_000133,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,SIZ_000133,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000035,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000036,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000037,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000038,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000039,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000040,SIZ_000008,Y,1,2026-06-03 12:46:02.974607,
PRD_000041,SIZ_000013,Y,1,2026-06-03 12:46:02.974607,
PRD_000041,SIZ_000014,Y,1,2026-06-03 12:46:02.974607,
PRD_000042,SIZ_000013,Y,1,2026-06-03 12:46:02.974607,
PRD_000042,SIZ_000014,Y,1,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000033,Y,1,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000034,Y,1,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000035,Y,1,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000036,Y,1,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000037,Y,1,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000038,Y,1,2026-06-03 12:46:02.974607,
PRD_000044,SIZ_000039,Y,1,2026-06-03 12:46:02.974607,
PRD_000044,SIZ_000041,Y,1,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000043,Y,1,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000044,Y,1,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000045,Y,1,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000046,Y,1,2026-06-03 12:46:02.974607,
PRD_000046,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000046,SIZ_000047,Y,1,2026-06-03 12:46:02.974607,
PRD_000046,SIZ_000048,Y,1,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000176,Y,1,2026-06-03 12:46:02.974607,
PRD_000051,SIZ_000195,Y,1,2026-06-03 12:46:02.974607,
PRD_000052,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000052,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000052,SIZ_000196,Y,1,2026-06-03 12:46:02.974607,
PRD_000053,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000053,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000053,SIZ_000196,Y,1,2026-06-03 12:46:02.974607,
PRD_000054,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000054,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000054,SIZ_000196,Y,1,2026-06-03 12:46:02.974607,
PRD_000055,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000055,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000055,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000056,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000056,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000056,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000057,SIZ_000199,Y,1,2026-06-03 12:46:02.974607,
PRD_000058,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000058,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000059,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000059,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000060,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000060,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000061,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000061,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000062,SIZ_000058,Y,1,2026-06-03 12:46:02.974607,
PRD_000062,SIZ_000059,Y,1,2026-06-03 12:46:02.974607,
PRD_000062,SIZ_000060,Y,1,2026-06-03 12:46:02.974607,
PRD_000063,SIZ_000058,Y,1,2026-06-03 12:46:02.974607,
PRD_000063,SIZ_000059,Y,1,2026-06-03 12:46:02.974607,
PRD_000063,SIZ_000060,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000036,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000043,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000061,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000062,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000063,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000064,Y,1,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000065,Y,1,2026-06-03 12:46:02.974607,
PRD_000065,SIZ_000068,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000212,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000213,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000214,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000215,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000216,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000217,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000218,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000219,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000220,Y,1,2026-06-03 12:46:02.974607,
