table,column,ordinal,type,max_len,numeric_precision,numeric_scale,nullable,default,pk,fk_table,fk_column
t_cat_categories,cat_cd,1,character varying,50,,,NO,,Y,,
t_cat_categories,cat_nm,2,character varying,100,,,NO,,,,
t_cat_categories,upr_cat_cd,3,character varying,50,,,YES,,,t_cat_categories,cat_cd
t_cat_categories,cat_lvl,4,integer,,32,0,NO,,,,
t_cat_categories,disp_seq,5,integer,,32,0,YES,,,,
t_cat_categories,use_yn,6,character,1,,,NO,,,,
t_cat_categories,reg_dt,7,timestamp without time zone,,,,NO,now(),,,
t_cat_categories,upd_dt,8,timestamp without time zone,,,,YES,,,,
t_clr_color_counts,clr_cd,1,character varying,50,,,NO,,Y,,
t_clr_color_counts,clr_nm,2,character varying,100,,,NO,,,,
t_clr_color_counts,chnl_cnt,3,integer,,32,0,NO,,,,
t_clr_color_counts,use_yn,4,character,1,,,NO,,,,
t_clr_color_counts,note,5,character varying,500,,,YES,,,,
t_clr_color_counts,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_clr_color_counts,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_clr_color_counts,del_yn,8,character,1,,,NO,'N'::bpchar,,,
t_clr_color_counts,del_dt,9,timestamp without time zone,,,,YES,,,,
t_cod_base_codes,cod_cd,1,character varying,50,,,NO,,Y,,
t_cod_base_codes,cod_nm,2,character varying,100,,,NO,,,,
t_cod_base_codes,upr_cod_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_cod_base_codes,disp_seq,4,integer,,32,0,YES,,,,
t_cod_base_codes,use_yn,5,character,1,,,NO,,,,
t_cod_base_codes,note,6,character varying,500,,,YES,,,,
t_cod_base_codes,reg_dt,7,timestamp without time zone,,,,NO,now(),,,
t_cod_base_codes,upd_dt,8,timestamp without time zone,,,,YES,,,,
t_cus_customers,cus_cd,1,character varying,50,,,NO,,Y,,
t_cus_customers,cus_nm,2,character varying,100,,,NO,,,,
t_cus_customers,grade_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_cus_customers,reg_ymd,4,character varying,10,,,YES,,,,
t_cus_customers,use_yn,5,character,1,,,NO,,,,
t_cus_customers,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_cus_customers,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_dsc_discount_details,dsc_tbl_cd,1,character varying,50,,,NO,,Y,t_dsc_discount_tables,dsc_tbl_cd
t_dsc_discount_details,apply_ymd,2,character varying,10,,,NO,,Y,,
t_dsc_discount_details,min_qty,3,integer,,32,0,NO,,Y,,
t_dsc_discount_details,max_qty,4,integer,,32,0,YES,,,,
t_dsc_discount_details,dsc_typ_cd,5,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_dsc_discount_details,dsc_rate,6,numeric,,5,2,YES,,,,
t_dsc_discount_details,dsc_amt,7,numeric,,12,2,YES,,,,
t_dsc_discount_details,note,8,character varying,500,,,YES,,,,
t_dsc_discount_details,reg_dt,9,timestamp without time zone,,,,NO,now(),,,
t_dsc_discount_details,upd_dt,10,timestamp without time zone,,,,YES,,,,
t_dsc_discount_tables,dsc_tbl_cd,1,character varying,50,,,NO,,Y,,
t_dsc_discount_tables,dsc_tbl_nm,2,character varying,100,,,NO,,,,
t_dsc_discount_tables,note,3,character varying,500,,,YES,,,,
t_dsc_discount_tables,use_yn,4,character,1,,,NO,,,,
t_dsc_discount_tables,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_dsc_discount_tables,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_dsc_grade_discount_rates,grade_cd,1,character varying,50,,,NO,,Y,t_cod_base_codes,cod_cd
t_dsc_grade_discount_rates,cat_cd,2,character varying,50,,,NO,,Y,t_cat_categories,cat_cd
t_dsc_grade_discount_rates,apply_ymd,3,character varying,10,,,NO,,Y,,
t_dsc_grade_discount_rates,dsc_typ_cd,4,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_dsc_grade_discount_rates,dsc_rate,5,numeric,,5,2,YES,,,,
t_dsc_grade_discount_rates,dsc_amt,6,numeric,,12,2,YES,,,,
t_dsc_grade_discount_rates,note,7,character varying,500,,,YES,,,,
t_dsc_grade_discount_rates,reg_dt,8,timestamp without time zone,,,,NO,now(),,,
t_dsc_grade_discount_rates,upd_dt,9,timestamp without time zone,,,,YES,,,,
t_mat_materials,mat_cd,1,character varying,50,,,NO,,Y,,
t_mat_materials,mat_nm,2,character varying,200,,,NO,,,,
t_mat_materials,mat_typ_cd,3,character varying,50,,,NO,,,t_cod_base_codes,cod_cd
t_mat_materials,upr_mat_cd,4,character varying,50,,,YES,,,t_mat_materials,mat_cd
t_mat_materials,sel_typ_cd,5,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_mat_materials,max_sel_cnt,6,integer,,32,0,YES,,,,
t_mat_materials,width,7,numeric,,8,2,YES,,,,
t_mat_materials,height,8,numeric,,8,2,YES,,,,
t_mat_materials,depth,9,numeric,,8,2,YES,,,,
t_mat_materials,weight,10,numeric,,8,2,YES,,,,
t_mat_materials,bdl_qty,11,integer,,32,0,YES,,,,
t_mat_materials,use_yn,12,character,1,,,NO,,,,
t_mat_materials,note,13,character varying,500,,,YES,,,,
t_mat_materials,reg_dt,14,timestamp without time zone,,,,NO,now(),,,
t_mat_materials,upd_dt,15,timestamp without time zone,,,,YES,,,,
t_mat_materials,del_yn,16,character,1,,,NO,'N'::bpchar,,,
t_mat_materials,del_dt,17,timestamp without time zone,,,,YES,,,,
t_prc_component_prices,comp_price_id,1,bigint,,64,0,NO,,Y,,
t_prc_component_prices,comp_cd,2,character varying,50,,,NO,,,t_prc_price_components,comp_cd
t_prc_component_prices,apply_ymd,3,character varying,10,,,NO,,,,
t_prc_component_prices,siz_cd,4,character varying,50,,,YES,,,t_siz_sizes,siz_cd
t_prc_component_prices,clr_cd,5,character varying,50,,,YES,,,t_clr_color_counts,clr_cd
t_prc_component_prices,mat_cd,6,character varying,50,,,YES,,,t_mat_materials,mat_cd
t_prc_component_prices,coat_side_cnt,7,integer,,32,0,YES,,,,
t_prc_component_prices,bdl_qty,8,integer,,32,0,YES,,,,
t_prc_component_prices,min_qty,9,integer,,32,0,YES,,,,
t_prc_component_prices,unit_price,10,numeric,,12,2,YES,,,,
t_prc_component_prices,note,11,character varying,500,,,YES,,,,
t_prc_component_prices,reg_dt,12,timestamp without time zone,,,,NO,now(),,,
t_prc_component_prices,upd_dt,13,timestamp without time zone,,,,YES,,,,
t_prc_formula_components,frm_cd,1,character varying,50,,,NO,,Y,t_prc_price_formulas,frm_cd
t_prc_formula_components,comp_cd,2,character varying,50,,,NO,,Y,t_prc_price_components,comp_cd
t_prc_formula_components,disp_seq,3,integer,,32,0,YES,,,,
t_prc_formula_components,addtn_yn,4,character,1,,,YES,,,,
t_prc_formula_components,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prc_formula_components,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prc_price_components,comp_cd,1,character varying,50,,,NO,,Y,,
t_prc_price_components,comp_nm,2,character varying,200,,,NO,,,,
t_prc_price_components,comp_typ_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prc_price_components,note,4,character varying,500,,,YES,,,,
t_prc_price_components,use_yn,5,character,1,,,NO,,,,
t_prc_price_components,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prc_price_components,upd_dt,7,timestamp without time zone,,,,YES,,,,
