proc_cd,proc_nm,upr_proc_cd,prcs_dtl_opt,disp_seq,use_yn,note,reg_dt,upd_dt
PROC_000001,인쇄,,,1,Y,Decision 14 v3 — 1상품=1인쇄방식,2026-06-03 12:46:02.974607,
PROC_000002,UV,PROC_000001,"{""inputs"": [{""key"": ""변형"", ""type"": ""enum"", ""values"": [""일반"", ""배면양면"", ""풀빼다"", ""투명테두리"", ""단면""]}]}",1,Y,R4-3 D-25,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000003,옵셋,PROC_000001,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000004,디지털,PROC_000001,,3,Y,토너 (후니 현재 운영),2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000005,실크,PROC_000001,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000006,실사,PROC_000001,,5,Y,D-14 v3 b.9 실사 default,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000007,별색인쇄,,,2,Y,Decision 12 잉크 색상 (선택유형=다중),2026-06-03 12:46:02.974607,
PROC_000008,화이트,PROC_000007,,1,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000009,클리어,PROC_000007,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000010,핑크,PROC_000007,,3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000011,금색,PROC_000007,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000012,은색,PROC_000007,,5,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000013,코팅,,,3,Y,다중 가능,2026-06-03 12:46:02.974607,
PROC_000014,유광,PROC_000013,"{""inputs"": [{""key"": ""면"", ""type"": ""enum"", ""values"": [""단면"", ""양면""]}]}",1,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000015,무광,PROC_000013,"{""inputs"": [{""key"": ""면"", ""type"": ""enum"", ""values"": [""단면"", ""양면""]}]}",2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000016,UV,PROC_000013,"{""inputs"": [{""key"": ""면"", ""type"": ""enum"", ""values"": [""단면"", ""양면""]}]}",3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000017,제본,,"{""inputs"": [{""key"": ""방향"", ""help"": ""좌철/상철"", ""type"": ""string""}, {""key"": ""묶음단위"", ""help"": ""50장1권/100장1권 — 떡제본"", ""type"": ""string""}, {""key"": ""책등"", ""type"": ""number"", ""unit"": ""mm""}, {""key"": ""고리형"", ""help"": ""트윈링 고리 변형"", ""type"": ""boolean"", ""default"": false}]}",4,Y,"필수, 단일",2026-06-03 12:46:02.974607,
PROC_000018,중철제본,PROC_000017,,1,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000019,무선제본,PROC_000017,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000020,PUR제본,PROC_000017,,3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000021,트윈링제본,PROC_000017,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000022,떡제본,PROC_000017,,5,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000023,하드커버무선제본,PROC_000017,,6,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000024,하드커버트윈링제본,PROC_000017,,7,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000025,레이플랫제본,PROC_000017,,8,Y,포토북 전용,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000026,귀돌이,,,5,Y,Corner Rounding,2026-06-03 12:46:02.974607,
PROC_000027,직각,PROC_000026,,1,Y,default 재단,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000028,둥근,PROC_000026,,2,Y,R 라운딩,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000029,오시,,"{""inputs"": [{""key"": ""줄수"", ""max"": 3, ""min"": 0, ""type"": ""integer"", ""unit"": ""줄""}]}",6,Y,Crease 누름선,2026-06-03 12:46:02.974607,
PROC_000030,미싱,,"{""inputs"": [{""key"": ""줄수"", ""max"": 3, ""min"": 0, ""type"": ""integer"", ""unit"": ""줄""}]}",7,Y,Perforation 점선 절취,2026-06-03 12:46:02.974607,
PROC_000031,가변텍스트,,"{""inputs"": [{""key"": ""개수"", ""max"": 3, ""min"": 0, ""type"": ""integer"", ""unit"": ""개""}]}",8,Y,,2026-06-03 12:46:02.974607,
PROC_000032,가변이미지,,"{""inputs"": [{""key"": ""개수"", ""max"": 3, ""min"": 0, ""type"": ""integer"", ""unit"": ""개""}]}",9,Y,,2026-06-03 12:46:02.974607,
PROC_000033,박,,"{""inputs"": [{""key"": ""크기"", ""type"": ""number"", ""unit"": ""mm""}]}",10,Y,foil — 박색상별 자식,2026-06-03 12:46:02.974607,
PROC_000034,금,PROC_000033,,1,Y,디지털인쇄 4종,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000035,은,PROC_000033,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000036,핑크,PROC_000033,,3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000037,홀로그램,PROC_000033,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000038,금유광,PROC_000033,,5,Y,책자 추가 D-26,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000039,은유광,PROC_000033,,6,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000040,먹유광,PROC_000033,,7,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000041,동박,PROC_000033,,8,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000042,적박,PROC_000033,,9,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000043,청박,PROC_000033,,10,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000044,트윙클,PROC_000033,,11,Y,특수박 r31,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000045,펄박,PROC_000033,,12,Y,일반박 r8,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000046,백박,PROC_000033,,13,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000047,녹박,PROC_000033,,14,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000048,금무광,PROC_000033,,15,Y,대형박 r14,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000049,은무광,PROC_000033,,16,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000050,형압,,,11,Y,embossing,2026-06-03 12:46:02.974607,
PROC_000051,양각,PROC_000050,"{""inputs"": [{""key"": ""크기"", ""type"": ""number"", ""unit"": ""mm""}]}",1,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000052,음각,PROC_000050,"{""inputs"": [{""key"": ""크기"", ""type"": ""number"", ""unit"": ""mm""}]}",2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000053,완칼,,"{""inputs"": [{""key"": ""모양"", ""type"": ""string"", ""required"": false}]}",12,Y,"Die Cut, 종이+후지 자름",2026-06-03 12:46:02.974607,
PROC_000054,반칼,,"{""inputs"": [{""key"": ""모양"", ""type"": ""string""}, {""key"": ""조각수"", ""min"": 1, ""type"": ""integer"", ""unit"": ""개""}]}",13,Y,"Kiss Cut, 종이만 (스티커)",2026-06-03 12:46:02.974607,
PROC_000055,스티커완칼,,"{""inputs"": [{""key"": ""조각수"", ""min"": 1, ""type"": ""integer""}]}",14,Y,Die Cut + 조각수,2026-06-03 12:46:02.974607,
PROC_000056,접지,,,15,Y,그룹 root,2026-06-03 12:46:02.974607,
PROC_000057,가로접지,PROC_000056,,1,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000058,세로접지,PROC_000056,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000059,2단접지,PROC_000056,,3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000060,3단접지,PROC_000056,,4,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000061,4단접지,PROC_000056,,5,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000062,5단접지,PROC_000056,,6,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000063,6단접지,PROC_000056,,7,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000064,8단접지,PROC_000056,,8,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000065,2단가로접지,PROC_000056,,9,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000066,2단세로접지,PROC_000056,,10,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000067,3단가로접지,PROC_000056,,11,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000068,3단세로접지,PROC_000056,,12,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000069,4단가로접지,PROC_000056,,13,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000070,4단세로접지,PROC_000056,,14,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
