prd_cd,prd_nm,siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,impos_yn,output_paper_typ_cd,output_file_typ,dflt_plt_yn,note
PRD_000016,프리미엄엽서,SIZ_000499,316x467,316.00,467.00,306.00,457.00,Y,OUTPUT_PAPER_TYPE.01,,N,
PRD_000017,코팅엽서,SIZ_000112,75x100,75.00,100.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000017,코팅엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,,,Y,파일사양
PRD_000017,코팅엽서,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,파일사양
PRD_000017,코팅엽서,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,파일사양
PRD_000017,코팅엽서,SIZ_000116,97x212,97.00,212.00,,,N,,,Y,파일사양
PRD_000017,코팅엽서,SIZ_000117,112x172,112.00,172.00,,,N,,,Y,파일사양
PRD_000017,코팅엽서,SIZ_000118,150x212,150.00,212.00,,,N,,,Y,파일사양
PRD_000018,스탠다드엽서,SIZ_000112,75x100,75.00,100.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000018,스탠다드엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,,,Y,파일사양
PRD_000018,스탠다드엽서,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,파일사양
PRD_000018,스탠다드엽서,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,파일사양
PRD_000018,스탠다드엽서,SIZ_000118,150x212,150.00,212.00,,,N,,,Y,파일사양
PRD_000019,투명엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,OUTPUT_PAPER_TYPE.03,PDF(+W),Y,파일사양
PRD_000019,투명엽서,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,파일사양
PRD_000019,투명엽서,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,파일사양
PRD_000019,투명엽서,SIZ_000118,150x212,150.00,212.00,,,N,,,Y,파일사양
