prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000006,MAT_000202,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000203,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000204,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000205,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000206,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000207,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000208,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000006,MAT_000209,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000007,MAT_000210,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000007,MAT_000212,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000007,MAT_000213,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000008,MAT_000214,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000010,MAT_000217,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000010,MAT_000219,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000010,MAT_000220,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000012,MAT_000222,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000013,MAT_000224,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000013,MAT_000226,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000013,MAT_000227,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000014,MAT_000228,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000014,MAT_000230,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000014,MAT_000231,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000232,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000234,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000235,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000236,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000237,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000238,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000015,MAT_000239,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,MAT_000081,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,MAT_000082,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000019,MAT_000178,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,MAT_000138,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,MAT_000139,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,MAT_000140,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,MAT_000141,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,MAT_000109,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,MAT_000113,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,MAT_000109,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,MAT_000113,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000023,MAT_000107,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000023,MAT_000109,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000023,MAT_000113,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000024,MAT_000082,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000025,MAT_000178,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000026,MAT_000082,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000030,MAT_000105,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000032,MAT_000081,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000032,MAT_000082,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,MAT_000074,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,MAT_000081,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,MAT_000082,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,MAT_000091,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,MAT_000092,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,MAT_000128,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,MAT_000129,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,MAT_000240,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,MAT_000241,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000035,MAT_000109,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000036,MAT_000109,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000037,MAT_000137,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000037,MAT_000138,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000037,MAT_000139,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000037,MAT_000140,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
PRD_000037,MAT_000141,USAGE.07,,Y,1,2026-06-03 12:46:02.974607,
