cod_cd,cod_nm,upr_cod_cd,disp_seq,use_yn,note,reg_dt,upd_dt
CUS_GRADE,고객등급,,3,Y,,2026-06-03 12:46:02.974607,
CUS_GRADE.01,VIP,CUS_GRADE,1,Y,,2026-06-03 12:46:02.974607,
CUS_GRADE.02,일반,CUS_GRADE,2,Y,,2026-06-03 12:46:02.974607,
DSC_TYPE,할인유형,,7,Y,,2026-06-03 12:46:02.974607,
DSC_TYPE.01,정률,DSC_TYPE,1,Y,,2026-06-03 12:46:02.974607,
DSC_TYPE.02,정액,DSC_TYPE,2,Y,,2026-06-03 12:46:02.974607,
FRM_TYPE,공식유형,,11,Y,,2026-06-03 12:46:02.974607,
FRM_TYPE.01,합산형,FRM_TYPE,1,Y,,2026-06-03 12:46:02.974607,
FRM_TYPE.02,단순형,FRM_TYPE,2,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE,자재유형,,4,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.01,종이,MAT_TYPE,1,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.02,필름,MAT_TYPE,2,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.03,아크릴,MAT_TYPE,3,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.04,금속,MAT_TYPE,4,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.05,원단,MAT_TYPE,5,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.06,가죽,MAT_TYPE,6,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.07,부속,MAT_TYPE,7,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.08,실사소재,MAT_TYPE,8,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.09,파우치,MAT_TYPE,9,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.10,악세사리,MAT_TYPE,10,Y,,2026-06-03 12:46:02.974607,
MAT_TYPE.11,스티커,MAT_TYPE,11,Y,,2026-06-03 12:46:02.974607,
OUTPUT_PAPER_TYPE,출력용지유형,,6,Y,,2026-06-03 12:46:02.974607,
OUTPUT_PAPER_TYPE.01,국전계열,OUTPUT_PAPER_TYPE,1,Y,,2026-06-03 12:46:02.974607,
OUTPUT_PAPER_TYPE.02,46계열,OUTPUT_PAPER_TYPE,2,Y,,2026-06-03 12:46:02.974607,
OUTPUT_PAPER_TYPE.03,기타,OUTPUT_PAPER_TYPE,3,Y,,2026-06-03 12:46:02.974607,
PRC_COMPONENT_TYPE,가격구성요소유형,,5,Y,,2026-06-03 12:46:02.974607,
PRC_COMPONENT_TYPE.01,인쇄비,PRC_COMPONENT_TYPE,1,Y,,2026-06-03 12:46:02.974607,
PRC_COMPONENT_TYPE.02,코팅비,PRC_COMPONENT_TYPE,2,Y,,2026-06-03 12:46:02.974607,
PRC_COMPONENT_TYPE.03,용지비,PRC_COMPONENT_TYPE,3,Y,,2026-06-03 12:46:02.974607,
PRC_COMPONENT_TYPE.04,후가공비,PRC_COMPONENT_TYPE,4,Y,,2026-06-03 12:46:02.974607,
PRC_COMPONENT_TYPE.05,박형압비,PRC_COMPONENT_TYPE,5,Y,,2026-06-03 12:46:02.974607,
PRD_TYPE,상품유형,,1,Y,,2026-06-03 12:46:02.974607,
PRD_TYPE.01,완제품,PRD_TYPE,1,Y,,2026-06-03 12:46:02.974607,
PRD_TYPE.02,반제품,PRD_TYPE,2,Y,,2026-06-03 12:46:02.974607,
PRD_TYPE.03,기성상품,PRD_TYPE,3,Y,,2026-06-03 12:46:02.974607,
PRD_TYPE.04,디자인상품,PRD_TYPE,4,Y,,2026-06-03 12:46:02.974607,
QTY_UNIT,수량단위,,10,Y,,2026-06-03 12:46:02.974607,
QTY_UNIT.01,EA,QTY_UNIT,1,Y,,2026-06-03 12:46:02.974607,
QTY_UNIT.02,매,QTY_UNIT,2,Y,,2026-06-03 12:46:02.974607,
QTY_UNIT.03,권,QTY_UNIT,3,Y,,2026-06-03 12:46:02.974607,
QTY_UNIT.04,세트,QTY_UNIT,4,Y,,2026-06-03 12:46:02.974607,
SEL_TYPE,선택유형,,8,Y,,2026-06-03 12:46:02.974607,
SEL_TYPE.01,단일,SEL_TYPE,1,Y,,2026-06-03 12:46:02.974607,
SEL_TYPE.02,다중,SEL_TYPE,2,Y,,2026-06-03 12:46:02.974607,
SEMI_ROLE,반제품역할,,2,Y,,2026-06-03 12:46:02.974607,
SEMI_ROLE.01,내지,SEMI_ROLE,1,Y,,2026-06-03 12:46:02.974607,
SEMI_ROLE.02,표지,SEMI_ROLE,2,Y,,2026-06-03 12:46:02.974607,
SEMI_ROLE.03,면지,SEMI_ROLE,3,Y,,2026-06-03 12:46:02.974607,
SEMI_ROLE.04,간지,SEMI_ROLE,4,Y,,2026-06-03 12:46:02.974607,
SEMI_ROLE.05,투명커버,SEMI_ROLE,5,Y,,2026-06-03 12:46:02.974607,
USAGE,용도,,9,Y,,2026-06-03 12:46:02.974607,
USAGE.01,내지,USAGE,1,Y,,2026-06-03 12:46:02.974607,
USAGE.02,표지,USAGE,2,Y,,2026-06-03 12:46:02.974607,
USAGE.03,면지,USAGE,3,Y,,2026-06-03 12:46:02.974607,
USAGE.04,간지,USAGE,4,Y,,2026-06-03 12:46:02.974607,
USAGE.05,투명커버,USAGE,5,Y,,2026-06-03 12:46:02.974607,
USAGE.06,표지타입,USAGE,6,Y,,2026-06-03 12:46:02.974607,
USAGE.07,공통,USAGE,7,Y,,2026-06-03 12:46:02.974607,
