prd_cd,opt_id,print_side,front_colrcnt_cd,back_colrcnt_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000064,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000065,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000067,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000068,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000068,2,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000069,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000069,2,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000070,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000070,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000071,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000071,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000072,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000072,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000077,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000077,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000082,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000082,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000088,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000094,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000094,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000097,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000100,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000100,2,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000108,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000109,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000110,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000111,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000111,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000112,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000112,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000113,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000114,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000115,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000116,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000117,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000146,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000147,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000147,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000148,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000148,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000148,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000149,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000149,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000149,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000150,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000150,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000150,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000151,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000151,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000151,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000152,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000152,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000152,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000153,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000153,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000153,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000155,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000155,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000155,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000156,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000156,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000156,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000157,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000157,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000157,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000158,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000158,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000158,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000159,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000159,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000159,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000160,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000160,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000160,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000161,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000161,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000161,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000162,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000162,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000162,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000163,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000163,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000163,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000164,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000164,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000164,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000165,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000165,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000165,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000166,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000166,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000166,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000171,1,배면양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000171,2,풀빼다,CLR_000005,CLR_000001,N,2,2026-06-03 12:46:02.974607,
PRD_000171,3,투명테두리,CLR_000005,CLR_000001,N,3,2026-06-03 12:46:02.974607,
PRD_000172,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000176,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000176,2,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000177,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000178,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000179,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000181,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000182,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
