discount_group,prd_cd,prd_nm,resolution_source
acrylic_general,PRD_000160,아크릴자유형스탠드,category_wide
acrylic_general,PRD_000161,판아크릴,category_wide
acrylic_general,PRD_000162,아크릴포카스탠드,category_wide
acrylic_general,PRD_000163,아크릴미니파츠,category_wide
acrylic_general,PRD_000164,아크릴코롯토,category_wide
acrylic_general,PRD_000165,포카코롯토,category_wide
acrylic_general,PRD_000167,아크릴코롯토,category_wide
acrylic_general,PRD_000168,아크릴입체코롯토,category_wide
acrylic_general,PRD_000169,아크릴입체블럭,category_wide
acrylic_general,PRD_000170,아크릴쉐이커★,category_wide
acrylic_general,PRD_000171,지비츠★,category_wide
acrylic_carabiner,PRD_000166,아크릴카라비너,category_wide
fabric,PRD_000230,레더 플랫 파우치,category_wide
fabric,PRD_000231,레더 슬림 파우치,category_wide
fabric,PRD_000232,레더 삼각 파우치,category_wide
fabric,PRD_000233,레더 볼륨 파우치,category_wide
fabric,PRD_000234,레더 스트링 파우치,category_wide
fabric,PRD_000235,레더 스트링 원형파우치,category_wide
fabric,PRD_000236,레더 플랫 클러치,category_wide
fabric,PRD_000237,레더 삼각 클러치,category_wide
fabric,PRD_000238,레더 아이패드/노트북 파우치,category_wide
fabric,PRD_000239,캔버스 플랫 파우치,category_wide
fabric,PRD_000240,캔버스 삼각 파우치,category_wide
fabric,PRD_000241,캔버스 스트랩 라벨파우치,category_wide
fabric,PRD_000242,광목 스트링 라벨파우치,category_wide
fabric,PRD_000243,린넨 스트링 파우치,category_wide
fabric,PRD_000244,타이벡 플랫 파우치,category_wide
fabric,PRD_000245,타이벡 슬림 파우치,category_wide
fabric,PRD_000246,타이벡 삼각 파우치,category_wide
fabric,PRD_000247,타이벡 스트링 파우치,category_wide
fabric,PRD_000248,타이벡 플랫 클러치,category_wide
fabric,PRD_000249,메쉬슬림파우치,category_wide
fabric,PRD_000250,메쉬볼륨파우치,category_wide
fabric,PRD_000251,레더 플랫 미니파우치,category_wide
fabric,PRD_000252,레더 슬림 미니파우치,category_wide
fabric,PRD_000253,레더 삼각 미니파우치,category_wide
fabric,PRD_000254,레더 볼륨 미니파우치,category_wide
fabric,PRD_000255,레더 원형 미니파우치,category_wide
fabric,PRD_000256,레더 플랫 필통,category_wide
fabric,PRD_000257,레더 슬림 필통,category_wide
fabric,PRD_000258,레더 삼각 필통,category_wide
fabric,PRD_000259,레더 볼륨 필통,category_wide
fabric,PRD_000260,레더 원형 필통,category_wide
fabric,PRD_000261,캔버스 플랫 필통,category_wide
fabric,PRD_000262,캔버스 삼각 필통,category_wide
fabric,PRD_000263,레더토트백,category_wide
fabric,PRD_000264,레더숄더백,category_wide
fabric,PRD_000265,린넨 미니에코백,category_wide
fabric,PRD_000266,린넨 토트백,category_wide
fabric,PRD_000267,린넨 에코백,category_wide
fabric,PRD_000268,캔버스심플백,category_wide
fabric,PRD_000269,캔버스 포켓심플백,category_wide
fabric,PRD_000270,캔버스에코백,category_wide
fabric,PRD_000271,캔버스숄더백,category_wide
fabric,PRD_000272,캔버스 포켓숄더백,category_wide
fabric,PRD_000273,타이벡 양면 백팩,category_wide
fabric,PRD_000274,타이벡보냉보틀백,category_wide
fabric,PRD_000275,타이벡 보냉 미니백,category_wide
fabric,PRD_000276,타이벡 에코백,category_wide
fabric,PRD_000277,타이벡 보냉에코백,category_wide
fabric,PRD_000278,메쉬 토트백,category_wide
fabric,PRD_000279,메쉬 에코백,category_wide
stationery,PRD_000172,만년다이어리(소프트커버),master_column
stationery,PRD_000176,먼슬리플래너,master_column
stationery,PRD_000177,스프링노트,master_column
stationery,PRD_000178,스프링수첩,master_column
stationery,PRD_000179,메모패드,master_column
stationery,PRD_000181,중철노트,master_column
goods_b,PRD_000183,틴거울,master_column
goods_b,PRD_000184,컴팩트거울,master_column
goods_b,PRD_000185,카드거울,master_column
goods_a,PRD_000186,사각손거울,master_column
goods_a,PRD_000187,블랙사각손거울,master_column
goods_a,PRD_000188,레더코스터,master_column
goods_a,PRD_000189,코르크코스터,master_column
goods_a,PRD_000190,우드코스터,master_column
goods_a,PRD_000191,린넨패브릭코스터,master_column
goods_a,PRD_000192,규조토코스터,master_column
goods_b,PRD_000193,머그컵,master_column
goods_a,PRD_000194,워터북보틀,master_column
goods_a,PRD_000195,벨벳쿠션,master_column
goods_a,PRD_000196,레더여권케이스,master_column
goods_a,PRD_000197,미니매트,master_column
goods_a,PRD_000198,피크닉매트,master_column
goods_b,PRD_000200,핀버튼,master_column
goods_a,PRD_000201,레더스트랩키링,master_column
goods_b,PRD_000205,양말,master_column
goods_b,PRD_000206,반팔티셔츠,master_column
goods_b,PRD_000209,후드티셔츠,master_column
goods_b,PRD_000210,초슬림마우스패드,master_column
goods_b,PRD_000212,극세사클리너,master_column
goods_b,PRD_000213,틴케이스,master_column
goods_a,PRD_000219,밴드톡,master_column
goods_a,PRD_000220,폰스트랩,master_column
squishy,PRD_000221,말랑키링,master_column
squishy,PRD_000222,말랑증사홀더,master_column
squishy,PRD_000223,말랑포카홀더,master_column
squishy,PRD_000224,말랑네임택,master_column
squishy,PRD_000225,말랑여권케이스,master_column
