siz_cd,siz_nm,work_width,work_height,cut_width,cut_height
SIZ_000001,73x98,75.00,100.00,73.00,98.00
SIZ_000002,98x98,100.00,100.00,98.00,98.00
SIZ_000003,100x150,102.00,152.00,100.00,150.00
SIZ_000004,135x135,137.00,137.00,135.00,135.00
SIZ_000005,95x210,97.00,212.00,95.00,210.00
SIZ_000006,110x170,112.00,172.00,110.00,170.00
SIZ_000007,148x210,150.00,212.00,148.00,210.00
SIZ_000008,90x50,92.00,52.00,90.00,50.00
SIZ_000009,90x55,92.00,57.00,90.00,55.00
SIZ_000010,86x55,88.00,57.00,86.00,55.00
SIZ_000011,50x50,60.00,60.00,50.00,50.00
SIZ_000012,55x86,57.00,88.00,55.00,86.00
SIZ_000013,148x68,152.00,72.00,148.00,68.00
SIZ_000014,148x75,158.00,77.00,148.00,75.00
SIZ_000015,300x100,302.00,102.00,300.00,100.00
SIZ_000016,400x145,402.00,147.00,400.00,145.00
SIZ_000017,100x90,102.00,92.00,100.00,90.00
SIZ_000018,90x100,92.00,102.00,90.00,100.00
SIZ_000019,104x86,106.00,88.00,104.00,86.00
SIZ_000020,86x104,88.00,106.00,86.00,104.00
SIZ_000021,200x150,202.00,152.00,200.00,150.00
SIZ_000022,150x200,152.00,202.00,150.00,200.00
SIZ_000023,274x139,274.00,139.00,274.00,139.00
SIZ_000024,139x274,139.00,274.00,139.00,274.00
SIZ_000025,220x170,224.00,174.00,220.00,170.00
SIZ_000026,170x220,174.00,224.00,170.00,220.00
SIZ_000027,300x150,302.00,152.00,300.00,150.00
SIZ_000028,150x300,152.00,302.00,150.00,300.00
SIZ_000029,403x135,407.00,139.00,403.00,135.00
SIZ_000030,135x403,139.00,407.00,135.00,403.00
SIZ_000031,600x150,604.00,154.00,600.00,150.00
SIZ_000032,150x600,154.00,604.00,150.00,600.00
SIZ_000033,76x100,80.00,104.00,76.00,100.00
SIZ_000034,76x120,80.00,124.00,76.00,120.00
SIZ_000035,86x120,90.00,124.00,86.00,120.00
SIZ_000036,94x94,98.00,98.00,94.00,94.00
SIZ_000037,62x180,66.00,184.00,62.00,180.00
SIZ_000038,105x160,109.00,164.00,105.00,160.00
SIZ_000039,74x74,78.00,78.00,74.00,74.00
SIZ_000040,74x148,78.00,152.00,74.00,148.00
SIZ_000041,74x109,78.00,113.00,74.00,109.00
SIZ_000042,74x218,78.00,222.00,74.00,218.00
SIZ_000043,80x80,84.00,84.00,80.00,80.00
SIZ_000044,110x80,114.00,84.00,110.00,80.00
SIZ_000045,140x80,144.00,84.00,140.00,80.00
SIZ_000046,160x80,164.00,84.00,160.00,80.00
SIZ_000047,40x80,50.00,90.00,40.00,80.00
SIZ_000048,25x110,35.00,120.00,25.00,110.00
SIZ_000049,210x148,214.00,152.00,210.00,148.00
SIZ_000050,210x297,216.00,303.00,210.00,297.00
SIZ_000051,297x210,303.00,216.00,297.00,210.00
SIZ_000052,297x420,303.00,426.00,297.00,420.00
SIZ_000053,300x440,306.00,446.00,300.00,440.00
SIZ_000054,420x297,426.00,303.00,420.00,297.00
SIZ_000055,640x297,646.00,303.00,640.00,297.00
SIZ_000056,320x404,320.00,404.00,320.00,404.00
SIZ_000057,105x148,105.00,148.00,105.00,148.00
SIZ_000058,100x140,104.00,144.00,100.00,140.00
SIZ_000059,124x186,128.00,190.00,124.00,186.00
SIZ_000060,90x190,94.00,194.00,90.00,190.00
SIZ_000061,50x70,50.00,70.00,50.00,70.00
SIZ_000062,70x50,70.00,50.00,70.00,50.00
SIZ_000063,50x94,50.00,94.00,50.00,94.00
SIZ_000064,94x50,94.00,50.00,94.00,50.00
SIZ_000065,65x65,65.00,65.00,65.00,65.00
SIZ_000066,75x94,75.00,94.00,75.00,94.00
SIZ_000067,140x100,140.00,100.00,140.00,100.00
SIZ_000068,75x110,75.00,110.00,75.00,110.00
SIZ_000069,220x145,224.00,149.00,220.00,145.00
SIZ_000070,130x220,134.00,224.00,130.00,220.00
SIZ_000071,148x60,152.00,64.00,148.00,60.00
SIZ_000072,145x145,149.00,149.00,145.00,145.00
SIZ_000073,220x130,224.00,134.00,220.00,130.00
SIZ_000074,145x300,149.00,304.00,145.00,300.00
SIZ_000075,210x420,214.00,424.00,210.00,420.00
SIZ_000076,300x420,304.00,424.00,300.00,420.00
SIZ_000077,300x625,304.00,629.00,300.00,625.00
SIZ_000078,70x200mm(50장),,,,
SIZ_000079,80x100mm(50장),,,,
SIZ_000080,80x120mm(50장),,,,
SIZ_000081,80x180mm(50장),,,,
SIZ_000082,90x120mm(50장),,,,
SIZ_000083,100x100mm(50장),,,,
SIZ_000084,100x200mm(50장),,,,
SIZ_000085,110x160mm(50장),,,,
SIZ_000086,130x200mm(50장),,,,
SIZ_000087,160x230mm(50장),,,,
SIZ_000088,230x350mm(50장),,,,
SIZ_000089,60x90mm(20장),,,,
SIZ_000090,60x90mm(50장),,,,
SIZ_000091,110x250mm(50장),,,,
SIZ_000092,140x180mm(50장),,,,
SIZ_000093,140x200mm(50장),,,,
SIZ_000094,150x150mm(50장),,,,
SIZ_000095,160x250mm(50장),,,,
SIZ_000096,160x110mm(20장),,,,
SIZ_000097,160x110mm(40장),,,,
SIZ_000098,160x110mm(100장),,,,
SIZ_000099,100x100mm(20장),,,,
SIZ_000100,100x100mm(40장),,,,
SIZ_000101,100x100mm(100장),,,,
SIZ_000102,70x100mm(30장),,,,
SIZ_000103,70x100mm(100장),,,,
SIZ_000104,화이트165x115mm(10장),,,,
SIZ_000105,블랙165x115mm(10장),,,,
SIZ_000106,240x230mm(10장),,,,
SIZ_000107,150x310mm(10장),,,,
SIZ_000108,PP투명케이스42x57x20mm(10개),,,,
SIZ_000109,PP투명케이스75x75x15mm(10개),,,,
SIZ_000110,PP투명케이스75x110x15mm(10개),,,,
SIZ_000111,20x20(20개입),,,,
SIZ_000112,75x100,75.00,100.00,,
