적용일	공정	가로 (mm)	세로 (mm)	수량(이상)	고정	비고
2026-06-01	PROC_000154	10	10	200	14300.00	소형 박가공비 등급A·가로10이하×세로10이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	200	24800.00	소형 박가공비 등급E·가로40이하×세로80이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	200	20600.00	소형 박가공비 등급C·가로10이하×세로80이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	200	14300.00	소형 박가공비 등급A·가로10이하×세로20이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	200	14300.00	소형 박가공비 등급A·가로20이하×세로10이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	200	22700.00	소형 박가공비 등급D·가로20이하×세로80이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	200	20600.00	소형 박가공비 등급C·가로20이하×세로60이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	200	18500.00	소형 박가공비 등급B·가로10이하×세로60이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	200	14300.00	소형 박가공비 등급A·가로40이하×세로10이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	200	14300.00	소형 박가공비 등급A·가로20이하×세로20이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	200	18500.00	소형 박가공비 등급B·가로40이하×세로20이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	200	22700.00	소형 박가공비 등급D·가로40이하×세로40이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	200	18500.00	소형 박가공비 등급B·가로20이하×세로40이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	200	24800.00	소형 박가공비 등급E·가로40이하×세로60이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	200	14300.00	소형 박가공비 등급A·가로10이하×세로40이하·수량200이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	300	23800.00	소형 박가공비 등급B·가로40이하×세로20이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	300	17500.00	소형 박가공비 등급A·가로10이하×세로10이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	300	17500.00	소형 박가공비 등급A·가로20이하×세로10이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	300	23800.00	소형 박가공비 등급B·가로20이하×세로40이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	300	33200.00	소형 박가공비 등급E·가로40이하×세로80이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	300	17500.00	소형 박가공비 등급A·가로10이하×세로20이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	300	30100.00	소형 박가공비 등급D·가로20이하×세로80이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	300	17500.00	소형 박가공비 등급A·가로10이하×세로40이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	300	33200.00	소형 박가공비 등급E·가로40이하×세로60이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	300	17500.00	소형 박가공비 등급A·가로20이하×세로20이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	300	26900.00	소형 박가공비 등급C·가로20이하×세로60이하·수량300이상 (flatten·grade=추적)
