sheet,key,column,cell_ref,before,after
스티커,(좌표),A6(8판)/100*148(8판) / 유포/비코팅/미색,N2,100*148(8판),A6(8판)/100*148(8판)
명함포토카드,(좌표),,F38,A : 큐리어스스킨 화이트 / 레드 / 타크블루 / 바이올렛 / 블랙,A : 큐리어스스킨 화이트 / 레드 / 다크블루 / 바이올렛 / 블랙
포스터사인,(좌표),,I103,린넨후가공,
포스터사인,(좌표),,J103,,린넨패브릭포스터 가공
포스터사인,(좌표),,L103,,사이즈무관 공용
포스터사인,(좌표),,J104,,사이즈 / 가공옵션
포스터사인,(좌표),,K104,,A3 / A2 / A1
포스터사인,(좌표),,J105,,오버로크
포스터사인,(좌표),,K105,,0
포스터사인,(좌표),,J106,,오버로크+리본끈
포스터사인,(좌표),,K106,,800
포스터사인,(좌표),,J107,,말아박기
포스터사인,(좌표),,K107,,1000
포스터사인,(좌표),,J108,,말아박기+면끈
포스터사인,(좌표),,K108,,2000
포스터사인,(좌표),,J109,,봉미싱(7cm)
포스터사인,(좌표),,K109,,2000
출력소재(IMPORT),투명투,(ADDED row),row 86,,C=투명스티커(투명후지) | D=50 | E=투명투 | F=점착 투명데드롱 50mic (후지:투명 PET 100mic) / 1박스당 300매 | G=330*480 | H=222000 | I=740 | K=330x480
출력소재(IMPORT),반투명,구매정보,F,1박스당 100매,1박스당 100매 / 비점착 펄프로스트260(반투명
출력소재(IMPORT),아이보,중분류,B,특수지,특수가공지
출력소재(IMPORT),크라프,구매정보,F,57g/ 1박스당 500매,57g/ (후지:백색박리지150g /1박스당 300매)
출력소재(IMPORT),크라프,연당가,H,156000,81500
출력소재(IMPORT),크라프,가격 (국4절),I,312,272
출력소재(IMPORT),투명,구매정보,F,1박스당 100매,1박스당 100매 / 비점착 슈퍼클리어260(투명)
출력소재(IMPORT),투명스,종이명,C,투명스티커,투명스티커(백색후지)
출력소재(IMPORT),투명스,평량,D,105,50
출력소재(IMPORT),투명스,구매정보,F,점착 투명105g pet/ 1박스당 100매,점착 투명데드롱 50mic (후지:백색박리지150g) / 1박스당 300매
출력소재(IMPORT),투명스,연당가,H,130000,149500
출력소재(IMPORT),투명스,가격 (국4절),I,1300,499
출력소재(IMPORT),홀로스,구매정보,F,홀로그램50g / 1박스당 500매,홀로그램50g / 1박스당 300매
출력소재(IMPORT),홀로스,연당가,H,360000,253700
출력소재(IMPORT),홀로스,가격 (국4절),I,936,846
