surface,siz_cd,cnt,detail
t_prd_product_sizes.siz_cd[살아있음],SIZ_000036,2,"PRD_000043,PRD_000064"
t_prd_product_sizes.siz_cd[살아있음],SIZ_000064,2,"PRD_000044,PRD_000064"
t_prd_product_sizes.siz_cd[살아있음],SIZ_000172,2,"PRD_000132,PRD_000286"
t_prd_product_sizes.siz_cd[살아있음],SIZ_000258,10,"PRD_000052,PRD_000053,PRD_000054,PRD_000055,PRD_000056,PRD_000088,PRD_000133,PRD_000140,PRD_000141,PRD_000144"
t_prd_product_sizes.siz_cd[논리삭제],SIZ_000172,20,"PRD_000047,PRD_000055,PRD_000056,PRD_000068,PRD_000069,PRD_000070,PRD_000071,PRD_000072,PRD_000077,PRD_000082,PRD_000100,PRD_000133,PRD_000140,PRD_000141,PRD_000144,PRD_000284,PRD_000285,PRD_000287,PRD_000289,PRD_000291"
t_prd_product_sizes.siz_cd[논리삭제],SIZ_000258,5,"PRD_000058,PRD_000059,PRD_000060,PRD_000061,PRD_000134"
t_prd_product_sizes.siz_cd[논리삭제],SIZ_000514,2,"PRD_000055,PRD_000056"
t_prd_product_sizes.siz_cd[논리삭제],SIZ_000515,2,"PRD_000055,PRD_000056"
t_prd_product_plate_sizes.siz_cd[살아있음],SIZ_000498,10,"PRD_000052,PRD_000053,PRD_000054,PRD_000058,PRD_000059,PRD_000060,PRD_000061,PRD_000062,PRD_000063,PRD_000064"
t_prd_product_plate_sizes.siz_cd[살아있음],SIZ_000499,65,"PRD_000016,PRD_000017,PRD_000018,PRD_000019,PRD_000020,PRD_000021,PRD_000022,PRD_000023,PRD_000024,PRD_000025,PRD_000026,PRD_000027,PRD_000028,PRD_000029,PRD_000031,PRD_000032,PRD_000033,PRD_000034,PRD_000035,PRD_000036,PRD_000037,PRD_000038,PRD_000039,PRD_000040,PRD_000041,PRD_000042,PRD_000043,PRD_000044,PRD_000045,PRD_000046,PRD_000047,PRD_000048,PRD_000068,PRD_000069,PRD_000070,PRD_000071,PRD_"
t_prd_product_plate_sizes.siz_cd[살아있음],SIZ_000521,2,"PRD_000065,PRD_000067"
t_prd_product_plate_sizes.siz_cd[논리삭제],SIZ_000036,2,"PRD_000064,PRD_000097"
t_prd_product_plate_sizes.siz_cd[논리삭제],SIZ_000064,1,PRD_000064
t_prd_product_plate_sizes.siz_cd[논리삭제],SIZ_000499,2,"PRD_000051,PRD_000094"
t_prd_product_plate_sizes.siz_cd[논리삭제],SIZ_000521,1,PRD_000066
t_prd_product_plate_sizes.item_siz_cd,(none),0,
t_prc_component_prices.siz_cd,SIZ_000036,252,COMP_STK_PRINT
t_prc_component_prices.siz_cd,SIZ_000064,252,COMP_STK_PRINT
t_prc_component_prices.siz_cd,SIZ_000172,33,"COMP_POSTER_LEATHER_FRAME,COMP_POSTER_SHEETCUT_MATTE,COMP_STK_PRINT,POSTER_LEATHERPANEL_PRINT"
t_prc_component_prices.siz_cd,SIZ_000258,620,"COMP_POSTER_CANVAS_HANGING,COMP_POSTER_MINI_STANDBOARD,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER_0,COMP_POSTER_SHEETCUT_HOLO,COMP_POSTER_SHEETCUT_MATTE,COMP_STK_PRINT,POSTER_HANGINGCANVAS_ADDON,POSTER_HANGINGCANVAS_PRINT,POSTER_MINIBOARD_FINAL,POSTER_SHEETCUT_FINAL,STK_CUT_CLEAR_PRINT,STK_CUT_PRINT,STK_KISSCUT_PRINT"
t_prc_component_prices.siz_cd,SIZ_000514,42,"COMP_STK_PRINT,STK_CUT_CLEAR_PRINT,STK_CUT_PRINT"
t_prc_component_prices.siz_cd,SIZ_000515,42,"COMP_STK_PRINT,STK_CUT_CLEAR_PRINT,STK_CUT_PRINT"
t_prc_component_prices.siz_cd,SIZ_000518,648,"COMP_STK_PRINT,STK_KISSCUT_PRINT"
t_prc_component_prices.siz_cd,SIZ_000519,648,"COMP_STK_PRINT,STK_KISSCUT_PRINT"
t_prc_component_prices.siz_cd[고아=상품 미연결],SIZ_000514,42,"COMP_STK_PRINT,STK_CUT_CLEAR_PRINT,STK_CUT_PRINT"
t_prc_component_prices.siz_cd[고아=상품 미연결],SIZ_000515,42,"COMP_STK_PRINT,STK_CUT_CLEAR_PRINT,STK_CUT_PRINT"
t_prc_component_prices.siz_cd[고아=상품 미연결],SIZ_000518,648,"COMP_STK_PRINT,STK_KISSCUT_PRINT"
t_prc_component_prices.siz_cd[고아=상품 미연결],SIZ_000519,648,"COMP_STK_PRINT,STK_KISSCUT_PRINT"
t_prc_component_prices.plt_siz_cd,SIZ_000499,2363,"COAT_SUPERA3_LAMINATING,COMP_COAT_GLOSSY,COMP_COAT_MATTE,COMP_CUT_FULL_DIECUT,COMP_PAPER,COMP_PRINT_DIGITAL_S1,COMP_PRINT_DIGITAL_S2,COMP_PRINT_SPOT_CLEAR_S1,COMP_PRINT_SPOT_CLEAR_S2,COMP_PRINT_SPOT_GOLD_S1,COMP_PRINT_SPOT_GOLD_S2,COMP_PRINT_SPOT_PINK_S1,COMP_PRINT_SPOT_PINK_S2,COMP_PRINT_SPOT_SILVER_S1,COMP_PRINT_SPOT_SILVER_S2,COMP_PRINT_SPOT_WHITE_S1,COMP_PRINT_SPOT_WHITE_S2,PRINT_SUPERA3_CMYK,"
t_prc_component_prices.dim_vals(JSON),(none),0,
t_prd_edicus_templates.siz_cd,SIZ_000172,1,PRD_000132
t_prd_edicus_templates.siz_cd,SIZ_000258,1,PRD_000133
t_prd_edicus_templates.plt_siz_cd,(none),0,
t_prd_product_option_items.ref_key1,SIZ_000172,3,"OPV_000285,OPV_000320,OPV_000352"
t_prd_template_selections.ref_key1,(none),0,
t_wgt_widget_versions.cfg(JSON),(none),0,
t_wgt_widget_items.ref_key,(none),0,
t_prd_templates.dim_sels(JSON),SIZ_000172,1,TMPL-000129
t_prd_templates.dim_sels(JSON),SIZ_000258,1,TMPL-000127
t_prd_designs.fixed_specs(JSON),(none),0,
