comp_price_id,comp_cd,siz_width,siz_height,mat_cd,min_qty,unit_price
22412,COMP_ACRYL_CLEAR3T,20.00,40.00,MAT_000042,,2400.00
22413,COMP_ACRYL_CLEAR3T,20.00,50.00,MAT_000042,,2560.00
22414,COMP_ACRYL_CLEAR3T,20.00,70.00,MAT_000042,,2880.00
22415,COMP_ACRYL_CLEAR3T,20.00,80.00,MAT_000042,,3040.00
22416,COMP_ACRYL_CLEAR3T,20.00,90.00,MAT_000042,,3200.00
22417,COMP_ACRYL_CLEAR3T,20.00,100.00,MAT_000042,,3360.00
22418,COMP_ACRYL_CLEAR3T,30.00,60.00,MAT_000042,,3200.00
22419,COMP_ACRYL_CLEAR3T,30.00,90.00,MAT_000042,,4000.00
22420,COMP_ACRYL_CLEAR3T,30.00,100.00,MAT_000042,,4240.00
22421,COMP_ACRYL_CLEAR3T,40.00,70.00,MAT_000042,,4080.00
22422,COMP_ACRYL_CLEAR3T,40.00,90.00,MAT_000042,,4720.00
22423,COMP_ACRYL_CLEAR3T,50.00,60.00,MAT_000042,,4240.00
22424,COMP_ACRYL_CLEAR3T,70.00,80.00,MAT_000042,,6480.00
22425,COMP_ACRYL_CLEAR3T,70.00,90.00,MAT_000042,,7040.00
22426,COMP_ACRYL_CLEAR3T,80.00,90.00,MAT_000042,,7840.00
22346,COMP_ACRYL_CLEAR3T,20.00,40.00,MAT_000043,,3000.00
22347,COMP_ACRYL_CLEAR3T,20.00,50.00,MAT_000043,,3200.00
22348,COMP_ACRYL_CLEAR3T,20.00,70.00,MAT_000043,,3600.00
22349,COMP_ACRYL_CLEAR3T,20.00,80.00,MAT_000043,,3800.00
22350,COMP_ACRYL_CLEAR3T,20.00,90.00,MAT_000043,,4000.00
22351,COMP_ACRYL_CLEAR3T,20.00,100.00,MAT_000043,,4200.00
22352,COMP_ACRYL_CLEAR3T,20.00,120.00,MAT_000043,,4600.00
22353,COMP_ACRYL_CLEAR3T,20.00,140.00,MAT_000043,,5000.00
22354,COMP_ACRYL_CLEAR3T,20.00,160.00,MAT_000043,,5400.00
22355,COMP_ACRYL_CLEAR3T,20.00,180.00,MAT_000043,,5800.00
22356,COMP_ACRYL_CLEAR3T,20.00,200.00,MAT_000043,,6200.00
22357,COMP_ACRYL_CLEAR3T,30.00,60.00,MAT_000043,,4000.00
22358,COMP_ACRYL_CLEAR3T,30.00,90.00,MAT_000043,,5000.00
22359,COMP_ACRYL_CLEAR3T,30.00,100.00,MAT_000043,,5300.00
22360,COMP_ACRYL_CLEAR3T,30.00,120.00,MAT_000043,,5900.00
22361,COMP_ACRYL_CLEAR3T,30.00,140.00,MAT_000043,,6500.00
22362,COMP_ACRYL_CLEAR3T,30.00,160.00,MAT_000043,,7100.00
22363,COMP_ACRYL_CLEAR3T,30.00,180.00,MAT_000043,,7700.00
22364,COMP_ACRYL_CLEAR3T,30.00,200.00,MAT_000043,,8300.00
22365,COMP_ACRYL_CLEAR3T,40.00,70.00,MAT_000043,,5100.00
22366,COMP_ACRYL_CLEAR3T,40.00,90.00,MAT_000043,,5900.00
22367,COMP_ACRYL_CLEAR3T,40.00,120.00,MAT_000043,,7400.00
22368,COMP_ACRYL_CLEAR3T,40.00,140.00,MAT_000043,,8400.00
22369,COMP_ACRYL_CLEAR3T,40.00,160.00,MAT_000043,,9400.00
22370,COMP_ACRYL_CLEAR3T,40.00,180.00,MAT_000043,,10400.00
22371,COMP_ACRYL_CLEAR3T,40.00,200.00,MAT_000043,,11400.00
22372,COMP_ACRYL_CLEAR3T,50.00,60.00,MAT_000043,,5300.00
