comp_price_id,comp_cd,siz_cd,siz_width,siz_height,opt_cd,proc_cd,dim_vals,unit_price
5372,COMP_PP_PERF_1L,,,,OPV-000007,,,5000.00
5373,COMP_PP_PERF_1L,,,,OPV-000007,,,5000.00
5374,COMP_PP_PERF_1L,,,,OPV-000007,,,10000.00
5375,COMP_PP_PERF_1L,,,,OPV-000007,,,15000.00
5376,COMP_PP_PERF_1L,,,,OPV-000007,,,17000.00
5377,COMP_PP_PERF_1L,,,,OPV-000007,,,25000.00
5378,COMP_PP_PERF_1L,,,,OPV-000007,,,45000.00
5379,COMP_PP_PERF_1L,,,,OPV-000007,,,65000.00
5380,COMP_PP_PERF_1L,,,,OPV-000007,,,85000.00
5381,COMP_PP_PERF_1L,,,,OPV-000007,,,105000.00
5392,COMP_PP_PERF_1L,,,,OPV-000009,,,7000.00
5393,COMP_PP_PERF_1L,,,,OPV-000009,,,7000.00
5394,COMP_PP_PERF_1L,,,,OPV-000009,,,14000.00
5395,COMP_PP_PERF_1L,,,,OPV-000009,,,19000.00
5396,COMP_PP_PERF_1L,,,,OPV-000009,,,21000.00
5397,COMP_PP_PERF_1L,,,,OPV-000009,,,33000.00
5398,COMP_PP_PERF_1L,,,,OPV-000009,,,53000.00
5399,COMP_PP_PERF_1L,,,,OPV-000009,,,73000.00
5400,COMP_PP_PERF_1L,,,,OPV-000009,,,93000.00
5401,COMP_PP_PERF_1L,,,,OPV-000009,,,103000.00
5382,COMP_PP_PERF_1L,,,,OPV-000008,,,6000.00
5383,COMP_PP_PERF_1L,,,,OPV-000008,,,6000.00
5384,COMP_PP_PERF_1L,,,,OPV-000008,,,12000.00
5385,COMP_PP_PERF_1L,,,,OPV-000008,,,17000.00
5386,COMP_PP_PERF_1L,,,,OPV-000008,,,19000.00
5387,COMP_PP_PERF_1L,,,,OPV-000008,,,29000.00
5388,COMP_PP_PERF_1L,,,,OPV-000008,,,49000.00
5389,COMP_PP_PERF_1L,,,,OPV-000008,,,69000.00
5390,COMP_PP_PERF_1L,,,,OPV-000008,,,89000.00
5391,COMP_PP_PERF_1L,,,,OPV-000008,,,109000.00
4594,COMP_POSTEROPT_JOKJA_CEILHOOK,,,,,,,6500.00
4608,COMP_POSTEROPT_PET_BANNER_STAND_IN,,,,,,,7000.00
4609,COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1,,,,,,,23000.00
4610,COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2,,,,,,,25000.00
4692,COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,,,,,,,3000.00
4693,COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,,,,,,,3000.00
4694,COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,,,,,,,3000.00
4695,COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6,,,,,,,4000.00
4696,COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,,,,,,,4000.00
4697,COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8,,,,,,,5000.00
