comp_cd,use_dims,prc_typ_cd,use_yn
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000080""]",PRICE_TYPE.01,Y
COMP_PP_VARIMG_3EA,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",PRICE_TYPE.01,Y
COMP_PP_CORNER_ROUND,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",PRICE_TYPE.01,Y
COMP_PP_CORNER_RIGHT,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000026""]",PRICE_TYPE.01,Y
COMP_PP_CREASE_1L,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",PRICE_TYPE.01,Y
COMP_PP_VARTEXT_1EA,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",PRICE_TYPE.01,Y
COMP_PP_VARIMG_1EA,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",PRICE_TYPE.01,Y
COMP_PP_PERF_3L,"[""min_qty""]",PRICE_TYPE.01,Y
COMP_PP_VARTEXT_3EA,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",PRICE_TYPE.01,Y
COMP_PP_VARIMG_2EA,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",PRICE_TYPE.01,Y
COMP_PP_VARTEXT_2EA,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",PRICE_TYPE.01,Y
COMP_PP_CREASE_2L,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",PRICE_TYPE.01,Y
COMP_PP_PERF_2L,"[""min_qty""]",PRICE_TYPE.01,Y
COMP_PP_CREASE_3L,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000029""]",PRICE_TYPE.01,Y
COMP_POSTER_ACRYLSTK_MIRROR,"[""siz_cd""]",PRICE_TYPE.01,Y
COMP_POSTER_ADH_CLEAR_PVC,"[""siz_cd""]",PRICE_TYPE.01,Y
COMP_POSTER_ADH_WATERPROOF_PVC,"[""siz_cd""]",PRICE_TYPE.01,Y
COMP_POSTER_ARTFABRIC_GRAPHIC,"[""siz_cd""]",PRICE_TYPE.01,Y
