prd_cd,prd_typ_cd,prd_nm,file_upload_yn,editor_yn
PRD_000172,PRD_TYPE.03,만년다이어리(소프트커버),Y,N
PRD_000173,PRD_TYPE.03,만년다이어리(하드커버),Y,N
PRD_000174,PRD_TYPE.03,만년다이어리(레더하드커버),Y,N
PRD_000175,PRD_TYPE.03,만년다이어리(레더소프트커버),Y,N
PRD_000176,PRD_TYPE.03,먼슬리플래너,N,Y
PRD_000178,PRD_TYPE.03,스프링수첩,Y,Y
PRD_000179,PRD_TYPE.03,메모패드,Y,Y
PRD_000181,PRD_TYPE.03,중철노트,Y,Y
PRD_000183,PRD_TYPE.03,틴거울,Y,Y
PRD_000184,PRD_TYPE.03,컴팩트거울,Y,Y
PRD_000185,PRD_TYPE.03,카드거울,Y,Y
PRD_000186,PRD_TYPE.03,사각손거울,Y,Y
PRD_000188,PRD_TYPE.03,레더코스터,Y,Y
PRD_000189,PRD_TYPE.03,코르크코스터,Y,Y
PRD_000190,PRD_TYPE.03,우드코스터,Y,Y
PRD_000191,PRD_TYPE.03,린넨패브릭코스터,Y,Y
PRD_000192,PRD_TYPE.03,규조토코스터,Y,Y
PRD_000193,PRD_TYPE.03,머그컵,Y,Y
PRD_000194,PRD_TYPE.03,워터북보틀,Y,Y
PRD_000195,PRD_TYPE.03,벨벳쿠션,Y,Y
PRD_000196,PRD_TYPE.03,레더여권케이스,Y,Y
PRD_000197,PRD_TYPE.03,미니매트,Y,Y
PRD_000198,PRD_TYPE.03,피크닉매트,Y,Y
PRD_000199,PRD_TYPE.03,투명부채,Y,Y
PRD_000200,PRD_TYPE.03,핀버튼,Y,Y
PRD_000201,PRD_TYPE.03,레더스트랩키링,Y,Y
PRD_000202,PRD_TYPE.03,키캡키링,Y,Y
PRD_000203,PRD_TYPE.03,LED투명키캡키링,Y,Y
PRD_000205,PRD_TYPE.03,양말,Y,Y
PRD_000206,PRD_TYPE.03,반팔티셔츠,Y,Y
PRD_000207,PRD_TYPE.03,극세사타월,Y,Y
PRD_000209,PRD_TYPE.03,후드티셔츠,Y,Y
PRD_000210,PRD_TYPE.03,초슬림마우스패드,Y,Y
